symbol,ts,open,high,low,close,volume
SNDK,2025-02-24 13:00:00+00:00,50.38,50.38,50.38,50.38,17.0
SNDK,2025-02-24 14:00:00+00:00,51.44,52.7,47.1,49.195,134613.0
SNDK,2025-02-24 15:00:00+00:00,49.36,50.31,46.51,46.51,154116.0
SNDK,2025-02-24 16:00:00+00:00,46.5,49.91,46.28,49.38,134086.0
SNDK,2025-02-24 17:00:00+00:00,49.39,50.635,49.39,50.43,119921.0
SNDK,2025-02-24 18:00:00+00:00,50.385,50.92,48.89,50.57,72725.0
SNDK,2025-02-24 19:00:00+00:00,50.65,51.26,50.29,50.61,143118.0
SNDK,2025-02-24 20:00:00+00:00,50.63,50.94,48.35,48.47,1007953.0
SNDK,2025-02-24 21:00:00+00:00,48.6,49.24,48.21,48.4,16029137.0
SNDK,2025-02-24 22:00:00+00:00,48.3,48.4,48.3,48.4,2328.0
SNDK,2025-02-25 13:00:00+00:00,48.28,48.4,48.28,48.28,608.0
SNDK,2025-02-25 14:00:00+00:00,48.4,50.89,48.22,49.39,162204.0
SNDK,2025-02-25 15:00:00+00:00,49.365,50.4,49.08,50.0,154859.0
SNDK,2025-02-25 16:00:00+00:00,49.99,55.01,49.99,54.08,159994.0
SNDK,2025-02-25 17:00:00+00:00,54.4,54.97,51.1,51.2,105014.0
SNDK,2025-02-25 18:00:00+00:00,51.18,51.47,48.94,50.29,100111.0
SNDK,2025-02-25 19:00:00+00:00,50.16,50.81,49.88,50.6,80918.0
SNDK,2025-02-25 20:00:00+00:00,50.58,50.63,47.81,48.06,320456.0
SNDK,2025-02-25 21:00:00+00:00,48.16,48.5,48.16,48.2,930687.0
SNDK,2025-02-25 23:00:00+00:00,49.0,49.0,49.0,49.0,20.0
SNDK,2025-02-26 12:00:00+00:00,48.41,48.41,48.41,48.41,2.0
SNDK,2025-02-26 14:00:00+00:00,48.52,49.9,45.36,48.715,277311.0
SNDK,2025-02-26 15:00:00+00:00,48.715,49.37,47.06,47.45,121741.0
SNDK,2025-02-26 16:00:00+00:00,47.5,47.64,46.64,47.42,114162.0
SNDK,2025-02-26 17:00:00+00:00,47.42,47.9,47.29,47.65,86789.0
SNDK,2025-02-26 18:00:00+00:00,47.65,48.03,47.5,47.8,89126.0
SNDK,2025-02-26 19:00:00+00:00,47.82,48.17,47.51,47.665,88121.0
SNDK,2025-02-26 20:00:00+00:00,47.675,48.06,46.1,46.58,410728.0
SNDK,2025-02-26 21:00:00+00:00,46.58,46.58,46.58,46.58,686315.0
SNDK,2025-02-27 12:00:00+00:00,46.85,46.85,46.85,46.85,20.0
SNDK,2025-02-27 13:00:00+00:00,46.75,46.85,46.74,46.85,285.0
SNDK,2025-02-27 14:00:00+00:00,46.4,46.67,44.99,46.26,384356.0
SNDK,2025-02-27 15:00:00+00:00,46.22,47.335,45.28,46.71,148479.0
SNDK,2025-02-27 16:00:00+00:00,47.035,47.87,45.55,45.77,116419.0
SNDK,2025-02-27 17:00:00+00:00,45.745,46.39,44.99,45.05,119351.0
SNDK,2025-02-27 18:00:00+00:00,45.04,45.41,45.0,45.2,95007.0
SNDK,2025-02-27 19:00:00+00:00,45.2,45.2,41.61,43.37,230259.0
SNDK,2025-02-27 20:00:00+00:00,43.31,45.99,42.66,45.07,438624.0
SNDK,2025-02-27 21:00:00+00:00,45.16,45.16,45.16,45.16,541767.0
SNDK,2025-02-27 22:00:00+00:00,44.11,44.11,44.11,44.11,300.0
SNDK,2025-02-28 13:00:00+00:00,44.94,45.51,44.94,45.51,425.0
SNDK,2025-02-28 14:00:00+00:00,45.5,45.855,43.8,44.06,123605.0
SNDK,2025-02-28 15:00:00+00:00,44.08,46.82,44.06,45.63,105847.0
SNDK,2025-02-28 16:00:00+00:00,45.58,46.66,45.495,46.55,74065.0
SNDK,2025-02-28 17:00:00+00:00,46.61,47.0,46.01,46.4,71186.0
SNDK,2025-02-28 18:00:00+00:00,46.4,47.5,45.84,46.875,104028.0
SNDK,2025-02-28 19:00:00+00:00,46.95,48.68,46.915,48.15,130908.0
SNDK,2025-02-28 20:00:00+00:00,48.17,48.65,46.87,47.005,578555.0
SNDK,2025-02-28 21:00:00+00:00,46.85,47.39,46.85,47.07,1237062.0
SNDK,2025-03-03 14:00:00+00:00,47.35,49.33,47.35,48.29,65112.0
SNDK,2025-03-03 15:00:00+00:00,48.11,49.88,48.11,48.445,56934.0
SNDK,2025-03-03 16:00:00+00:00,48.445,48.71,48.05,48.5,29800.0
SNDK,2025-03-03 17:00:00+00:00,48.46,48.97,48.0,48.21,51161.0
SNDK,2025-03-03 18:00:00+00:00,48.25,49.2,48.13,49.14,43982.0
SNDK,2025-03-03 19:00:00+00:00,49.14,49.78,49.14,49.245,60166.0
SNDK,2025-03-03 20:00:00+00:00,49.32,50.76,48.545,50.3,547146.0
SNDK,2025-03-03 21:00:00+00:00,50.31,50.4,50.1,50.1,774464.0
SNDK,2025-03-03 23:00:00+00:00,50.3,50.31,50.3,50.31,171.0
SNDK,2025-03-04 09:00:00+00:00,49.76,49.76,48.41,49.1,102.0
SNDK,2025-03-04 10:00:00+00:00,49.26,50.1,49.26,50.1,7.0
SNDK,2025-03-04 11:00:00+00:00,49.35,50.1,49.35,50.1,191.0
SNDK,2025-03-04 12:00:00+00:00,50.1,50.98,49.91,49.91,34.0
SNDK,2025-03-04 13:00:00+00:00,49.9,49.9,49.9,49.9,50.0
SNDK,2025-03-04 14:00:00+00:00,49.16,49.16,45.1,46.31,186804.0
SNDK,2025-03-04 15:00:00+00:00,46.38,48.24,45.27,48.24,249497.0
SNDK,2025-03-04 16:00:00+00:00,48.31,49.6,47.97,48.87,182219.0
SNDK,2025-03-04 17:00:00+00:00,48.875,49.02,48.12,48.66,61147.0
SNDK,2025-03-04 18:00:00+00:00,48.635,50.11,48.19,48.46,75455.0
SNDK,2025-03-04 19:00:00+00:00,48.5,48.93,47.92,47.98,68311.0
SNDK,2025-03-04 20:00:00+00:00,47.97,48.82,47.85,48.68,338590.0
SNDK,2025-03-04 21:00:00+00:00,48.69,48.69,48.69,48.69,437833.0
SNDK,2025-03-04 23:00:00+00:00,48.72,48.72,47.5,47.5,1042.0
SNDK,2025-03-05 09:00:00+00:00,50.79,50.79,48.84,48.84,2.0
SNDK,2025-03-05 11:00:00+00:00,48.86,48.86,48.7,48.7,677.0
SNDK,2025-03-05 12:00:00+00:00,47.21,49.0,47.21,49.0,55.0
SNDK,2025-03-05 14:00:00+00:00,47.77,48.315,46.8,46.8,44195.0
SNDK,2025-03-05 15:00:00+00:00,46.79,48.28,46.52,47.54,91383.0
SNDK,2025-03-05 16:00:00+00:00,47.545,47.88,46.92,47.88,43723.0
SNDK,2025-03-05 17:00:00+00:00,47.88,48.53,47.88,48.47,84486.0
SNDK,2025-03-05 18:00:00+00:00,48.46,48.51,48.04,48.38,63323.0
SNDK,2025-03-05 19:00:00+00:00,48.375,49.36,48.37,48.8,122418.0
SNDK,2025-03-05 20:00:00+00:00,48.78,49.04,48.23,48.47,458370.0
SNDK,2025-03-05 21:00:00+00:00,48.47,48.47,48.47,48.47,615022.0
SNDK,2025-03-06 09:00:00+00:00,51.44,51.44,48.23,48.23,2.0
SNDK,2025-03-06 10:00:00+00:00,48.07,48.07,48.0,48.0,255.0
SNDK,2025-03-06 14:00:00+00:00,47.52,48.5,46.35,48.35,62573.0
SNDK,2025-03-06 15:00:00+00:00,48.29,49.06,47.52,47.58,103373.0
SNDK,2025-03-06 16:00:00+00:00,47.58,47.66,45.75,45.975,169603.0
SNDK,2025-03-06 17:00:00+00:00,45.96,46.15,45.26,45.5,102093.0
SNDK,2025-03-06 18:00:00+00:00,45.48,46.74,45.43,46.47,57528.0
SNDK,2025-03-06 19:00:00+00:00,46.47,47.1,45.91,46.225,64621.0
SNDK,2025-03-06 20:00:00+00:00,46.12,46.94,46.06,46.5,259017.0
SNDK,2025-03-06 21:00:00+00:00,46.5,46.5,46.5,46.5,442709.0
SNDK,2025-03-06 22:00:00+00:00,47.0,47.0,47.0,47.0,100.0
SNDK,2025-03-07 10:00:00+00:00,47.99,48.3,47.99,48.0,20492.0
SNDK,2025-03-07 11:00:00+00:00,48.3,48.5,48.3,48.5,200.0
SNDK,2025-03-07 12:00:00+00:00,48.31,48.31,48.31,48.31,100.0
SNDK,2025-03-07 13:00:00+00:00,48.35,48.5,48.0,48.5,12103.0
SNDK,2025-03-07 14:00:00+00:00,48.99,50.43,47.21,49.29,266067.0
SNDK,2025-03-07 15:00:00+00:00,49.315,50.815,49.135,49.2,320218.0
SNDK,2025-03-07 16:00:00+00:00,49.25,49.56,48.52,48.895,82682.0
SNDK,2025-03-07 17:00:00+00:00,48.84,49.3,48.37,48.85,84640.0
SNDK,2025-03-07 18:00:00+00:00,48.94,50.0,48.94,49.265,106539.0
SNDK,2025-03-07 19:00:00+00:00,49.24,49.6,49.01,49.24,78931.0
SNDK,2025-03-07 20:00:00+00:00,49.24,51.14,49.15,51.14,514948.0
SNDK,2025-03-07 21:00:00+00:00,51.0,51.04,50.63,50.75,567552.0
SNDK,2025-03-07 22:00:00+00:00,50.01,50.5,50.01,50.5,2.0
SNDK,2025-03-10 09:00:00+00:00,50.5,50.5,50.0,50.0,293.0
SNDK,2025-03-10 12:00:00+00:00,50.0,50.01,50.0,50.0,102.0
SNDK,2025-03-10 13:00:00+00:00,50.0,52.6,49.92,52.38,76743.0
SNDK,2025-03-10 14:00:00+00:00,52.37,53.58,51.935,52.33,115292.0
SNDK,2025-03-10 15:00:00+00:00,52.36,52.96,52.06,52.505,97711.0
SNDK,2025-03-10 16:00:00+00:00,52.48,53.21,52.42,52.7,71050.0
SNDK,2025-03-10 17:00:00+00:00,52.7,52.705,52.13,52.31,72294.0
SNDK,2025-03-10 18:00:00+00:00,52.28,52.39,51.86,52.0,64280.0
