symbol,ts,open,high,low,close,volume
SOLV,2024-04-01 09:00:00+00:00,71.18,71.18,71.18,71.18,5.0
SOLV,2024-04-01 11:00:00+00:00,70.6,70.99,70.21,70.7,2946.0
SOLV,2024-04-01 12:00:00+00:00,70.63,70.7,69.41,69.46,1126.0
SOLV,2024-04-01 13:00:00+00:00,69.45,70.0,65.0,67.48,125241.0
SOLV,2024-04-01 14:00:00+00:00,67.55,67.96,66.32,67.8,158828.0
SOLV,2024-04-01 15:00:00+00:00,67.66,68.39,66.85,67.58,103608.0
SOLV,2024-04-01 16:00:00+00:00,67.58,69.38,67.55,69.35,109810.0
SOLV,2024-04-01 17:00:00+00:00,69.35,69.8,69.0,69.51,109636.0
SOLV,2024-04-01 18:00:00+00:00,69.59,70.47,69.2,69.94,143686.0
SOLV,2024-04-01 19:00:00+00:00,70.0,72.4,69.04,69.06,304766.0
SOLV,2024-04-01 20:00:00+00:00,69.07,69.08,68.55,68.58,4884.0
SOLV,2024-04-01 21:00:00+00:00,68.86,68.86,68.58,68.66,168.0
SOLV,2024-04-01 22:00:00+00:00,68.56,68.86,68.37,68.86,813.0
SOLV,2024-04-01 23:00:00+00:00,68.7,68.7,68.28,68.3,69.0
SOLV,2024-04-02 09:00:00+00:00,68.99,68.99,68.41,68.41,11.0
SOLV,2024-04-02 10:00:00+00:00,68.5,68.65,68.5,68.65,13.0
SOLV,2024-04-02 11:00:00+00:00,68.46,68.6,68.0,68.0,554.0
SOLV,2024-04-02 12:00:00+00:00,68.06,68.15,67.35,67.6,2059.0
SOLV,2024-04-02 13:00:00+00:00,67.75,68.24,65.6,66.21,70406.0
SOLV,2024-04-02 14:00:00+00:00,66.19,68.57,66.19,68.13,112758.0
SOLV,2024-04-02 15:00:00+00:00,68.13,68.21,66.02,66.3,56627.0
SOLV,2024-04-02 16:00:00+00:00,66.31,66.33,65.49,65.99,103100.0
SOLV,2024-04-02 17:00:00+00:00,66.015,66.07,65.59,65.65,79511.0
SOLV,2024-04-02 18:00:00+00:00,65.57,65.67,64.47,65.16,122848.0
SOLV,2024-04-02 19:00:00+00:00,65.16,66.85,65.0,66.85,202088.0
SOLV,2024-04-02 20:00:00+00:00,66.89,66.89,66.82,66.87,92.0
SOLV,2024-04-02 21:00:00+00:00,66.71,66.72,66.71,66.72,22.0
SOLV,2024-04-02 22:00:00+00:00,66.8,66.8,66.6,66.6,49.0
SOLV,2024-04-02 23:00:00+00:00,66.75,66.75,66.75,66.75,31.0
SOLV,2024-04-03 08:00:00+00:00,66.9,66.9,66.9,66.9,2.0
SOLV,2024-04-03 10:00:00+00:00,66.9,66.9,66.9,66.9,9.0
SOLV,2024-04-03 11:00:00+00:00,66.88,66.88,66.88,66.88,4.0
SOLV,2024-04-03 12:00:00+00:00,66.7,66.7,66.24,66.5,83.0
