symbol,ts,open,high,low,close,volume
SPG,2018-05-01 13:00:00+00:00,157.9,159.3,157.69,158.32,45500.0
SPG,2018-05-01 14:00:00+00:00,158.45,159.4,158.27,158.53,75437.0
SPG,2018-05-01 15:00:00+00:00,158.55,159.93,158.55,159.555,69210.0
SPG,2018-05-01 16:00:00+00:00,159.555,159.72,158.82,159.0,45205.0
SPG,2018-05-01 17:00:00+00:00,158.97,159.41,158.92,159.12,40793.0
SPG,2018-05-01 18:00:00+00:00,159.1,160.44,158.86,160.37,41320.0
SPG,2018-05-01 19:00:00+00:00,160.4,160.66,159.81,159.84,118835.0
SPG,2018-05-01 20:00:00+00:00,159.9,159.9,159.9,159.9,500.0
SPG,2018-05-02 13:00:00+00:00,158.26,158.63,156.36,157.0,37021.0
SPG,2018-05-02 14:00:00+00:00,157.01,158.87,156.87,158.76,40311.0
SPG,2018-05-02 15:00:00+00:00,158.67,159.41,158.07,158.345,30152.0
SPG,2018-05-02 16:00:00+00:00,158.19,158.33,157.79,158.07,26017.0
SPG,2018-05-02 17:00:00+00:00,158.1,159.11,157.93,159.05,30298.0
SPG,2018-05-02 18:00:00+00:00,158.96,159.98,158.9,159.89,55356.0
SPG,2018-05-02 19:00:00+00:00,159.85,159.915,159.03,159.2,85970.0
SPG,2018-05-03 13:00:00+00:00,158.55,159.25,157.92,159.25,14639.0
SPG,2018-05-03 14:00:00+00:00,159.25,159.55,158.53,158.91,68975.0
SPG,2018-05-03 15:00:00+00:00,158.85,159.31,158.56,159.18,38239.0
SPG,2018-05-03 16:00:00+00:00,159.19,159.62,158.97,159.58,26667.0
SPG,2018-05-03 17:00:00+00:00,159.54,159.69,159.07,159.3,15106.0
SPG,2018-05-03 18:00:00+00:00,159.26,159.52,158.95,159.07,16669.0
SPG,2018-05-03 19:00:00+00:00,159.09,159.22,158.96,159.1,52641.0
SPG,2018-05-04 13:00:00+00:00,159.28,159.66,158.99,159.14,9915.0
SPG,2018-05-04 14:00:00+00:00,159.05,159.8,158.71,159.24,38918.0
SPG,2018-05-04 15:00:00+00:00,159.31,159.98,159.24,159.4,41241.0
SPG,2018-05-04 16:00:00+00:00,159.38,159.86,159.36,159.56,33675.0
SPG,2018-05-04 17:00:00+00:00,159.52,159.93,159.35,159.46,27833.0
SPG,2018-05-04 18:00:00+00:00,159.42,160.12,159.36,159.93,28265.0
SPG,2018-05-04 19:00:00+00:00,159.93,160.11,159.19,159.34,92851.0
SPG,2018-05-07 13:00:00+00:00,160.05,160.06,158.86,159.18,16795.0
SPG,2018-05-07 14:00:00+00:00,159.36,159.49,158.49,159.11,40801.0
SPG,2018-05-07 15:00:00+00:00,159.05,159.39,158.98,159.26,32248.0
SPG,2018-05-07 16:00:00+00:00,159.28,159.36,159.21,159.29,22271.0
SPG,2018-05-07 17:00:00+00:00,159.27,159.45,158.97,159.33,23598.0
SPG,2018-05-07 18:00:00+00:00,159.33,159.82,159.19,159.69,28418.0
SPG,2018-05-07 19:00:00+00:00,159.69,160.06,159.3,159.79,59424.0
SPG,2018-05-07 21:00:00+00:00,160.09,160.09,160.09,160.09,100.0
SPG,2018-05-08 13:00:00+00:00,160.47,160.48,158.09,158.36,16879.0
SPG,2018-05-08 14:00:00+00:00,158.37,159.07,158.37,158.65,22469.0
SPG,2018-05-08 15:00:00+00:00,158.68,159.14,158.62,158.82,22329.0
SPG,2018-05-08 16:00:00+00:00,158.81,158.86,158.23,158.41,20859.0
SPG,2018-05-08 17:00:00+00:00,158.42,159.04,158.34,159.04,14060.0
SPG,2018-05-08 18:00:00+00:00,159.055,159.055,158.35,158.62,34064.0
SPG,2018-05-08 19:00:00+00:00,158.59,159.0,158.53,158.76,57254.0
SPG,2018-05-09 13:00:00+00:00,158.85,159.7,158.28,159.68,10095.0
SPG,2018-05-09 14:00:00+00:00,159.57,159.76,159.22,159.6,23420.0
SPG,2018-05-09 15:00:00+00:00,159.61,159.71,159.3,159.57,14168.0
