symbol,ts,open,high,low,close,volume
SPGI,2018-05-01 13:00:00+00:00,189.24,189.4,188.38,189.4,9878.0
SPGI,2018-05-01 14:00:00+00:00,189.46,189.97,189.1,189.47,21226.0
SPGI,2018-05-01 15:00:00+00:00,189.405,189.88,189.22,189.29,25813.0
SPGI,2018-05-01 16:00:00+00:00,189.29,189.72,188.96,189.02,21614.0
SPGI,2018-05-01 17:00:00+00:00,188.85,189.45,188.26,189.37,20949.0
SPGI,2018-05-01 18:00:00+00:00,189.4,190.22,189.38,190.14,19586.0
SPGI,2018-05-01 19:00:00+00:00,190.11,190.2,189.4,190.01,44051.0
SPGI,2018-05-02 11:00:00+00:00,200.74,200.74,200.74,200.74,1.0
SPGI,2018-05-02 13:00:00+00:00,189.25,189.25,188.18,188.53,10928.0
SPGI,2018-05-02 14:00:00+00:00,188.59,189.42,188.56,189.05,15196.0
SPGI,2018-05-02 15:00:00+00:00,189.205,189.68,188.55,189.17,16892.0
SPGI,2018-05-02 16:00:00+00:00,189.12,190.35,188.93,190.22,12309.0
SPGI,2018-05-02 17:00:00+00:00,190.18,190.62,190.02,190.14,10139.0
SPGI,2018-05-02 18:00:00+00:00,190.17,190.75,189.52,189.52,20699.0
SPGI,2018-05-02 19:00:00+00:00,189.43,190.0,187.87,187.93,78563.0
SPGI,2018-05-03 13:00:00+00:00,187.62,188.0,186.52,187.27,10395.0
SPGI,2018-05-03 14:00:00+00:00,187.28,187.28,185.13,185.67,24251.0
SPGI,2018-05-03 15:00:00+00:00,185.56,187.17,185.28,186.89,31293.0
SPGI,2018-05-03 16:00:00+00:00,187.04,188.78,186.77,188.75,19081.0
SPGI,2018-05-03 17:00:00+00:00,188.76,189.49,187.71,189.17,18152.0
SPGI,2018-05-03 18:00:00+00:00,189.09,189.58,188.77,189.01,26613.0
SPGI,2018-05-03 19:00:00+00:00,189.06,189.85,188.96,189.63,36317.0
SPGI,2018-05-04 13:00:00+00:00,187.65,189.41,187.65,188.65,5816.0
SPGI,2018-05-04 14:00:00+00:00,188.61,190.59,188.41,190.35,10882.0
SPGI,2018-05-04 15:00:00+00:00,190.25,190.67,190.12,190.44,16237.0
SPGI,2018-05-04 16:00:00+00:00,190.42,191.3,190.34,191.13,7728.0
SPGI,2018-05-04 17:00:00+00:00,191.24,192.2,191.16,192.2,8969.0
SPGI,2018-05-04 18:00:00+00:00,192.15,192.81,192.08,192.22,16340.0
SPGI,2018-05-04 19:00:00+00:00,192.21,192.9,191.93,192.14,39568.0
SPGI,2018-05-07 13:00:00+00:00,192.87,193.75,192.87,193.75,18876.0
SPGI,2018-05-07 14:00:00+00:00,193.75,193.85,192.98,193.79,10867.0
SPGI,2018-05-07 15:00:00+00:00,193.81,193.97,193.06,193.65,11708.0
SPGI,2018-05-07 16:00:00+00:00,193.62,194.08,193.55,193.74,9725.0
SPGI,2018-05-07 17:00:00+00:00,193.83,193.94,193.53,193.57,8060.0
SPGI,2018-05-07 18:00:00+00:00,193.57,193.79,193.02,193.33,10220.0
SPGI,2018-05-07 19:00:00+00:00,193.26,193.61,192.51,193.39,28950.0
SPGI,2018-05-08 13:00:00+00:00,193.8,194.01,192.68,192.93,11269.0
SPGI,2018-05-08 14:00:00+00:00,192.97,194.0,192.54,193.79,13036.0
SPGI,2018-05-08 15:00:00+00:00,193.61,194.66,193.44,194.22,17164.0
SPGI,2018-05-08 16:00:00+00:00,194.26,194.39,193.22,193.65,10809.0
SPGI,2018-05-08 17:00:00+00:00,193.54,194.11,193.51,193.72,7749.0
SPGI,2018-05-08 18:00:00+00:00,193.8,194.28,193.34,193.75,10543.0
SPGI,2018-05-08 19:00:00+00:00,193.75,194.88,193.57,194.77,44275.0
SPGI,2018-05-09 13:00:00+00:00,194.59,194.96,193.6,194.13,11800.0
SPGI,2018-05-09 14:00:00+00:00,194.15,195.69,194.15,194.93,20656.0
SPGI,2018-05-09 15:00:00+00:00,195.03,196.2,195.03,196.09,17773.0
SPGI,2018-05-09 16:00:00+00:00,196.17,197.39,196.17,196.93,18976.0
SPGI,2018-05-09 17:00:00+00:00,197.03,197.79,196.93,197.74,20605.0
SPGI,2018-05-09 18:00:00+00:00,197.75,198.19,197.18,197.22,23587.0
SPGI,2018-05-09 19:00:00+00:00,197.19,197.46,196.64,197.39,42786.0
SPGI,2018-05-09 20:00:00+00:00,197.89,197.89,197.89,197.89,8.0
SPGI,2018-05-10 13:00:00+00:00,197.99,198.99,197.88,198.66,6723.0
SPGI,2018-05-10 14:00:00+00:00,198.81,200.76,198.74,200.49,17659.0
