symbol,ts,open,high,low,close,volume
SRE,2018-05-01 13:00:00+00:00,111.74,111.9,111.5,111.68,12016.0
SRE,2018-05-01 14:00:00+00:00,111.62,112.08,111.59,111.97,22290.0
SRE,2018-05-01 15:00:00+00:00,111.98,112.03,111.58,111.59,21719.0
SRE,2018-05-01 16:00:00+00:00,111.59,111.91,111.44,111.5,38764.0
SRE,2018-05-01 17:00:00+00:00,111.49,111.54,111.24,111.5,14346.0
SRE,2018-05-01 18:00:00+00:00,111.5,111.72,111.39,111.67,26800.0
SRE,2018-05-01 19:00:00+00:00,111.67,111.7,111.4,111.66,69412.0
SRE,2018-05-02 13:00:00+00:00,111.75,111.8,111.18,111.19,6495.0
SRE,2018-05-02 14:00:00+00:00,111.285,111.76,111.14,111.72,15996.0
SRE,2018-05-02 15:00:00+00:00,111.71,111.83,111.2,111.23,17190.0
SRE,2018-05-02 16:00:00+00:00,111.22,111.35,111.14,111.32,15688.0
SRE,2018-05-02 17:00:00+00:00,111.31,111.78,111.25,111.63,11770.0
SRE,2018-05-02 18:00:00+00:00,111.61,111.91,111.43,111.47,22068.0
SRE,2018-05-02 19:00:00+00:00,111.49,111.5,110.85,111.17,66547.0
SRE,2018-05-03 13:00:00+00:00,110.87,111.0,109.83,110.3,10065.0
SRE,2018-05-03 14:00:00+00:00,110.34,110.34,109.55,110.165,36806.0
SRE,2018-05-03 15:00:00+00:00,110.21,110.87,110.11,110.68,22536.0
SRE,2018-05-03 16:00:00+00:00,110.71,110.9,110.37,110.81,11735.0
SRE,2018-05-03 17:00:00+00:00,110.91,111.41,110.65,111.34,9948.0
SRE,2018-05-03 18:00:00+00:00,111.31,111.4,110.93,111.18,31760.0
SRE,2018-05-03 19:00:00+00:00,111.21,111.42,111.06,111.4,57718.0
SRE,2018-05-04 13:00:00+00:00,111.59,112.21,111.59,112.1,11576.0
SRE,2018-05-04 14:00:00+00:00,112.15,112.35,111.56,111.64,37838.0
SRE,2018-05-04 15:00:00+00:00,111.63,112.15,111.38,111.9,25896.0
SRE,2018-05-04 16:00:00+00:00,111.91,112.32,111.88,112.08,28557.0
SRE,2018-05-04 17:00:00+00:00,112.09,112.21,111.88,111.91,20759.0
SRE,2018-05-04 18:00:00+00:00,111.85,112.17,111.55,111.79,36797.0
SRE,2018-05-04 19:00:00+00:00,111.8,111.89,111.29,111.39,67049.0
SRE,2018-05-04 20:00:00+00:00,111.75,111.75,111.75,111.75,2.0
SRE,2018-05-07 10:00:00+00:00,111.8,111.8,111.8,111.8,40.0
SRE,2018-05-07 13:00:00+00:00,109.9,112.12,109.1,112.12,34039.0
SRE,2018-05-07 14:00:00+00:00,112.17,112.25,110.97,111.07,54117.0
SRE,2018-05-07 15:00:00+00:00,111.0,111.12,110.74,110.86,36511.0
SRE,2018-05-07 16:00:00+00:00,110.88,111.05,110.69,110.73,39878.0
SRE,2018-05-07 17:00:00+00:00,110.71,111.47,110.66,111.4,32699.0
SRE,2018-05-07 18:00:00+00:00,111.4,111.84,111.3,111.51,45474.0
SRE,2018-05-07 19:00:00+00:00,111.51,111.51,110.62,110.7,107095.0
SRE,2018-05-08 13:00:00+00:00,110.08,110.14,107.87,107.87,22654.0
SRE,2018-05-08 14:00:00+00:00,107.86,108.26,107.34,107.74,95220.0
SRE,2018-05-08 15:00:00+00:00,107.67,107.98,107.32,107.44,53335.0
SRE,2018-05-08 16:00:00+00:00,107.44,107.49,106.81,106.81,63728.0
SRE,2018-05-08 17:00:00+00:00,106.8,107.0,106.37,106.57,40712.0
SRE,2018-05-08 18:00:00+00:00,106.58,106.86,106.17,106.46,62119.0
SRE,2018-05-08 19:00:00+00:00,106.45,106.67,106.22,106.41,117394.0
SRE,2018-05-09 13:00:00+00:00,106.17,106.25,104.77,105.61,39028.0
SRE,2018-05-09 14:00:00+00:00,105.65,105.8,105.03,105.52,47688.0
SRE,2018-05-09 15:00:00+00:00,105.54,105.67,104.7,104.92,33321.0
SRE,2018-05-09 16:00:00+00:00,104.91,105.045,104.69,104.79,24648.0
SRE,2018-05-09 17:00:00+00:00,104.78,105.07,104.6,104.845,31454.0
SRE,2018-05-09 18:00:00+00:00,104.84,105.61,104.83,105.58,31910.0
SRE,2018-05-09 19:00:00+00:00,105.57,105.58,104.9,105.16,94623.0
SRE,2018-05-10 13:00:00+00:00,106.19,106.45,105.18,105.54,13417.0
SRE,2018-05-10 14:00:00+00:00,105.57,105.84,105.41,105.47,23549.0
SRE,2018-05-10 15:00:00+00:00,105.43,106.04,105.42,106.0,18539.0
SRE,2018-05-10 16:00:00+00:00,106.02,106.17,105.92,106.01,14098.0
SRE,2018-05-10 17:00:00+00:00,106.04,106.46,106.03,106.4,16161.0
SRE,2018-05-10 18:00:00+00:00,106.42,106.53,106.14,106.19,30557.0
SRE,2018-05-10 19:00:00+00:00,106.19,106.505,105.88,106.41,116515.0
SRE,2018-05-11 13:00:00+00:00,106.74,106.81,106.4,106.45,5379.0
SRE,2018-05-11 14:00:00+00:00,106.54,107.33,106.4,107.31,41128.0
SRE,2018-05-11 15:00:00+00:00,107.31,107.39,106.88,107.23,31440.0
SRE,2018-05-11 16:00:00+00:00,107.27,107.58,107.14,107.49,45739.0
SRE,2018-05-11 17:00:00+00:00,107.45,107.52,107.32,107.42,36661.0
SRE,2018-05-11 18:00:00+00:00,107.45,107.45,107.0,107.12,29863.0
SRE,2018-05-11 19:00:00+00:00,107.12,107.14,106.86,107.1,78967.0
SRE,2018-05-14 13:00:00+00:00,107.33,107.605,107.14,107.17,16397.0
SRE,2018-05-14 14:00:00+00:00,107.15,107.42,107.04,107.3,36135.0
SRE,2018-05-14 15:00:00+00:00,107.29,107.42,106.89,106.92,35110.0
SRE,2018-05-14 16:00:00+00:00,106.92,106.92,106.22,106.61,38303.0
SRE,2018-05-14 17:00:00+00:00,106.63,106.63,106.12,106.12,29965.0
SRE,2018-05-14 18:00:00+00:00,106.13,106.37,106.08,106.37,32357.0
SRE,2018-05-14 19:00:00+00:00,106.36,106.52,106.2,106.52,85546.0
SRE,2018-05-15 13:00:00+00:00,105.61,106.03,104.41,104.54,14150.0
SRE,2018-05-15 14:00:00+00:00,104.54,105.64,104.54,105.4,59375.0
SRE,2018-05-15 15:00:00+00:00,105.41,105.445,105.09,105.09,30149.0
SRE,2018-05-15 16:00:00+00:00,105.1,105.4,105.02,105.23,40754.0
SRE,2018-05-15 17:00:00+00:00,105.21,105.46,105.1,105.11,38502.0
SRE,2018-05-15 18:00:00+00:00,105.11,105.24,104.84,105.13,63684.0
SRE,2018-05-15 19:00:00+00:00,105.15,105.28,104.905,105.25,119861.0
SRE,2018-05-16 13:00:00+00:00,105.43,105.43,104.77,104.99,9333.0
SRE,2018-05-16 14:00:00+00:00,105.0,105.12,103.92,104.05,34057.0
SRE,2018-05-16 15:00:00+00:00,104.05,104.2,103.68,103.76,60360.0
SRE,2018-05-16 16:00:00+00:00,103.75,103.91,103.56,103.77,38038.0
SRE,2018-05-16 17:00:00+00:00,103.79,103.88,103.69,103.7,40366.0
SRE,2018-05-16 18:00:00+00:00,103.71,103.85,103.55,103.75,54092.0
SRE,2018-05-16 19:00:00+00:00,103.73,103.74,103.19,103.33,86388.0
SRE,2018-05-17 13:00:00+00:00,103.51,103.54,102.99,102.99,10039.0
SRE,2018-05-17 14:00:00+00:00,102.98,103.36,102.93,103.18,28519.0
SRE,2018-05-17 15:00:00+00:00,103.21,103.3,102.79,102.85,23936.0
SRE,2018-05-17 16:00:00+00:00,102.84,102.94,102.48,102.57,28939.0
