symbol,ts,open,high,low,close,volume
STX,2018-05-01 11:00:00+00:00,58.0,58.1,58.0,58.1,178.0
STX,2018-05-01 12:00:00+00:00,59.0,60.0,54.35,55.1,5027.0
STX,2018-05-01 13:00:00+00:00,55.42,56.5,49.08,54.11,1537978.0
STX,2018-05-01 14:00:00+00:00,54.1,54.11,51.67,52.83,1080697.0
STX,2018-05-01 15:00:00+00:00,52.815,52.98,52.13,52.64,338806.0
STX,2018-05-01 16:00:00+00:00,52.65,53.67,52.64,53.55,220457.0
STX,2018-05-01 17:00:00+00:00,53.55,53.94,53.16,53.71,222254.0
STX,2018-05-01 18:00:00+00:00,53.7,54.18,53.45,53.71,265627.0
STX,2018-05-01 19:00:00+00:00,53.7,54.39,53.67,54.22,497146.0
STX,2018-05-01 20:00:00+00:00,54.21,54.28,54.0,54.0,298252.0
STX,2018-05-01 21:00:00+00:00,54.21,54.21,54.21,54.21,125.0
STX,2018-05-01 22:00:00+00:00,54.05,54.05,54.05,54.05,10.0
STX,2018-05-01 23:00:00+00:00,54.4,54.4,54.4,54.4,440.0
STX,2018-05-02 11:00:00+00:00,54.41,54.41,52.75,52.75,3306.0
STX,2018-05-02 12:00:00+00:00,53.49,53.49,53.0,53.01,2860.0
STX,2018-05-02 13:00:00+00:00,53.01,53.06,51.8,52.4,383092.0
STX,2018-05-02 14:00:00+00:00,52.395,54.1,52.31,54.1,397696.0
STX,2018-05-02 15:00:00+00:00,54.1,54.2,53.26,53.32,271358.0
STX,2018-05-02 16:00:00+00:00,53.31,54.07,53.26,54.06,161350.0
STX,2018-05-02 17:00:00+00:00,54.055,54.4,53.9,53.91,158082.0
STX,2018-05-02 18:00:00+00:00,53.91,54.4,53.87,54.04,193410.0
STX,2018-05-02 19:00:00+00:00,54.04,54.995,54.04,54.7,608594.0
STX,2018-05-02 20:00:00+00:00,54.7,54.71,54.45,54.45,330129.0
STX,2018-05-03 12:00:00+00:00,54.28,54.68,54.28,54.68,112.0
STX,2018-05-03 13:00:00+00:00,54.57,55.11,54.04,54.99,183085.0
STX,2018-05-03 14:00:00+00:00,54.98,55.04,54.26,54.28,253476.0
STX,2018-05-03 15:00:00+00:00,54.28,54.79,54.21,54.69,110279.0
STX,2018-05-03 16:00:00+00:00,54.7,55.03,54.45,54.94,131774.0
STX,2018-05-03 17:00:00+00:00,54.925,54.95,54.67,54.74,99239.0
STX,2018-05-03 18:00:00+00:00,54.75,54.83,54.39,54.7,145239.0
STX,2018-05-03 19:00:00+00:00,54.72,55.03,54.72,54.97,253008.0
STX,2018-05-03 20:00:00+00:00,54.97,55.0,54.97,55.0,222819.0
STX,2018-05-04 12:00:00+00:00,54.98,54.98,54.97,54.97,21.0
STX,2018-05-04 13:00:00+00:00,54.75,55.3,54.75,55.06,110801.0
STX,2018-05-04 14:00:00+00:00,55.08,55.41,54.69,55.2,140002.0
STX,2018-05-04 15:00:00+00:00,55.18,55.6,55.18,55.5,73534.0
STX,2018-05-04 16:00:00+00:00,55.515,55.65,55.45,55.58,47485.0
STX,2018-05-04 17:00:00+00:00,55.59,55.85,55.53,55.85,46858.0
STX,2018-05-04 18:00:00+00:00,55.85,55.9,55.71,55.72,89414.0
STX,2018-05-04 19:00:00+00:00,55.73,55.95,55.58,55.68,249039.0
STX,2018-05-04 20:00:00+00:00,55.68,55.68,55.5,55.5,140101.0
STX,2018-05-04 22:00:00+00:00,55.02,55.02,55.02,55.02,41.0
STX,2018-05-07 13:00:00+00:00,55.73,55.98,55.41,55.72,133478.0
STX,2018-05-07 14:00:00+00:00,55.75,56.12,55.45,55.77,198664.0
STX,2018-05-07 15:00:00+00:00,55.79,56.15,55.75,56.09,155399.0
STX,2018-05-07 16:00:00+00:00,56.09,56.33,56.06,56.21,93596.0
STX,2018-05-07 17:00:00+00:00,56.21,56.25,56.06,56.08,99177.0
STX,2018-05-07 18:00:00+00:00,56.1,56.29,56.04,56.17,110718.0
STX,2018-05-07 19:00:00+00:00,56.17,56.26,55.73,55.94,344166.0
STX,2018-05-07 20:00:00+00:00,55.95,56.0,55.93,56.0,554942.0
STX,2018-05-08 13:00:00+00:00,55.7,56.16,55.5,56.16,107986.0
STX,2018-05-08 14:00:00+00:00,56.16,56.37,55.95,56.24,92229.0
STX,2018-05-08 15:00:00+00:00,56.22,56.62,56.11,56.19,111360.0
STX,2018-05-08 16:00:00+00:00,56.16,56.21,55.91,55.96,76055.0
STX,2018-05-08 17:00:00+00:00,55.95,56.14,55.85,55.89,62669.0
STX,2018-05-08 18:00:00+00:00,55.89,56.18,55.79,55.98,105474.0
STX,2018-05-08 19:00:00+00:00,55.98,56.49,55.92,56.49,195962.0
STX,2018-05-08 20:00:00+00:00,56.49,56.49,56.46,56.46,478888.0
STX,2018-05-08 23:00:00+00:00,56.8,56.8,56.8,56.8,25.0
STX,2018-05-09 13:00:00+00:00,56.82,56.95,56.38,56.82,131159.0
STX,2018-05-09 14:00:00+00:00,56.8,57.33,56.73,56.97,83235.0
STX,2018-05-09 15:00:00+00:00,56.96,57.15,56.82,56.83,64942.0
STX,2018-05-09 16:00:00+00:00,56.84,57.25,56.79,57.25,52887.0
STX,2018-05-09 17:00:00+00:00,57.25,57.39,57.16,57.22,56369.0
STX,2018-05-09 18:00:00+00:00,57.22,57.33,57.14,57.2,63641.0
STX,2018-05-09 19:00:00+00:00,57.21,57.34,56.99,57.23,219530.0
STX,2018-05-09 20:00:00+00:00,57.23,57.25,57.21,57.23,206614.0
STX,2018-05-10 13:00:00+00:00,57.81,57.81,57.16,57.26,104405.0
STX,2018-05-10 14:00:00+00:00,57.27,57.85,57.11,57.76,99974.0
STX,2018-05-10 15:00:00+00:00,57.75,58.32,57.75,58.27,86151.0
STX,2018-05-10 16:00:00+00:00,58.27,58.48,58.24,58.405,74818.0
STX,2018-05-10 17:00:00+00:00,58.4,58.5,58.16,58.25,61288.0
STX,2018-05-10 18:00:00+00:00,58.26,58.32,57.54,57.65,114525.0
STX,2018-05-10 19:00:00+00:00,57.66,57.68,57.16,57.27,419586.0
STX,2018-05-10 20:00:00+00:00,57.27,57.27,57.27,57.27,142980.0
STX,2018-05-11 12:00:00+00:00,57.02,57.02,57.02,57.02,4.0
STX,2018-05-11 13:00:00+00:00,57.26,57.6,56.9,57.14,74540.0
STX,2018-05-11 14:00:00+00:00,57.11,57.78,57.08,57.63,94507.0
STX,2018-05-11 15:00:00+00:00,57.65,57.66,57.32,57.42,132820.0
STX,2018-05-11 16:00:00+00:00,57.41,57.5,56.89,56.96,106878.0
STX,2018-05-11 17:00:00+00:00,56.95,57.0,56.73,56.83,75421.0
STX,2018-05-11 18:00:00+00:00,56.82,56.88,56.64,56.67,67532.0
STX,2018-05-11 19:00:00+00:00,56.67,56.83,56.64,56.71,215870.0
STX,2018-05-11 20:00:00+00:00,56.71,56.71,56.71,56.71,268306.0
STX,2018-05-14 11:00:00+00:00,56.99,56.99,56.99,56.99,57.0
STX,2018-05-14 12:00:00+00:00,56.81,56.81,56.81,56.81,17.0
STX,2018-05-14 13:00:00+00:00,56.81,57.96,56.8,57.87,121352.0
STX,2018-05-14 14:00:00+00:00,57.87,58.1,57.56,57.56,107453.0
STX,2018-05-14 15:00:00+00:00,57.56,57.76,57.38,57.42,111835.0
STX,2018-05-14 16:00:00+00:00,57.43,57.56,57.09,57.09,33861.0
STX,2018-05-14 17:00:00+00:00,57.085,57.19,56.96,57.17,42141.0
STX,2018-05-14 18:00:00+00:00,57.18,57.26,57.01,57.26,40770.0
