symbol,ts,open,high,low,close,volume
SW,2024-07-08 13:00:00+00:00,47.2,47.545,47.14,47.37,7819.0
SW,2024-07-08 14:00:00+00:00,47.37,47.43,46.13,46.43,67641.0
SW,2024-07-08 15:00:00+00:00,46.43,46.43,45.42,46.06,152076.0
SW,2024-07-08 16:00:00+00:00,46.06,46.925,46.06,46.53,116831.0
SW,2024-07-08 17:00:00+00:00,46.53,46.75,46.11,46.21,105187.0
SW,2024-07-08 18:00:00+00:00,46.2,46.25,45.16,45.48,173109.0
SW,2024-07-08 19:00:00+00:00,45.45,46.25,44.91,46.0,462594.0
SW,2024-07-08 20:00:00+00:00,45.85,46.27,45.85,46.27,6924.0
SW,2024-07-08 22:00:00+00:00,46.27,46.27,46.27,46.27,2.0
SW,2024-07-08 23:00:00+00:00,46.27,46.27,46.27,46.27,56.0
SW,2024-07-09 08:00:00+00:00,45.99,46.0,45.99,46.0,151.0
SW,2024-07-09 09:00:00+00:00,46.0,46.1,46.0,46.1,2000.0
SW,2024-07-09 10:00:00+00:00,45.98,45.98,45.0,45.0,1040.0
SW,2024-07-09 11:00:00+00:00,44.99,45.17,44.9,45.05,29325.0
SW,2024-07-09 12:00:00+00:00,44.98,45.04,44.67,44.72,34167.0
SW,2024-07-09 13:00:00+00:00,44.73,45.64,44.73,45.47,471256.0
SW,2024-07-09 14:00:00+00:00,45.47,45.81,45.25,45.34,173396.0
SW,2024-07-09 15:00:00+00:00,45.33,45.48,44.825,45.17,260348.0
SW,2024-07-09 16:00:00+00:00,45.185,45.2,44.53,44.97,87680.0
SW,2024-07-09 17:00:00+00:00,44.98,45.08,44.63,44.7,94987.0
SW,2024-07-09 18:00:00+00:00,44.69,44.78,44.32,44.78,119535.0
SW,2024-07-09 19:00:00+00:00,44.76,45.28,44.65,44.79,220932.0
SW,2024-07-09 20:00:00+00:00,45.18,45.18,45.09,45.09,400.0
SW,2024-07-10 09:00:00+00:00,44.41,44.6,44.35,44.6,1323.0
SW,2024-07-10 10:00:00+00:00,44.61,44.77,44.61,44.77,4149.0
SW,2024-07-10 11:00:00+00:00,44.78,44.79,44.73,44.77,10633.0
SW,2024-07-10 12:00:00+00:00,44.76,44.91,44.7,44.9,14118.0
SW,2024-07-10 13:00:00+00:00,44.92,45.1,44.4,44.95,151405.0
SW,2024-07-10 14:00:00+00:00,44.95,45.21,44.9,45.01,155172.0
SW,2024-07-10 15:00:00+00:00,44.99,45.27,44.77,45.06,156784.0
SW,2024-07-10 16:00:00+00:00,45.08,45.48,44.87,45.48,78460.0
SW,2024-07-10 17:00:00+00:00,45.45,45.48,45.07,45.37,62327.0
SW,2024-07-10 18:00:00+00:00,45.36,46.24,45.29,45.99,169060.0
SW,2024-07-10 19:00:00+00:00,45.98,46.05,45.42,45.84,157564.0
SW,2024-07-10 20:00:00+00:00,45.8,45.8,45.8,45.8,1835.0
SW,2024-07-11 08:00:00+00:00,45.44,45.45,45.21,45.39,11888.0
SW,2024-07-11 09:00:00+00:00,45.37,45.67,45.27,45.67,16712.0
SW,2024-07-11 10:00:00+00:00,45.35,45.44,45.08,45.08,9124.0
SW,2024-07-11 11:00:00+00:00,45.26,45.33,45.19,45.33,7354.0
SW,2024-07-11 12:00:00+00:00,45.16,45.52,45.14,45.37,56217.0
SW,2024-07-11 13:00:00+00:00,45.37,45.88,45.31,45.59,180238.0
