symbol,ts,open,high,low,close,volume
SWKS,2018-05-01 13:00:00+00:00,86.85,88.91,86.75,88.81,109756.0
SWKS,2018-05-01 14:00:00+00:00,88.78,89.53,88.64,89.08,154531.0
SWKS,2018-05-01 15:00:00+00:00,89.05,89.86,88.78,89.36,105662.0
SWKS,2018-05-01 16:00:00+00:00,89.38,89.66,89.17,89.32,65295.0
SWKS,2018-05-01 17:00:00+00:00,89.33,89.9,89.02,89.84,112586.0
SWKS,2018-05-01 18:00:00+00:00,89.85,90.15,89.56,90.1,142535.0
SWKS,2018-05-01 19:00:00+00:00,90.11,91.03,90.03,90.91,315467.0
SWKS,2018-05-01 20:00:00+00:00,90.9,93.9,90.9,93.5,212926.0
SWKS,2018-05-01 21:00:00+00:00,93.47,93.47,92.5,92.5,3197.0
SWKS,2018-05-01 22:00:00+00:00,92.8,93.0,92.79,93.0,591.0
SWKS,2018-05-01 23:00:00+00:00,93.35,93.5,93.15,93.5,940.0
SWKS,2018-05-02 11:00:00+00:00,93.0,93.0,93.0,93.0,10.0
SWKS,2018-05-02 12:00:00+00:00,93.24,93.25,93.24,93.25,130.0
SWKS,2018-05-02 13:00:00+00:00,93.2,93.75,91.35,91.51,178613.0
SWKS,2018-05-02 14:00:00+00:00,91.52,91.82,91.09,91.19,133528.0
SWKS,2018-05-02 15:00:00+00:00,91.16,91.46,90.66,91.26,80157.0
SWKS,2018-05-02 16:00:00+00:00,91.25,91.97,91.08,91.92,81922.0
SWKS,2018-05-02 17:00:00+00:00,91.93,92.12,91.7,91.86,68202.0
SWKS,2018-05-02 18:00:00+00:00,91.81,92.25,91.58,91.83,82350.0
SWKS,2018-05-02 19:00:00+00:00,91.85,91.96,91.16,91.37,236870.0
SWKS,2018-05-02 20:00:00+00:00,91.36,91.36,90.85,90.85,172543.0
SWKS,2018-05-02 21:00:00+00:00,91.0,91.0,91.0,91.0,100.0
SWKS,2018-05-03 12:00:00+00:00,91.08,91.08,91.08,91.08,6.0
SWKS,2018-05-03 13:00:00+00:00,90.69,91.08,89.55,90.3,101594.0
SWKS,2018-05-03 14:00:00+00:00,90.31,90.46,89.73,90.27,145148.0
SWKS,2018-05-03 15:00:00+00:00,90.26,91.61,90.1,91.465,101221.0
SWKS,2018-05-03 16:00:00+00:00,91.47,92.71,91.22,92.49,128095.0
SWKS,2018-05-03 17:00:00+00:00,92.48,92.58,92.0,92.08,82191.0
SWKS,2018-05-03 18:00:00+00:00,92.06,92.61,91.78,92.27,99715.0
SWKS,2018-05-03 19:00:00+00:00,92.29,92.97,92.11,92.26,353055.0
SWKS,2018-05-03 20:00:00+00:00,92.25,95.0,89.0,92.7,212761.0
SWKS,2018-05-03 21:00:00+00:00,92.5,93.0,92.25,92.25,8023.0
SWKS,2018-05-03 22:00:00+00:00,91.8,91.8,91.8,91.8,213.0
SWKS,2018-05-03 23:00:00+00:00,91.5,91.5,90.09,90.09,1533.0
SWKS,2018-05-04 12:00:00+00:00,90.73,91.4,90.7,91.2,428.0
SWKS,2018-05-04 13:00:00+00:00,91.39,93.21,88.0,93.1,218345.0
SWKS,2018-05-04 14:00:00+00:00,93.02,95.42,93.02,94.63,234967.0
SWKS,2018-05-04 15:00:00+00:00,94.69,95.93,94.69,95.01,125371.0
SWKS,2018-05-04 16:00:00+00:00,94.99,95.09,94.21,94.66,88677.0
SWKS,2018-05-04 17:00:00+00:00,94.7,94.85,94.0,94.57,69158.0
SWKS,2018-05-04 18:00:00+00:00,94.57,95.33,94.52,95.14,85612.0
SWKS,2018-05-04 19:00:00+00:00,95.13,96.28,95.1,96.2,353592.0
SWKS,2018-05-04 20:00:00+00:00,96.2,96.2,95.9,95.9,153593.0
SWKS,2018-05-07 13:00:00+00:00,96.35,96.39,93.5,93.75,250459.0
SWKS,2018-05-07 14:00:00+00:00,93.69,93.7,92.47,93.32,233592.0
SWKS,2018-05-07 15:00:00+00:00,93.3,94.71,93.14,94.68,149633.0
SWKS,2018-05-07 16:00:00+00:00,94.7,94.93,94.33,94.59,112956.0
SWKS,2018-05-07 17:00:00+00:00,94.59,95.33,94.22,95.33,104882.0
SWKS,2018-05-07 18:00:00+00:00,95.32,95.67,94.905,95.34,97224.0
SWKS,2018-05-07 19:00:00+00:00,95.31,95.64,94.96,95.34,259918.0
SWKS,2018-05-07 20:00:00+00:00,95.34,95.34,95.33,95.33,161818.0
SWKS,2018-05-07 21:00:00+00:00,95.0,95.0,95.0,95.0,500.0
SWKS,2018-05-08 11:00:00+00:00,94.43,94.43,94.43,94.43,60.0
SWKS,2018-05-08 13:00:00+00:00,95.42,96.75,95.185,96.65,150179.0
SWKS,2018-05-08 14:00:00+00:00,96.62,96.62,95.78,95.99,147550.0
SWKS,2018-05-08 15:00:00+00:00,95.99,96.6,95.9,96.5,112065.0
SWKS,2018-05-08 16:00:00+00:00,96.47,96.52,95.86,95.96,63970.0
SWKS,2018-05-08 17:00:00+00:00,95.91,96.59,95.855,96.3,57098.0
SWKS,2018-05-08 18:00:00+00:00,96.32,96.78,96.07,96.39,80195.0
SWKS,2018-05-08 19:00:00+00:00,96.39,96.64,96.29,96.63,158585.0
