symbol,ts,open,high,low,close,volume
SYY,2018-05-01 13:00:00+00:00,62.32,63.16,62.32,62.75,59801.0
SYY,2018-05-01 14:00:00+00:00,62.74,62.92,62.49,62.77,98111.0
SYY,2018-05-01 15:00:00+00:00,62.77,63.16,62.71,63.02,73241.0
SYY,2018-05-01 16:00:00+00:00,63.01,63.03,62.86,62.96,43945.0
SYY,2018-05-01 17:00:00+00:00,62.96,63.16,62.655,63.16,48508.0
SYY,2018-05-01 18:00:00+00:00,63.16,63.4,63.12,63.18,61964.0
SYY,2018-05-01 19:00:00+00:00,63.19,63.39,62.995,63.1,113596.0
SYY,2018-05-02 13:00:00+00:00,62.96,62.96,62.15,62.25,43972.0
SYY,2018-05-02 14:00:00+00:00,62.21,62.79,62.2,62.69,52895.0
SYY,2018-05-02 15:00:00+00:00,62.68,62.9,62.61,62.8,81376.0
SYY,2018-05-02 16:00:00+00:00,62.8,62.92,62.74,62.89,51064.0
SYY,2018-05-02 17:00:00+00:00,62.9,63.12,62.84,63.11,38003.0
SYY,2018-05-02 18:00:00+00:00,63.13,63.24,62.91,63.03,84033.0
SYY,2018-05-02 19:00:00+00:00,63.03,63.23,62.785,62.81,125972.0
SYY,2018-05-03 13:00:00+00:00,62.68,62.68,62.07,62.26,46632.0
SYY,2018-05-03 14:00:00+00:00,62.24,62.27,61.73,61.85,93729.0
SYY,2018-05-03 15:00:00+00:00,61.86,62.075,61.73,62.06,104300.0
SYY,2018-05-03 16:00:00+00:00,62.06,62.51,61.99,62.51,64291.0
SYY,2018-05-03 17:00:00+00:00,62.5,62.65,62.28,62.49,76855.0
SYY,2018-05-03 18:00:00+00:00,62.44,62.44,62.09,62.125,82077.0
SYY,2018-05-03 19:00:00+00:00,62.13,62.27,62.07,62.19,183637.0
SYY,2018-05-04 13:00:00+00:00,62.0,62.26,61.86,61.94,62336.0
SYY,2018-05-04 14:00:00+00:00,61.94,62.345,61.77,62.17,142876.0
SYY,2018-05-04 15:00:00+00:00,62.175,62.32,62.05,62.055,157425.0
SYY,2018-05-04 16:00:00+00:00,62.06,62.355,62.06,62.305,101764.0
SYY,2018-05-04 17:00:00+00:00,62.31,62.83,62.28,62.66,86707.0
SYY,2018-05-04 18:00:00+00:00,62.66,62.8,62.54,62.72,103722.0
SYY,2018-05-04 19:00:00+00:00,62.72,62.79,62.19,62.28,214272.0
SYY,2018-05-04 20:00:00+00:00,63.25,63.25,63.04,63.04,5900.0
SYY,2018-05-04 22:00:00+00:00,63.4,63.4,63.4,63.4,50.0
SYY,2018-05-07 13:00:00+00:00,62.44,63.59,61.35,63.47,67886.0
SYY,2018-05-07 14:00:00+00:00,63.49,64.64,63.0,64.42,93316.0
SYY,2018-05-07 15:00:00+00:00,64.48,64.76,64.06,64.21,70032.0
SYY,2018-05-07 16:00:00+00:00,64.19,64.49,64.16,64.19,60663.0
SYY,2018-05-07 17:00:00+00:00,64.19,64.23,63.79,63.79,55447.0
SYY,2018-05-07 18:00:00+00:00,63.78,63.78,63.42,63.63,109481.0
SYY,2018-05-07 19:00:00+00:00,63.62,63.7,63.39,63.47,157607.0
SYY,2018-05-07 20:00:00+00:00,63.81,63.81,63.81,63.81,1.0
SYY,2018-05-08 13:00:00+00:00,63.14,63.14,62.5,62.65,48256.0
SYY,2018-05-08 14:00:00+00:00,62.65,62.79,62.4,62.685,134181.0
SYY,2018-05-08 15:00:00+00:00,62.685,62.775,62.64,62.64,84572.0
SYY,2018-05-08 16:00:00+00:00,62.65,62.925,62.63,62.71,43793.0
SYY,2018-05-08 17:00:00+00:00,62.7,62.84,62.66,62.8,38887.0
SYY,2018-05-08 18:00:00+00:00,62.805,62.81,62.37,62.59,95518.0
SYY,2018-05-08 19:00:00+00:00,62.59,62.77,62.56,62.75,151211.0
SYY,2018-05-09 13:00:00+00:00,62.81,63.16,62.75,62.82,25848.0
SYY,2018-05-09 14:00:00+00:00,62.82,62.97,62.76,62.85,60275.0
SYY,2018-05-09 15:00:00+00:00,62.84,63.42,62.84,63.29,57513.0
SYY,2018-05-09 16:00:00+00:00,63.29,63.34,63.19,63.31,47614.0
SYY,2018-05-09 17:00:00+00:00,63.32,63.425,63.24,63.4,54387.0
SYY,2018-05-09 18:00:00+00:00,63.38,63.54,63.23,63.42,75652.0
SYY,2018-05-09 19:00:00+00:00,63.42,63.6,63.4,63.5,122391.0
SYY,2018-05-09 20:00:00+00:00,63.48,63.48,63.48,63.48,4.0
SYY,2018-05-10 13:00:00+00:00,63.79,63.83,63.3,63.49,15215.0
SYY,2018-05-10 14:00:00+00:00,63.49,63.57,63.31,63.4,33275.0
SYY,2018-05-10 15:00:00+00:00,63.39,63.55,63.39,63.48,24986.0
SYY,2018-05-10 16:00:00+00:00,63.47,63.49,63.21,63.22,35025.0
SYY,2018-05-10 17:00:00+00:00,63.23,63.29,62.97,63.01,31422.0
SYY,2018-05-10 18:00:00+00:00,63.0,63.13,62.86,62.94,37625.0
SYY,2018-05-10 19:00:00+00:00,62.96,63.025,62.65,62.74,86659.0
SYY,2018-05-11 13:00:00+00:00,62.69,63.14,62.57,63.09,10909.0
SYY,2018-05-11 14:00:00+00:00,63.14,63.18,62.86,62.98,27370.0
SYY,2018-05-11 15:00:00+00:00,62.97,62.97,62.79,62.83,31652.0
SYY,2018-05-11 16:00:00+00:00,62.835,62.935,62.78,62.885,25195.0
SYY,2018-05-11 17:00:00+00:00,62.89,62.905,62.75,62.79,24791.0
SYY,2018-05-11 18:00:00+00:00,62.8,62.94,62.78,62.94,34365.0
SYY,2018-05-11 19:00:00+00:00,62.945,62.945,62.785,62.83,79865.0
SYY,2018-05-14 13:00:00+00:00,63.01,63.09,62.91,62.94,10663.0
SYY,2018-05-14 14:00:00+00:00,62.93,63.0,62.78,62.81,31360.0
SYY,2018-05-14 15:00:00+00:00,62.8,62.89,62.66,62.81,23605.0
SYY,2018-05-14 16:00:00+00:00,62.83,62.88,62.72,62.73,22141.0
SYY,2018-05-14 17:00:00+00:00,62.73,62.82,62.7,62.82,21338.0
SYY,2018-05-14 18:00:00+00:00,62.82,62.855,62.7,62.84,22024.0
SYY,2018-05-14 19:00:00+00:00,62.85,62.91,62.73,62.9,80865.0
SYY,2018-05-15 13:00:00+00:00,62.74,62.93,62.5,62.91,17698.0
SYY,2018-05-15 14:00:00+00:00,62.9,63.21,62.83,63.14,108955.0
SYY,2018-05-15 15:00:00+00:00,63.14,63.17,62.93,62.93,43292.0
SYY,2018-05-15 16:00:00+00:00,62.96,63.05,62.89,63.03,34594.0
SYY,2018-05-15 17:00:00+00:00,63.03,63.05,62.88,62.99,26732.0
SYY,2018-05-15 18:00:00+00:00,62.98,63.01,62.79,62.83,29272.0
SYY,2018-05-15 19:00:00+00:00,62.84,62.98,62.77,62.91,88853.0
SYY,2018-05-16 13:00:00+00:00,63.1,63.26,63.06,63.19,5413.0
SYY,2018-05-16 14:00:00+00:00,63.19,63.34,63.16,63.19,12850.0
SYY,2018-05-16 15:00:00+00:00,63.17,63.285,63.14,63.215,36694.0
SYY,2018-05-16 16:00:00+00:00,63.22,63.34,63.2,63.26,64239.0
SYY,2018-05-16 17:00:00+00:00,63.255,63.27,63.17,63.23,23505.0
SYY,2018-05-16 18:00:00+00:00,63.23,63.37,63.21,63.31,36177.0
SYY,2018-05-16 19:00:00+00:00,63.3,63.405,63.23,63.34,85121.0
SYY,2018-05-17 13:00:00+00:00,63.38,63.61,63.3,63.58,8298.0
SYY,2018-05-17 14:00:00+00:00,63.59,63.825,63.57,63.825,26306.0
SYY,2018-05-17 15:00:00+00:00,63.8,63.91,63.75,63.89,36663.0
SYY,2018-05-17 16:00:00+00:00,63.9,63.93,63.83,63.86,32006.0
SYY,2018-05-17 17:00:00+00:00,63.855,63.97,63.85,63.87,71759.0
SYY,2018-05-17 18:00:00+00:00,63.88,63.98,63.82,63.97,78962.0
SYY,2018-05-17 19:00:00+00:00,63.96,63.97,63.76,63.855,110850.0
SYY,2018-05-18 13:00:00+00:00,63.97,64.0,63.54,63.6,32791.0
SYY,2018-05-18 14:00:00+00:00,63.6,63.81,63.53,63.81,48149.0
SYY,2018-05-18 15:00:00+00:00,63.84,63.86,63.62,63.67,24545.0
SYY,2018-05-18 16:00:00+00:00,63.65,63.65,63.49,63.57,19607.0
SYY,2018-05-18 17:00:00+00:00,63.57,63.59,63.45,63.5,24035.0
SYY,2018-05-18 18:00:00+00:00,63.51,63.575,63.49,63.51,33035.0
SYY,2018-05-18 19:00:00+00:00,63.5,63.565,63.42,63.54,78441.0
SYY,2018-05-21 13:00:00+00:00,63.72,63.86,63.56,63.69,9793.0
SYY,2018-05-21 14:00:00+00:00,63.67,63.9,63.63,63.83,15834.0
SYY,2018-05-21 15:00:00+00:00,63.83,63.93,63.79,63.85,12849.0
SYY,2018-05-21 16:00:00+00:00,63.86,63.97,63.86,63.9,10631.0
SYY,2018-05-21 17:00:00+00:00,63.91,64.06,63.86,63.87,16504.0
SYY,2018-05-21 18:00:00+00:00,63.87,63.9,63.78,63.84,17863.0
SYY,2018-05-21 19:00:00+00:00,63.84,63.86,63.58,63.64,80634.0
SYY,2018-05-22 13:00:00+00:00,63.67,63.89,63.67,63.77,28336.0
SYY,2018-05-22 14:00:00+00:00,63.76,64.04,63.73,63.79,37516.0
SYY,2018-05-22 15:00:00+00:00,63.8,63.95,63.8,63.85,36320.0
SYY,2018-05-22 16:00:00+00:00,63.855,63.99,63.855,63.97,24078.0
SYY,2018-05-22 17:00:00+00:00,63.97,64.04,63.89,64.04,64940.0
SYY,2018-05-22 18:00:00+00:00,64.04,64.1,63.89,63.89,33913.0
SYY,2018-05-22 19:00:00+00:00,63.88,63.93,63.615,63.69,60754.0
SYY,2018-05-23 13:00:00+00:00,63.68,63.74,63.51,63.73,11054.0
SYY,2018-05-23 14:00:00+00:00,63.72,63.88,63.62,63.87,48324.0
SYY,2018-05-23 15:00:00+00:00,63.86,64.03,63.76,63.77,24101.0
SYY,2018-05-23 16:00:00+00:00,63.76,63.8,63.53,63.7,20571.0
SYY,2018-05-23 17:00:00+00:00,63.7,63.78,63.63,63.72,17432.0
SYY,2018-05-23 18:00:00+00:00,63.73,64.13,63.73,64.07,36324.0
SYY,2018-05-23 19:00:00+00:00,64.07,64.13,63.96,64.09,72296.0
SYY,2018-05-24 13:00:00+00:00,64.19,64.2,63.89,63.96,6737.0
SYY,2018-05-24 14:00:00+00:00,63.94,64.17,63.94,64.13,27667.0
SYY,2018-05-24 15:00:00+00:00,64.13,64.42,64.12,64.42,21842.0
SYY,2018-05-24 16:00:00+00:00,64.42,64.55,64.4,64.55,22370.0
SYY,2018-05-24 17:00:00+00:00,64.55,64.68,64.49,64.62,19696.0
SYY,2018-05-24 18:00:00+00:00,64.62,64.62,64.48,64.55,21485.0
SYY,2018-05-24 19:00:00+00:00,64.54,64.65,64.48,64.6,42557.0
SYY,2018-05-25 13:00:00+00:00,64.64,64.84,64.53,64.82,10178.0
SYY,2018-05-25 14:00:00+00:00,64.79,65.33,64.78,65.31,40459.0
SYY,2018-05-25 15:00:00+00:00,65.3,65.395,65.17,65.21,23892.0
SYY,2018-05-25 16:00:00+00:00,65.19,65.2,64.98,64.99,21029.0
SYY,2018-05-25 17:00:00+00:00,64.99,65.04,64.77,64.8,25834.0
SYY,2018-05-25 18:00:00+00:00,64.81,64.99,64.81,64.97,30346.0
SYY,2018-05-25 19:00:00+00:00,64.96,65.08,64.93,65.01,64619.0
SYY,2018-05-29 13:00:00+00:00,64.98,65.11,64.86,65.095,14501.0
SYY,2018-05-29 14:00:00+00:00,65.1,65.21,64.94,65.15,22103.0
SYY,2018-05-29 15:00:00+00:00,65.16,65.19,64.92,64.935,22799.0
SYY,2018-05-29 16:00:00+00:00,64.92,65.14,64.74,65.12,30434.0
SYY,2018-05-29 17:00:00+00:00,65.12,65.12,64.89,65.03,25403.0
SYY,2018-05-29 18:00:00+00:00,65.02,65.09,64.85,64.97,34999.0
SYY,2018-05-29 19:00:00+00:00,64.95,65.21,64.93,65.15,95309.0
SYY,2018-05-30 13:00:00+00:00,65.57,65.73,65.34,65.7,7619.0
SYY,2018-05-30 14:00:00+00:00,65.67,66.18,65.64,66.17,66952.0
SYY,2018-05-30 15:00:00+00:00,66.18,66.44,66.06,66.38,26607.0
SYY,2018-05-30 16:00:00+00:00,66.39,66.46,66.2,66.26,39159.0
SYY,2018-05-30 17:00:00+00:00,66.27,66.5,66.11,66.11,43219.0
SYY,2018-05-30 18:00:00+00:00,66.11,66.23,66.06,66.1,54967.0
SYY,2018-05-30 19:00:00+00:00,66.1,66.1,65.915,66.06,92548.0
SYY,2018-05-31 13:00:00+00:00,65.8,66.2,65.57,65.57,38475.0
SYY,2018-05-31 14:00:00+00:00,65.56,65.72,65.26,65.34,49933.0
SYY,2018-05-31 15:00:00+00:00,65.34,65.6,65.25,65.45,37357.0
SYY,2018-05-31 16:00:00+00:00,65.44,65.44,65.25,65.31,32110.0
SYY,2018-05-31 17:00:00+00:00,65.31,65.31,65.12,65.14,33740.0
SYY,2018-05-31 18:00:00+00:00,65.12,65.23,65.06,65.16,39204.0
SYY,2018-05-31 19:00:00+00:00,65.17,65.21,64.96,65.02,135344.0
SYY,2018-06-01 13:00:00+00:00,65.28,65.43,65.17,65.22,24264.0
SYY,2018-06-01 14:00:00+00:00,65.215,65.805,65.21,65.775,66397.0
SYY,2018-06-01 15:00:00+00:00,65.77,65.775,65.3,65.37,43192.0
SYY,2018-06-01 16:00:00+00:00,65.37,65.63,65.33,65.57,36517.0
SYY,2018-06-01 17:00:00+00:00,65.58,65.73,65.42,65.47,52092.0
SYY,2018-06-01 18:00:00+00:00,65.48,65.62,65.44,65.54,38351.0
SYY,2018-06-01 19:00:00+00:00,65.54,65.57,65.35,65.4,58521.0
SYY,2018-06-04 13:00:00+00:00,65.67,66.04,65.51,66.02,10790.0
SYY,2018-06-04 14:00:00+00:00,66.05,66.115,65.53,65.53,33742.0
SYY,2018-06-04 15:00:00+00:00,65.53,65.55,65.39,65.5,27067.0
SYY,2018-06-04 16:00:00+00:00,65.515,65.55,65.34,65.495,33590.0
SYY,2018-06-04 17:00:00+00:00,65.5,65.53,65.37,65.47,28059.0
SYY,2018-06-04 18:00:00+00:00,65.47,65.64,65.44,65.64,39273.0
SYY,2018-06-04 19:00:00+00:00,65.63,65.76,65.57,65.75,89401.0
SYY,2018-06-05 13:00:00+00:00,66.03,66.03,65.48,65.54,10816.0
SYY,2018-06-05 14:00:00+00:00,65.53,65.76,65.46,65.64,26944.0
SYY,2018-06-05 15:00:00+00:00,65.62,65.75,65.34,65.47,27028.0
SYY,2018-06-05 16:00:00+00:00,65.46,65.62,65.44,65.505,19658.0
SYY,2018-06-05 17:00:00+00:00,65.51,65.78,65.51,65.76,22426.0
SYY,2018-06-05 18:00:00+00:00,65.76,65.97,65.76,65.955,28507.0
SYY,2018-06-05 19:00:00+00:00,65.95,65.96,65.73,65.84,56029.0
SYY,2018-06-06 13:00:00+00:00,65.91,65.96,65.67,65.85,11576.0
SYY,2018-06-06 14:00:00+00:00,65.81,65.85,65.56,65.79,25025.0
SYY,2018-06-06 15:00:00+00:00,65.79,65.89,65.43,65.52,29889.0
SYY,2018-06-06 16:00:00+00:00,65.53,65.76,65.52,65.71,21008.0
SYY,2018-06-06 17:00:00+00:00,65.73,65.95,65.64,65.64,19933.0
SYY,2018-06-06 18:00:00+00:00,65.65,65.8,65.55,65.77,22523.0
SYY,2018-06-06 19:00:00+00:00,65.77,65.83,65.63,65.78,70680.0
SYY,2018-06-07 13:00:00+00:00,65.6,65.92,65.6,65.75,12872.0
SYY,2018-06-07 14:00:00+00:00,65.79,66.14,65.76,65.97,30279.0
SYY,2018-06-07 15:00:00+00:00,65.97,66.055,65.74,65.8,42889.0
SYY,2018-06-07 16:00:00+00:00,65.79,65.91,65.79,65.84,22626.0
