symbol,ts,open,high,low,close,volume
T,2018-05-01 11:00:00+00:00,32.84,32.84,32.83,32.84,89.0
T,2018-05-01 12:00:00+00:00,32.84,32.84,32.68,32.84,6666.0
T,2018-05-01 13:00:00+00:00,32.84,32.93,32.67,32.67,302517.0
T,2018-05-01 14:00:00+00:00,32.66,32.75,32.555,32.59,391592.0
T,2018-05-01 15:00:00+00:00,32.6,32.6,32.475,32.48,478289.0
T,2018-05-01 16:00:00+00:00,32.475,32.61,32.46,32.525,329035.0
T,2018-05-01 17:00:00+00:00,32.52,32.55,32.41,32.545,398064.0
T,2018-05-01 18:00:00+00:00,32.545,32.66,32.425,32.45,619448.0
T,2018-05-01 19:00:00+00:00,32.45,32.545,32.365,32.53,1253757.0
T,2018-05-01 20:00:00+00:00,32.53,32.56,32.52,32.56,271.0
T,2018-05-01 21:00:00+00:00,32.55,32.56,32.55,32.56,128.0
T,2018-05-01 22:00:00+00:00,32.56,32.56,32.56,32.56,200.0
T,2018-05-01 23:00:00+00:00,32.56,32.56,32.55,32.55,220.0
T,2018-05-02 09:00:00+00:00,32.63,32.63,32.63,32.63,30.0
T,2018-05-02 10:00:00+00:00,32.6,32.6,32.6,32.6,1.0
T,2018-05-02 11:00:00+00:00,32.6,32.61,32.6,32.61,34.0
T,2018-05-02 12:00:00+00:00,32.6,32.63,32.58,32.58,1174.0
T,2018-05-02 13:00:00+00:00,32.56,32.63,32.23,32.235,493487.0
T,2018-05-02 14:00:00+00:00,32.235,32.42,32.2,32.4,646882.0
T,2018-05-02 15:00:00+00:00,32.405,32.41,32.31,32.31,237863.0
T,2018-05-02 16:00:00+00:00,32.305,32.32,32.23,32.28,293891.0
T,2018-05-02 17:00:00+00:00,32.28,32.35,32.27,32.35,276593.0
T,2018-05-02 18:00:00+00:00,32.34,32.37,32.09,32.095,857437.0
T,2018-05-02 19:00:00+00:00,32.09,32.09,31.91,32.05,1316499.0
T,2018-05-02 20:00:00+00:00,32.05,32.05,32.01,32.04,4510.0
T,2018-05-02 21:00:00+00:00,32.08,32.08,32.05,32.05,625.0
T,2018-05-02 23:00:00+00:00,32.07,32.14,32.07,32.12,1308.0
T,2018-05-03 08:00:00+00:00,32.24,32.24,32.24,32.24,15.0
T,2018-05-03 09:00:00+00:00,32.1,32.2,32.1,32.2,8.0
T,2018-05-03 10:00:00+00:00,32.2,32.2,32.2,32.2,2.0
T,2018-05-03 11:00:00+00:00,32.1,32.1,32.0,32.0,1122.0
T,2018-05-03 12:00:00+00:00,32.05,32.15,32.03,32.15,3873.0
T,2018-05-03 13:00:00+00:00,32.07,32.09,31.8,32.03,341080.0
T,2018-05-03 14:00:00+00:00,32.03,32.15,31.715,31.73,1050296.0
