symbol,ts,open,high,low,close,volume
TAP,2018-05-01 13:00:00+00:00,71.2,71.43,70.69,70.76,55487.0
TAP,2018-05-01 14:00:00+00:00,70.715,70.78,70.37,70.53,56634.0
TAP,2018-05-01 15:00:00+00:00,70.48,71.11,70.43,70.81,59330.0
TAP,2018-05-01 16:00:00+00:00,70.8,70.85,70.45,70.52,37257.0
TAP,2018-05-01 17:00:00+00:00,70.52,71.08,70.49,70.98,138397.0
TAP,2018-05-01 18:00:00+00:00,70.98,71.27,70.8,71.19,59535.0
TAP,2018-05-01 19:00:00+00:00,71.2,71.74,71.08,71.73,140112.0
TAP,2018-05-02 11:00:00+00:00,67.0,68.0,67.0,68.0,106.0
TAP,2018-05-02 12:00:00+00:00,67.95,68.5,67.95,68.0,310.0
TAP,2018-05-02 13:00:00+00:00,68.35,68.35,62.88,63.18,308254.0
TAP,2018-05-02 14:00:00+00:00,63.12,63.78,62.62,63.21,308022.0
TAP,2018-05-02 15:00:00+00:00,63.21,63.21,62.02,62.8,254296.0
TAP,2018-05-02 16:00:00+00:00,62.8,63.15,62.19,62.73,114286.0
TAP,2018-05-02 17:00:00+00:00,62.75,62.885,62.34,62.84,99675.0
TAP,2018-05-02 18:00:00+00:00,62.83,62.84,61.16,61.24,234373.0
TAP,2018-05-02 19:00:00+00:00,61.23,61.29,60.185,60.58,419838.0
TAP,2018-05-02 20:00:00+00:00,60.93,61.1,60.65,60.65,316.0
TAP,2018-05-02 22:00:00+00:00,60.9,60.9,60.9,60.9,110.0
TAP,2018-05-03 11:00:00+00:00,61.06,61.06,61.06,61.06,1.0
TAP,2018-05-03 12:00:00+00:00,61.05,61.05,60.85,60.85,65.0
TAP,2018-05-03 13:00:00+00:00,60.7,63.25,60.64,62.97,74294.0
TAP,2018-05-03 14:00:00+00:00,62.965,63.03,60.59,60.72,167205.0
TAP,2018-05-03 15:00:00+00:00,60.71,61.34,60.33,60.35,92833.0
TAP,2018-05-03 16:00:00+00:00,60.35,60.38,60.03,60.12,52094.0
TAP,2018-05-03 17:00:00+00:00,60.11,60.41,59.83,60.37,63522.0
TAP,2018-05-03 18:00:00+00:00,60.37,60.37,59.85,59.86,69208.0
TAP,2018-05-03 19:00:00+00:00,59.85,59.94,59.32,59.4,160406.0
TAP,2018-05-03 23:00:00+00:00,59.85,59.85,59.85,59.85,50.0
TAP,2018-05-04 13:00:00+00:00,59.51,59.51,58.76,58.99,75250.0
TAP,2018-05-04 14:00:00+00:00,58.97,60.27,58.83,60.15,78134.0
TAP,2018-05-04 15:00:00+00:00,60.23,60.56,60.05,60.38,55478.0
