symbol,ts,open,high,low,close,volume
TDY,2018-05-01 13:00:00+00:00,185.62,185.62,184.47,184.94,9612.0
TDY,2018-05-01 14:00:00+00:00,184.48,184.535,180.64,180.64,18250.0
TDY,2018-05-01 15:00:00+00:00,180.47,180.72,179.43,179.43,18023.0
TDY,2018-05-01 16:00:00+00:00,179.31,179.95,178.88,179.21,10974.0
TDY,2018-05-01 17:00:00+00:00,179.105,179.55,177.62,179.03,14966.0
TDY,2018-05-01 18:00:00+00:00,179.32,181.03,179.2,180.6,11663.0
TDY,2018-05-01 19:00:00+00:00,180.66,180.92,179.3,180.7,23241.0
TDY,2018-05-02 13:00:00+00:00,181.44,181.44,180.88,181.29,1021.0
TDY,2018-05-02 14:00:00+00:00,181.68,183.13,181.68,183.0,5784.0
TDY,2018-05-02 15:00:00+00:00,182.82,183.4,182.39,182.59,2521.0
TDY,2018-05-02 16:00:00+00:00,182.57,182.9,182.2,182.2,3784.0
TDY,2018-05-02 17:00:00+00:00,182.19,182.3,181.28,181.44,2830.0
TDY,2018-05-02 18:00:00+00:00,181.41,181.79,181.04,181.23,5009.0
TDY,2018-05-02 19:00:00+00:00,181.25,181.4,179.51,179.82,10878.0
TDY,2018-05-03 13:00:00+00:00,182.02,185.0,181.82,184.97,2725.0
TDY,2018-05-03 14:00:00+00:00,184.15,184.76,180.71,180.71,2172.0
TDY,2018-05-03 15:00:00+00:00,180.84,182.68,180.84,182.68,1823.0
TDY,2018-05-03 16:00:00+00:00,182.55,182.6,180.91,182.6,4755.0
TDY,2018-05-03 17:00:00+00:00,182.2,182.95,181.48,182.79,2710.0
TDY,2018-05-03 18:00:00+00:00,182.58,183.69,182.58,183.14,2396.0
TDY,2018-05-03 19:00:00+00:00,183.42,183.71,182.34,183.655,10839.0
TDY,2018-05-04 13:00:00+00:00,183.44,185.88,183.44,185.88,1483.0
TDY,2018-05-04 14:00:00+00:00,185.2,188.36,185.085,188.36,6421.0
TDY,2018-05-04 15:00:00+00:00,188.42,190.89,188.1,190.57,7624.0
TDY,2018-05-04 16:00:00+00:00,190.51,191.77,190.27,191.48,4129.0
TDY,2018-05-04 17:00:00+00:00,191.91,193.12,191.66,193.12,5009.0
TDY,2018-05-04 18:00:00+00:00,193.19,194.31,192.91,193.58,5410.0
TDY,2018-05-04 19:00:00+00:00,193.59,194.15,192.84,193.21,14414.0
TDY,2018-05-07 13:00:00+00:00,192.86,194.55,192.86,194.02,1060.0
TDY,2018-05-07 14:00:00+00:00,194.07,194.78,194.07,194.59,1989.0
TDY,2018-05-07 15:00:00+00:00,194.5,195.48,194.39,195.03,1957.0
TDY,2018-05-07 16:00:00+00:00,195.05,195.3,194.77,195.3,2147.0
