symbol,ts,open,high,low,close,volume
TECH,2018-05-01 13:00:00+00:00,150.89,151.55,150.69,150.77,2537.0
TECH,2018-05-01 14:00:00+00:00,150.77,151.27,150.63,151.08,7030.0
TECH,2018-05-01 15:00:00+00:00,150.88,151.44,150.51,150.89,4565.0
TECH,2018-05-01 16:00:00+00:00,151.19,151.33,150.81,151.02,4048.0
TECH,2018-05-01 17:00:00+00:00,150.96,151.38,150.55,151.19,4457.0
TECH,2018-05-01 18:00:00+00:00,151.3,151.92,150.81,151.14,6014.0
TECH,2018-05-01 19:00:00+00:00,151.065,151.41,150.59,150.64,27914.0
TECH,2018-05-01 20:00:00+00:00,150.78,150.78,150.61,150.61,12394.0
TECH,2018-05-02 13:00:00+00:00,148.8,149.75,143.49,145.0,10330.0
TECH,2018-05-02 14:00:00+00:00,145.0,146.39,144.85,146.1,10438.0
TECH,2018-05-02 15:00:00+00:00,146.33,147.68,146.27,147.43,10368.0
TECH,2018-05-02 16:00:00+00:00,147.325,147.325,146.34,146.92,10029.0
TECH,2018-05-02 17:00:00+00:00,146.94,147.86,146.73,147.24,16887.0
TECH,2018-05-02 18:00:00+00:00,147.86,148.2,147.43,147.54,10512.0
TECH,2018-05-02 19:00:00+00:00,147.66,148.04,146.54,146.76,43271.0
TECH,2018-05-02 20:00:00+00:00,146.76,146.77,146.68,146.68,27549.0
TECH,2018-05-03 13:00:00+00:00,146.83,147.76,146.21,146.69,5032.0
TECH,2018-05-03 14:00:00+00:00,146.595,146.595,144.05,144.26,13987.0
TECH,2018-05-03 15:00:00+00:00,144.26,144.94,144.0,144.83,6721.0
TECH,2018-05-03 16:00:00+00:00,144.88,145.43,144.41,145.31,11190.0
TECH,2018-05-03 17:00:00+00:00,145.36,145.72,145.03,145.72,9899.0
TECH,2018-05-03 18:00:00+00:00,145.5,145.63,144.91,145.22,13997.0
TECH,2018-05-03 19:00:00+00:00,145.15,146.72,145.15,146.54,54074.0
TECH,2018-05-03 20:00:00+00:00,146.53,146.62,146.53,146.62,34365.0
TECH,2018-05-04 13:00:00+00:00,146.5,146.5,143.82,145.88,3130.0
TECH,2018-05-04 14:00:00+00:00,145.595,145.72,144.6,145.57,9361.0
TECH,2018-05-04 15:00:00+00:00,145.91,146.86,145.91,146.86,3781.0
TECH,2018-05-04 16:00:00+00:00,146.84,147.45,146.84,147.45,3294.0
TECH,2018-05-04 17:00:00+00:00,147.46,147.93,147.21,147.93,3979.0
TECH,2018-05-04 18:00:00+00:00,147.98,148.28,147.81,148.01,2941.0
TECH,2018-05-04 19:00:00+00:00,148.05,148.2,147.61,147.83,17115.0
TECH,2018-05-04 20:00:00+00:00,147.88,147.88,147.88,147.88,12562.0
TECH,2018-05-07 13:00:00+00:00,147.82,148.68,147.82,148.68,3721.0
