symbol,ts,open,high,low,close,volume
TEL,2018-05-01 13:00:00+00:00,91.19,91.75,90.81,91.27,19952.0
TEL,2018-05-01 14:00:00+00:00,91.29,91.45,90.97,91.11,41509.0
TEL,2018-05-01 15:00:00+00:00,91.08,91.22,90.74,91.07,46443.0
TEL,2018-05-01 16:00:00+00:00,91.08,91.32,90.98,91.12,47945.0
TEL,2018-05-01 17:00:00+00:00,91.11,91.36,90.74,91.25,41633.0
TEL,2018-05-01 18:00:00+00:00,91.25,91.67,91.24,91.6,87916.0
TEL,2018-05-01 19:00:00+00:00,91.59,91.83,91.39,91.78,103587.0
TEL,2018-05-02 13:00:00+00:00,92.07,92.34,91.69,91.77,14049.0
TEL,2018-05-02 14:00:00+00:00,91.69,92.04,91.63,92.025,29903.0
TEL,2018-05-02 15:00:00+00:00,92.025,92.335,91.8,92.05,21639.0
TEL,2018-05-02 16:00:00+00:00,92.02,92.36,91.95,92.33,28513.0
TEL,2018-05-02 17:00:00+00:00,92.35,92.74,92.35,92.71,36944.0
TEL,2018-05-02 18:00:00+00:00,92.7,93.015,92.63,92.74,52220.0
TEL,2018-05-02 19:00:00+00:00,92.76,92.78,91.765,91.8,101065.0
TEL,2018-05-03 13:00:00+00:00,91.65,91.94,91.49,91.68,10581.0
TEL,2018-05-03 14:00:00+00:00,91.67,91.67,90.47,90.7,33768.0
TEL,2018-05-03 15:00:00+00:00,90.68,91.22,90.44,91.01,46059.0
TEL,2018-05-03 16:00:00+00:00,91.035,91.67,91.01,91.62,42516.0
TEL,2018-05-03 17:00:00+00:00,91.62,91.75,91.33,91.63,37655.0
TEL,2018-05-03 18:00:00+00:00,91.63,91.87,91.46,91.61,63242.0
TEL,2018-05-03 19:00:00+00:00,91.64,91.9,91.46,91.64,73052.0
TEL,2018-05-04 13:00:00+00:00,91.54,92.0,91.05,91.76,17630.0
TEL,2018-05-04 14:00:00+00:00,91.72,92.295,91.56,92.13,17077.0
TEL,2018-05-04 15:00:00+00:00,92.11,92.61,92.08,92.48,15031.0
TEL,2018-05-04 16:00:00+00:00,92.45,92.62,92.33,92.51,11315.0
TEL,2018-05-04 17:00:00+00:00,92.56,92.57,92.33,92.44,15173.0
