symbol,ts,open,high,low,close,volume
TER,2018-05-01 13:00:00+00:00,32.51,32.54,32.09,32.47,51780.0
TER,2018-05-01 14:00:00+00:00,32.47,32.58,32.37,32.42,78006.0
TER,2018-05-01 15:00:00+00:00,32.4,32.635,32.285,32.5,67583.0
TER,2018-05-01 16:00:00+00:00,32.5,32.87,32.5,32.855,93526.0
TER,2018-05-01 17:00:00+00:00,32.855,33.39,32.805,33.39,80944.0
TER,2018-05-01 18:00:00+00:00,33.39,33.44,33.2,33.33,85208.0
TER,2018-05-01 19:00:00+00:00,33.335,33.56,33.27,33.51,178199.0
TER,2018-05-02 12:00:00+00:00,33.6,33.6,33.6,33.6,500.0
TER,2018-05-02 13:00:00+00:00,33.76,34.63,33.57,34.13,101296.0
TER,2018-05-02 14:00:00+00:00,34.08,34.53,34.02,34.07,132609.0
TER,2018-05-02 15:00:00+00:00,34.05,34.15,33.84,33.94,84086.0
TER,2018-05-02 16:00:00+00:00,33.93,34.285,33.9,34.11,64332.0
TER,2018-05-02 17:00:00+00:00,34.12,34.27,34.12,34.19,59385.0
TER,2018-05-02 18:00:00+00:00,34.18,34.49,34.16,34.33,75093.0
TER,2018-05-02 19:00:00+00:00,34.35,34.585,34.26,34.34,252538.0
TER,2018-05-03 13:00:00+00:00,33.97,34.5,33.88,34.46,67038.0
TER,2018-05-03 14:00:00+00:00,34.45,34.45,33.61,33.65,103179.0
TER,2018-05-03 15:00:00+00:00,33.65,34.19,33.62,34.17,76849.0
TER,2018-05-03 16:00:00+00:00,34.19,34.74,34.09,34.7,90850.0
TER,2018-05-03 17:00:00+00:00,34.71,34.71,34.45,34.63,83389.0
TER,2018-05-03 18:00:00+00:00,34.63,34.91,34.49,34.75,141938.0
TER,2018-05-03 19:00:00+00:00,34.76,34.92,34.7,34.88,167100.0
TER,2018-05-04 12:00:00+00:00,34.88,34.88,34.88,34.88,20.0
TER,2018-05-04 13:00:00+00:00,34.55,34.74,34.39,34.51,40789.0
TER,2018-05-04 14:00:00+00:00,34.5,35.05,34.36,35.0,108516.0
TER,2018-05-04 15:00:00+00:00,34.99,35.35,34.99,35.12,77748.0
TER,2018-05-04 16:00:00+00:00,35.13,35.22,35.07,35.18,52892.0
TER,2018-05-04 17:00:00+00:00,35.19,35.22,35.05,35.22,49157.0
TER,2018-05-04 18:00:00+00:00,35.22,35.58,35.22,35.41,93041.0
TER,2018-05-04 19:00:00+00:00,35.38,35.735,35.32,35.7,173195.0
TER,2018-05-07 12:00:00+00:00,35.7,35.7,35.7,35.7,372.0
TER,2018-05-07 13:00:00+00:00,35.94,36.0,35.64,35.66,98701.0
TER,2018-05-07 14:00:00+00:00,35.64,35.93,35.59,35.9,81162.0
TER,2018-05-07 15:00:00+00:00,35.88,36.04,35.84,36.02,75092.0
TER,2018-05-07 16:00:00+00:00,36.03,36.12,35.9,35.94,49466.0
TER,2018-05-07 17:00:00+00:00,35.96,36.11,35.95,36.07,56993.0
TER,2018-05-07 18:00:00+00:00,36.07,36.23,36.03,36.1,63212.0
TER,2018-05-07 19:00:00+00:00,36.09,36.15,36.0,36.13,165525.0
TER,2018-05-08 13:00:00+00:00,36.1,36.13,35.73,35.94,23330.0
TER,2018-05-08 14:00:00+00:00,35.95,36.085,35.91,35.92,69254.0
TER,2018-05-08 15:00:00+00:00,35.91,36.175,35.76,36.13,98553.0
TER,2018-05-08 16:00:00+00:00,36.13,36.14,35.88,35.92,45373.0
TER,2018-05-08 17:00:00+00:00,35.915,36.04,35.83,35.84,40942.0
TER,2018-05-08 18:00:00+00:00,35.85,36.11,35.85,35.91,69221.0
TER,2018-05-08 19:00:00+00:00,35.91,36.09,35.86,36.09,129787.0
TER,2018-05-09 13:00:00+00:00,36.35,36.84,36.24,36.55,53369.0
TER,2018-05-09 14:00:00+00:00,36.56,36.77,36.32,36.34,60016.0
TER,2018-05-09 15:00:00+00:00,36.35,36.42,36.285,36.37,56050.0
