symbol,ts,open,high,low,close,volume
TGT,2018-05-01 12:00:00+00:00,72.5,72.5,72.49,72.49,600.0
TGT,2018-05-01 13:00:00+00:00,71.93,72.29,71.69,72.15,69754.0
TGT,2018-05-01 14:00:00+00:00,72.12,72.12,71.48,71.52,146903.0
TGT,2018-05-01 15:00:00+00:00,71.5,71.58,71.215,71.23,98433.0
TGT,2018-05-01 16:00:00+00:00,71.22,71.51,71.18,71.26,97853.0
TGT,2018-05-01 17:00:00+00:00,71.25,71.7,71.11,71.7,71275.0
TGT,2018-05-01 18:00:00+00:00,71.69,71.88,71.57,71.6,73744.0
TGT,2018-05-01 19:00:00+00:00,71.62,71.705,71.08,71.08,295751.0
TGT,2018-05-01 20:00:00+00:00,71.05,71.05,71.01,71.01,409.0
TGT,2018-05-02 13:00:00+00:00,70.75,70.75,69.45,70.24,69216.0
TGT,2018-05-02 14:00:00+00:00,70.22,71.07,70.22,70.86,145222.0
TGT,2018-05-02 15:00:00+00:00,70.85,70.95,70.66,70.85,97949.0
TGT,2018-05-02 16:00:00+00:00,70.84,70.89,70.63,70.79,56390.0
TGT,2018-05-02 17:00:00+00:00,70.79,71.03,70.79,70.89,85403.0
TGT,2018-05-02 18:00:00+00:00,70.89,71.38,70.88,71.29,108474.0
TGT,2018-05-02 19:00:00+00:00,71.3,71.51,71.1,71.45,262703.0
TGT,2018-05-03 13:00:00+00:00,71.43,71.45,70.9,71.38,51103.0
TGT,2018-05-03 14:00:00+00:00,71.38,71.42,70.58,70.67,137853.0
TGT,2018-05-03 15:00:00+00:00,70.7,71.015,70.58,70.88,56689.0
TGT,2018-05-03 16:00:00+00:00,70.89,71.39,70.66,71.39,64760.0
TGT,2018-05-03 17:00:00+00:00,71.41,71.63,71.19,71.55,93519.0
TGT,2018-05-03 18:00:00+00:00,71.55,71.59,71.16,71.25,104730.0
TGT,2018-05-03 19:00:00+00:00,71.26,71.325,70.96,71.14,116677.0
TGT,2018-05-03 20:00:00+00:00,71.61,71.61,71.61,71.61,43.0
TGT,2018-05-03 21:00:00+00:00,71.36,71.36,71.36,71.36,220.0
TGT,2018-05-04 13:00:00+00:00,70.65,70.65,69.95,70.55,30394.0
TGT,2018-05-04 14:00:00+00:00,70.54,70.66,70.22,70.47,90851.0
TGT,2018-05-04 15:00:00+00:00,70.49,71.03,70.46,70.87,54038.0
TGT,2018-05-04 16:00:00+00:00,70.88,70.95,70.73,70.92,32962.0
TGT,2018-05-04 17:00:00+00:00,70.9,70.99,70.83,70.93,36098.0
TGT,2018-05-04 18:00:00+00:00,70.93,71.38,70.89,71.18,48421.0
TGT,2018-05-04 19:00:00+00:00,71.17,71.2,70.92,71.05,87051.0
TGT,2018-05-07 13:00:00+00:00,71.05,71.05,69.75,70.035,160528.0
TGT,2018-05-07 14:00:00+00:00,70.04,70.155,68.9,69.35,215417.0
