symbol,ts,open,high,low,close,volume
TJX,2018-05-01 13:00:00+00:00,84.8,84.8,84.2,84.45,42123.0
TJX,2018-05-01 14:00:00+00:00,84.44,84.55,83.21,83.34,91181.0
TJX,2018-05-01 15:00:00+00:00,83.315,83.4,82.83,82.83,52917.0
TJX,2018-05-01 16:00:00+00:00,82.83,83.13,82.82,82.94,56006.0
TJX,2018-05-01 17:00:00+00:00,82.95,83.04,82.59,83.03,98336.0
TJX,2018-05-01 18:00:00+00:00,83.03,83.11,82.86,83.07,106765.0
TJX,2018-05-01 19:00:00+00:00,83.08,83.59,82.99,83.53,175625.0
TJX,2018-05-02 13:00:00+00:00,83.21,83.26,82.47,83.0,43533.0
TJX,2018-05-02 14:00:00+00:00,82.97,83.84,82.97,83.77,95086.0
TJX,2018-05-02 15:00:00+00:00,83.75,84.09,83.74,83.8,66748.0
TJX,2018-05-02 16:00:00+00:00,83.805,83.945,83.65,83.8,67293.0
TJX,2018-05-02 17:00:00+00:00,83.81,84.21,83.81,84.04,60359.0
TJX,2018-05-02 18:00:00+00:00,84.06,84.29,83.98,84.05,99589.0
TJX,2018-05-02 19:00:00+00:00,84.05,84.09,83.39,83.53,191228.0
TJX,2018-05-03 13:00:00+00:00,83.29,83.47,82.81,83.14,33388.0
TJX,2018-05-03 14:00:00+00:00,83.12,83.12,82.14,82.33,53670.0
TJX,2018-05-03 15:00:00+00:00,82.44,83.19,82.4,83.14,37060.0
TJX,2018-05-03 16:00:00+00:00,83.14,83.68,82.94,83.67,27957.0
TJX,2018-05-03 17:00:00+00:00,83.66,84.0,83.43,83.9,30619.0
TJX,2018-05-03 18:00:00+00:00,83.91,83.91,83.37,83.48,42347.0
TJX,2018-05-03 19:00:00+00:00,83.46,83.74,83.43,83.51,160635.0
TJX,2018-05-04 13:00:00+00:00,83.07,83.07,82.31,82.57,28668.0
TJX,2018-05-04 14:00:00+00:00,82.55,83.09,82.27,82.99,49447.0
TJX,2018-05-04 15:00:00+00:00,83.04,83.18,82.91,82.98,58561.0
TJX,2018-05-04 16:00:00+00:00,82.98,83.03,82.84,82.99,33722.0
TJX,2018-05-04 17:00:00+00:00,82.98,83.01,82.86,82.9,36394.0
TJX,2018-05-04 18:00:00+00:00,82.92,83.35,82.92,83.19,60438.0
TJX,2018-05-04 19:00:00+00:00,83.21,83.24,82.7,82.83,152028.0
TJX,2018-05-04 22:00:00+00:00,82.05,82.05,82.05,82.05,50.0
TJX,2018-05-07 13:00:00+00:00,82.88,82.88,82.29,82.29,11118.0
TJX,2018-05-07 14:00:00+00:00,82.29,82.31,81.33,81.65,41509.0
TJX,2018-05-07 15:00:00+00:00,81.64,81.87,81.515,81.56,55552.0
TJX,2018-05-07 16:00:00+00:00,81.565,81.75,81.43,81.74,42604.0
TJX,2018-05-07 17:00:00+00:00,81.74,81.78,81.63,81.74,49431.0
TJX,2018-05-07 18:00:00+00:00,81.73,82.04,81.73,81.76,44617.0
TJX,2018-05-07 19:00:00+00:00,81.75,81.93,81.62,81.88,110762.0
TJX,2018-05-08 13:00:00+00:00,81.87,82.05,81.7,81.99,44261.0
TJX,2018-05-08 14:00:00+00:00,81.98,82.21,81.87,82.02,40164.0
TJX,2018-05-08 15:00:00+00:00,82.0,82.64,82.0,82.26,47747.0
TJX,2018-05-08 16:00:00+00:00,82.28,82.39,81.96,81.97,35383.0
TJX,2018-05-08 17:00:00+00:00,82.0,82.42,82.0,82.29,45421.0
TJX,2018-05-08 18:00:00+00:00,82.32,82.37,81.9,82.09,62845.0
TJX,2018-05-08 19:00:00+00:00,82.1,82.6,82.02,82.56,98774.0
TJX,2018-05-09 13:00:00+00:00,82.58,83.37,82.39,83.27,29164.0
TJX,2018-05-09 14:00:00+00:00,83.27,83.44,82.98,83.0,99169.0
TJX,2018-05-09 15:00:00+00:00,82.99,83.24,82.85,83.14,83588.0
TJX,2018-05-09 16:00:00+00:00,83.14,83.72,83.08,83.67,50666.0
TJX,2018-05-09 17:00:00+00:00,83.68,83.95,83.58,83.91,55028.0
TJX,2018-05-09 18:00:00+00:00,83.9,83.93,83.5,83.82,58825.0
TJX,2018-05-09 19:00:00+00:00,83.81,83.94,83.66,83.9,127974.0
TJX,2018-05-10 13:00:00+00:00,83.69,83.69,82.5,82.88,53689.0
TJX,2018-05-10 14:00:00+00:00,82.87,83.04,82.35,82.79,77385.0
TJX,2018-05-10 15:00:00+00:00,82.78,83.12,82.6,83.08,56710.0
TJX,2018-05-10 16:00:00+00:00,83.1,83.29,83.04,83.25,33773.0
TJX,2018-05-10 17:00:00+00:00,83.23,83.33,83.15,83.33,40024.0
TJX,2018-05-10 18:00:00+00:00,83.35,83.65,83.22,83.4,57667.0
TJX,2018-05-10 19:00:00+00:00,83.4,83.44,83.15,83.26,99018.0
TJX,2018-05-11 13:00:00+00:00,83.34,84.21,83.26,83.78,17994.0
TJX,2018-05-11 14:00:00+00:00,83.81,84.16,83.81,84.09,41612.0
TJX,2018-05-11 15:00:00+00:00,84.1,84.4,84.02,84.27,64880.0
TJX,2018-05-11 16:00:00+00:00,84.26,84.37,84.07,84.21,66773.0
TJX,2018-05-11 17:00:00+00:00,84.21,84.24,83.88,84.09,43345.0
TJX,2018-05-11 18:00:00+00:00,84.08,84.32,83.97,84.29,43337.0
TJX,2018-05-11 19:00:00+00:00,84.31,84.33,83.91,84.07,133977.0
TJX,2018-05-14 13:00:00+00:00,84.65,84.91,84.43,84.88,44173.0
TJX,2018-05-14 14:00:00+00:00,84.9,85.06,84.56,84.64,56066.0
TJX,2018-05-14 15:00:00+00:00,84.64,85.0,84.56,84.96,55551.0
TJX,2018-05-14 16:00:00+00:00,84.97,85.09,84.76,85.04,44272.0
TJX,2018-05-14 17:00:00+00:00,85.03,85.35,85.03,85.19,70387.0
TJX,2018-05-14 18:00:00+00:00,85.19,85.22,84.94,85.05,69489.0
TJX,2018-05-14 19:00:00+00:00,85.06,85.175,84.83,84.93,116299.0
TJX,2018-05-15 13:00:00+00:00,84.96,85.38,84.81,84.92,38652.0
TJX,2018-05-15 14:00:00+00:00,84.88,85.98,84.87,85.85,96433.0
TJX,2018-05-15 15:00:00+00:00,85.85,85.89,85.4,85.47,71258.0
TJX,2018-05-15 16:00:00+00:00,85.47,85.69,85.205,85.53,53217.0
TJX,2018-05-15 17:00:00+00:00,85.535,85.58,85.27,85.29,73369.0
TJX,2018-05-15 18:00:00+00:00,85.3,85.51,85.19,85.38,64504.0
TJX,2018-05-15 19:00:00+00:00,85.39,85.64,85.3,85.59,122641.0
TJX,2018-05-16 12:00:00+00:00,85.92,85.99,85.82,85.82,510.0
TJX,2018-05-16 13:00:00+00:00,85.87,87.31,85.59,85.8,85037.0
TJX,2018-05-16 14:00:00+00:00,85.77,85.9,85.42,85.62,74356.0
TJX,2018-05-16 15:00:00+00:00,85.62,85.77,85.15,85.61,106606.0
TJX,2018-05-16 16:00:00+00:00,85.61,85.77,85.45,85.58,61245.0
TJX,2018-05-16 17:00:00+00:00,85.57,85.69,85.44,85.67,42350.0
TJX,2018-05-16 18:00:00+00:00,85.69,85.78,85.51,85.51,78658.0
TJX,2018-05-16 19:00:00+00:00,85.53,85.54,85.05,85.2,166990.0
TJX,2018-05-17 12:00:00+00:00,85.5,85.5,85.5,85.5,35.0
TJX,2018-05-17 13:00:00+00:00,85.2,86.07,84.92,85.77,35087.0
TJX,2018-05-17 14:00:00+00:00,85.71,86.33,85.71,86.155,73291.0
TJX,2018-05-17 15:00:00+00:00,86.145,86.41,86.01,86.31,61862.0
TJX,2018-05-17 16:00:00+00:00,86.31,86.53,86.07,86.47,68010.0
TJX,2018-05-17 17:00:00+00:00,86.45,86.79,86.41,86.54,65251.0
TJX,2018-05-17 18:00:00+00:00,86.53,86.62,86.43,86.58,79693.0
TJX,2018-05-17 19:00:00+00:00,86.59,86.6,86.225,86.27,212863.0
TJX,2018-05-18 13:00:00+00:00,85.57,86.02,84.56,84.78,62835.0
TJX,2018-05-18 14:00:00+00:00,84.81,85.36,84.77,85.2,129585.0
TJX,2018-05-18 15:00:00+00:00,85.2,85.26,84.92,85.0,97277.0
TJX,2018-05-18 16:00:00+00:00,84.99,84.99,84.67,84.95,83566.0
TJX,2018-05-18 17:00:00+00:00,84.97,85.14,84.88,85.06,74102.0
TJX,2018-05-18 18:00:00+00:00,85.07,85.25,84.99,85.2,77351.0
TJX,2018-05-18 19:00:00+00:00,85.2,85.2,84.74,84.81,200967.0
TJX,2018-05-21 13:00:00+00:00,85.68,85.78,84.4,84.44,62591.0
TJX,2018-05-21 14:00:00+00:00,84.48,85.04,84.38,84.52,116082.0
TJX,2018-05-21 15:00:00+00:00,84.53,84.74,84.06,84.38,116420.0
TJX,2018-05-21 16:00:00+00:00,84.395,84.77,84.25,84.68,87483.0
TJX,2018-05-21 17:00:00+00:00,84.69,84.84,84.39,84.41,77136.0
