symbol,ts,open,high,low,close,volume
TKO,2023-09-12 13:00:00+00:00,102.0,102.98,99.95,101.96,8052.0
TKO,2023-09-12 14:00:00+00:00,101.93,102.7,101.0,101.81,21179.0
TKO,2023-09-12 15:00:00+00:00,101.87,102.97,101.56,102.7,8184.0
TKO,2023-09-12 16:00:00+00:00,102.85,103.785,102.85,103.5,3687.0
TKO,2023-09-12 17:00:00+00:00,103.5,103.78,103.05,103.05,6521.0
TKO,2023-09-12 18:00:00+00:00,103.25,103.33,102.88,103.05,6634.0
TKO,2023-09-12 19:00:00+00:00,103.15,103.27,102.75,103.175,11529.0
TKO,2023-09-12 20:00:00+00:00,104.01,104.01,103.25,104.0,38.0
TKO,2023-09-12 23:00:00+00:00,103.97,103.97,103.97,103.97,99.0
TKO,2023-09-13 11:00:00+00:00,104.93,105.0,103.05,103.05,163.0
TKO,2023-09-13 12:00:00+00:00,105.01,105.01,105.01,105.01,20.0
TKO,2023-09-13 13:00:00+00:00,104.89,105.33,101.07,102.87,14588.0
TKO,2023-09-13 14:00:00+00:00,102.95,103.4,101.46,101.9,20184.0
TKO,2023-09-13 15:00:00+00:00,101.9,101.99,101.06,101.14,13277.0
TKO,2023-09-13 16:00:00+00:00,101.2,101.7,101.095,101.1,10091.0
TKO,2023-09-13 17:00:00+00:00,101.095,101.17,100.73,101.09,9768.0
TKO,2023-09-13 18:00:00+00:00,101.06,101.06,100.5,100.8,13498.0
TKO,2023-09-13 19:00:00+00:00,100.79,101.2,100.01,101.2,35365.0
TKO,2023-09-13 20:00:00+00:00,101.31,101.4,101.31,101.4,525.0
TKO,2023-09-13 22:00:00+00:00,101.4,101.9,101.4,101.41,704.0
TKO,2023-09-14 13:00:00+00:00,102.99,102.99,100.09,102.0,5833.0
TKO,2023-09-14 14:00:00+00:00,101.8,101.99,100.84,100.98,7424.0
TKO,2023-09-14 15:00:00+00:00,100.98,101.09,100.5,100.92,13625.0
TKO,2023-09-14 16:00:00+00:00,100.94,101.24,100.5,100.6,10206.0
TKO,2023-09-14 17:00:00+00:00,100.59,100.89,100.49,100.53,11550.0
TKO,2023-09-14 18:00:00+00:00,100.54,100.92,100.2,100.57,12628.0
TKO,2023-09-14 19:00:00+00:00,100.59,101.09,100.39,100.79,28788.0
TKO,2023-09-15 13:00:00+00:00,101.0,102.15,100.53,100.67,3047.0
TKO,2023-09-15 14:00:00+00:00,100.73,100.74,99.29,99.69,14370.0
TKO,2023-09-15 15:00:00+00:00,99.66,99.88,99.11,99.29,11157.0
TKO,2023-09-15 16:00:00+00:00,99.31,99.9,99.23,99.37,15240.0
TKO,2023-09-15 17:00:00+00:00,99.38,99.62,99.16,99.38,7148.0
TKO,2023-09-15 18:00:00+00:00,99.38,99.5,99.12,99.17,8050.0
TKO,2023-09-15 19:00:00+00:00,99.17,100.68,98.69,100.06,43740.0
TKO,2023-09-15 20:00:00+00:00,100.5,100.5,100.5,100.5,100.0
TKO,2023-09-15 23:00:00+00:00,100.73,100.74,100.73,100.74,501.0
TKO,2023-09-18 09:00:00+00:00,101.01,101.01,101.01,101.01,70.0
TKO,2023-09-18 10:00:00+00:00,101.01,101.01,101.01,101.01,1.0
TKO,2023-09-18 11:00:00+00:00,101.01,101.59,101.01,101.59,781.0
TKO,2023-09-18 13:00:00+00:00,100.8,101.99,100.51,101.75,7620.0
TKO,2023-09-18 14:00:00+00:00,101.77,102.94,100.98,102.19,28921.0
TKO,2023-09-18 15:00:00+00:00,102.26,103.8,102.08,103.51,20173.0
TKO,2023-09-18 16:00:00+00:00,103.58,103.82,102.7,103.09,16804.0
TKO,2023-09-18 17:00:00+00:00,103.11,103.77,103.03,103.68,14522.0
TKO,2023-09-18 18:00:00+00:00,103.64,103.97,103.16,103.86,17230.0
TKO,2023-09-18 19:00:00+00:00,103.77,104.46,103.4,104.2,63377.0
TKO,2023-09-18 20:00:00+00:00,104.49,104.5,104.49,104.5,5.0
TKO,2023-09-18 21:00:00+00:00,104.39,104.4,104.39,104.4,25.0
TKO,2023-09-19 13:00:00+00:00,103.75,105.03,103.04,104.57,3627.0
TKO,2023-09-19 14:00:00+00:00,104.53,105.04,103.685,105.04,19316.0
TKO,2023-09-19 15:00:00+00:00,104.93,105.19,104.16,104.78,23136.0
TKO,2023-09-19 16:00:00+00:00,104.75,105.14,104.5,105.1,15570.0
TKO,2023-09-19 17:00:00+00:00,105.1,105.97,105.01,105.89,15377.0
TKO,2023-09-19 18:00:00+00:00,105.89,106.17,105.43,105.58,30035.0
TKO,2023-09-19 19:00:00+00:00,105.57,106.08,105.22,105.48,58273.0
TKO,2023-09-19 21:00:00+00:00,106.46,106.46,106.46,106.46,1.0
TKO,2023-09-20 13:00:00+00:00,106.0,106.0,104.91,105.04,6094.0
TKO,2023-09-20 14:00:00+00:00,105.05,105.15,104.61,104.9,16347.0
TKO,2023-09-20 15:00:00+00:00,104.92,105.03,104.2,104.2,6435.0
TKO,2023-09-20 16:00:00+00:00,104.28,105.12,104.28,104.93,10587.0
TKO,2023-09-20 17:00:00+00:00,104.98,105.32,104.81,105.32,11538.0
TKO,2023-09-20 18:00:00+00:00,105.22,105.79,105.2,105.35,13861.0
TKO,2023-09-20 19:00:00+00:00,105.25,105.25,104.6,104.7,25520.0
TKO,2023-09-20 20:00:00+00:00,104.76,104.76,104.76,104.76,1.0
TKO,2023-09-20 23:00:00+00:00,105.48,105.48,105.48,105.48,1.0
TKO,2023-09-21 11:00:00+00:00,99.27,99.5,98.01,99.5,172.0
TKO,2023-09-21 12:00:00+00:00,100.74,100.75,100.74,100.75,22.0
TKO,2023-09-21 13:00:00+00:00,100.0,100.75,86.76,88.53,131923.0
TKO,2023-09-21 14:00:00+00:00,88.54,89.05,84.83,86.62,189298.0
TKO,2023-09-21 15:00:00+00:00,86.65,87.08,84.9,86.85,107195.0
TKO,2023-09-21 16:00:00+00:00,86.905,88.71,86.85,88.57,59777.0
TKO,2023-09-21 17:00:00+00:00,88.57,89.46,88.33,88.42,79287.0
TKO,2023-09-21 18:00:00+00:00,88.405,88.49,86.15,86.73,63702.0
TKO,2023-09-21 19:00:00+00:00,86.855,87.05,85.04,85.98,170986.0
TKO,2023-09-21 20:00:00+00:00,86.28,86.28,85.85,85.85,116.0
TKO,2023-09-21 22:00:00+00:00,85.8,85.8,85.8,85.8,1.0
TKO,2023-09-21 23:00:00+00:00,86.3,86.3,86.3,86.3,190.0
TKO,2023-09-22 13:00:00+00:00,86.355,86.5,83.31,84.06,29065.0
TKO,2023-09-22 14:00:00+00:00,84.0,84.24,83.405,84.17,42921.0
TKO,2023-09-22 15:00:00+00:00,84.21,84.46,83.68,84.21,35736.0
TKO,2023-09-22 16:00:00+00:00,84.23,84.94,84.18,84.94,24534.0
TKO,2023-09-22 17:00:00+00:00,84.94,85.0,84.34,84.38,17480.0
TKO,2023-09-22 18:00:00+00:00,84.35,84.385,83.27,84.02,30237.0
TKO,2023-09-22 19:00:00+00:00,84.0,84.25,83.08,83.85,107769.0
TKO,2023-09-25 11:00:00+00:00,84.0,84.0,84.0,84.0,1.0
TKO,2023-09-25 13:00:00+00:00,82.72,83.64,82.72,83.64,2162.0
TKO,2023-09-25 14:00:00+00:00,83.59,83.86,82.78,83.25,15947.0
TKO,2023-09-25 15:00:00+00:00,83.27,83.79,83.18,83.53,18115.0
TKO,2023-09-25 16:00:00+00:00,83.54,83.54,82.66,82.685,8549.0
TKO,2023-09-25 17:00:00+00:00,82.65,82.65,82.13,82.35,17807.0
TKO,2023-09-25 18:00:00+00:00,82.35,82.4,82.02,82.07,14228.0
