symbol,ts,open,high,low,close,volume
TMO,2018-05-01 13:00:00+00:00,211.01,211.01,209.64,210.41,16361.0
TMO,2018-05-01 14:00:00+00:00,210.28,210.38,208.55,209.36,41784.0
TMO,2018-05-01 15:00:00+00:00,209.29,209.62,208.83,208.96,19576.0
TMO,2018-05-01 16:00:00+00:00,209.06,209.93,208.93,209.47,15982.0
TMO,2018-05-01 17:00:00+00:00,209.49,209.72,208.44,209.72,19818.0
TMO,2018-05-01 18:00:00+00:00,209.67,210.21,209.5,209.8,23576.0
TMO,2018-05-01 19:00:00+00:00,209.81,210.72,209.32,210.68,46545.0
TMO,2018-05-01 20:00:00+00:00,210.72,210.72,210.72,210.72,200.0
TMO,2018-05-02 13:00:00+00:00,209.89,210.89,209.23,210.39,12852.0
TMO,2018-05-02 14:00:00+00:00,209.93,211.24,209.52,209.81,14550.0
TMO,2018-05-02 15:00:00+00:00,209.78,210.36,209.36,209.65,18422.0
TMO,2018-05-02 16:00:00+00:00,209.62,210.01,208.81,209.33,11253.0
TMO,2018-05-02 17:00:00+00:00,209.48,210.44,209.4,209.99,8728.0
TMO,2018-05-02 18:00:00+00:00,209.92,211.11,209.87,209.94,18688.0
TMO,2018-05-02 19:00:00+00:00,209.97,210.07,208.08,208.77,54585.0
TMO,2018-05-03 13:00:00+00:00,208.0,208.29,207.5,207.65,13301.0
TMO,2018-05-03 14:00:00+00:00,207.68,207.695,205.31,205.45,44424.0
TMO,2018-05-03 15:00:00+00:00,205.38,206.07,204.91,205.26,37714.0
TMO,2018-05-03 16:00:00+00:00,205.2,207.49,205.0,207.44,50946.0
TMO,2018-05-03 17:00:00+00:00,207.4,208.16,206.71,207.42,16025.0
TMO,2018-05-03 18:00:00+00:00,207.43,208.57,207.23,207.96,18289.0
TMO,2018-05-03 19:00:00+00:00,208.03,208.62,207.8,208.26,45050.0
TMO,2018-05-04 13:00:00+00:00,207.16,207.52,206.08,206.31,13327.0
TMO,2018-05-04 14:00:00+00:00,206.29,206.84,205.29,206.47,26900.0
TMO,2018-05-04 15:00:00+00:00,206.53,207.97,206.53,207.72,20065.0
TMO,2018-05-04 16:00:00+00:00,207.73,208.58,207.62,208.54,16505.0
TMO,2018-05-04 17:00:00+00:00,208.51,209.35,208.48,209.35,18132.0
TMO,2018-05-04 18:00:00+00:00,209.38,210.64,209.27,210.31,23563.0
TMO,2018-05-04 19:00:00+00:00,210.28,210.51,209.69,210.06,45360.0
TMO,2018-05-07 13:00:00+00:00,210.35,211.98,210.245,211.64,14522.0
TMO,2018-05-07 14:00:00+00:00,211.64,211.64,210.43,211.0,27877.0
TMO,2018-05-07 15:00:00+00:00,210.96,211.4,210.76,211.02,22896.0
TMO,2018-05-07 16:00:00+00:00,211.05,211.31,210.92,211.03,16781.0
TMO,2018-05-07 17:00:00+00:00,211.01,211.12,210.55,210.55,25024.0
TMO,2018-05-07 18:00:00+00:00,210.56,210.71,209.53,209.65,42205.0
TMO,2018-05-07 19:00:00+00:00,209.61,209.7,208.16,208.93,86043.0
TMO,2018-05-08 13:00:00+00:00,208.98,209.01,207.89,208.07,10236.0
TMO,2018-05-08 14:00:00+00:00,207.89,208.99,207.59,208.36,18699.0
TMO,2018-05-08 15:00:00+00:00,208.31,208.75,207.46,207.91,16219.0
TMO,2018-05-08 16:00:00+00:00,207.95,208.31,207.67,207.95,8719.0
TMO,2018-05-08 17:00:00+00:00,207.94,208.3,207.32,207.44,13255.0
TMO,2018-05-08 18:00:00+00:00,207.46,207.85,206.59,206.94,25298.0
TMO,2018-05-08 19:00:00+00:00,206.91,208.07,206.84,208.03,41461.0
TMO,2018-05-09 13:00:00+00:00,208.1,208.35,207.45,207.63,7607.0
TMO,2018-05-09 14:00:00+00:00,207.61,208.64,207.51,207.67,16265.0
TMO,2018-05-09 15:00:00+00:00,207.73,208.2,207.38,207.48,11102.0
TMO,2018-05-09 16:00:00+00:00,207.51,208.65,207.33,208.51,10158.0
TMO,2018-05-09 17:00:00+00:00,208.58,209.16,208.52,208.77,19451.0
TMO,2018-05-09 18:00:00+00:00,208.74,209.32,208.49,209.0,28882.0
TMO,2018-05-09 19:00:00+00:00,208.97,209.48,208.14,208.65,45042.0
TMO,2018-05-10 13:00:00+00:00,209.8,211.39,209.605,211.24,6832.0
TMO,2018-05-10 14:00:00+00:00,211.25,212.85,211.0,212.54,24088.0
TMO,2018-05-10 15:00:00+00:00,212.42,212.95,212.02,212.845,11965.0
TMO,2018-05-10 16:00:00+00:00,212.82,214.13,212.8,213.67,11791.0
TMO,2018-05-10 17:00:00+00:00,213.69,214.02,213.5,213.96,14152.0
TMO,2018-05-10 18:00:00+00:00,213.98,214.01,213.01,213.66,14103.0
TMO,2018-05-10 19:00:00+00:00,213.68,214.07,213.34,213.82,41862.0
TMO,2018-05-11 13:00:00+00:00,214.54,215.86,213.45,215.86,11157.0
TMO,2018-05-11 14:00:00+00:00,215.88,215.98,215.07,215.93,23539.0
