symbol,ts,open,high,low,close,volume
TMUS,2018-05-01 11:00:00+00:00,60.98,60.98,60.98,60.98,100.0
TMUS,2018-05-01 12:00:00+00:00,60.58,60.8,60.58,60.7,2640.0
TMUS,2018-05-01 13:00:00+00:00,60.61,61.19,60.23,60.31,326048.0
TMUS,2018-05-01 14:00:00+00:00,60.33,60.38,59.57,59.77,380585.0
TMUS,2018-05-01 15:00:00+00:00,59.77,59.89,59.27,59.3,217446.0
TMUS,2018-05-01 16:00:00+00:00,59.3,59.41,58.72,58.98,263530.0
TMUS,2018-05-01 17:00:00+00:00,58.97,58.97,58.17,58.83,252508.0
TMUS,2018-05-01 18:00:00+00:00,58.84,59.42,58.84,59.25,274812.0
TMUS,2018-05-01 19:00:00+00:00,59.24,59.56,58.87,59.48,803775.0
TMUS,2018-05-01 20:00:00+00:00,59.43,60.62,59.42,59.6,239842.0
TMUS,2018-05-01 21:00:00+00:00,59.75,59.75,59.75,59.75,3.0
TMUS,2018-05-02 11:00:00+00:00,59.87,59.97,59.87,59.97,500.0
TMUS,2018-05-02 13:00:00+00:00,59.68,60.19,59.19,59.27,299893.0
TMUS,2018-05-02 14:00:00+00:00,59.27,59.37,58.17,58.73,359787.0
TMUS,2018-05-02 15:00:00+00:00,58.74,58.76,57.93,58.05,307747.0
TMUS,2018-05-02 16:00:00+00:00,58.04,58.47,57.94,58.05,174430.0
TMUS,2018-05-02 17:00:00+00:00,58.05,58.15,57.5,57.7,281610.0
TMUS,2018-05-02 18:00:00+00:00,57.68,57.7,55.54,56.09,775792.0
TMUS,2018-05-02 19:00:00+00:00,56.055,57.22,55.985,57.04,1028419.0
TMUS,2018-05-02 20:00:00+00:00,56.97,57.08,56.71,56.71,278907.0
TMUS,2018-05-02 21:00:00+00:00,56.74,56.84,56.55,56.55,200.0
TMUS,2018-05-03 12:00:00+00:00,56.47,56.47,56.47,56.47,18.0
TMUS,2018-05-03 13:00:00+00:00,56.98,57.08,56.39,56.49,338966.0
TMUS,2018-05-03 14:00:00+00:00,56.49,56.71,55.14,55.28,418931.0
TMUS,2018-05-03 15:00:00+00:00,55.28,56.09,55.1,55.98,393760.0
TMUS,2018-05-03 16:00:00+00:00,55.97,56.05,55.36,55.86,206394.0
TMUS,2018-05-03 17:00:00+00:00,55.86,56.18,55.8,55.85,179173.0
TMUS,2018-05-03 18:00:00+00:00,55.86,55.98,55.58,55.78,134282.0
TMUS,2018-05-03 19:00:00+00:00,55.77,56.0,55.68,55.92,520336.0
TMUS,2018-05-03 20:00:00+00:00,55.92,56.1,55.92,56.1,593878.0
TMUS,2018-05-03 22:00:00+00:00,56.1,56.1,56.1,56.1,200.0
TMUS,2018-05-04 13:00:00+00:00,55.81,56.38,55.8,56.35,178087.0
TMUS,2018-05-04 14:00:00+00:00,56.35,57.02,56.35,56.76,211538.0
TMUS,2018-05-04 15:00:00+00:00,56.78,57.0,56.7,56.85,184764.0
TMUS,2018-05-04 16:00:00+00:00,56.84,57.05,56.78,57.0,127692.0
TMUS,2018-05-04 17:00:00+00:00,57.0,57.41,56.97,57.41,137571.0
TMUS,2018-05-04 18:00:00+00:00,57.42,57.74,57.38,57.65,156181.0
TMUS,2018-05-04 19:00:00+00:00,57.64,57.69,57.16,57.26,429021.0
TMUS,2018-05-04 20:00:00+00:00,57.26,57.27,57.25,57.27,322194.0
TMUS,2018-05-04 21:00:00+00:00,57.4,57.4,57.4,57.4,8.0
TMUS,2018-05-07 11:00:00+00:00,58.11,58.11,58.11,58.11,120.0
TMUS,2018-05-07 13:00:00+00:00,57.56,58.0,57.22,57.36,140372.0
TMUS,2018-05-07 14:00:00+00:00,57.355,57.4,56.91,56.96,158666.0
TMUS,2018-05-07 15:00:00+00:00,56.95,56.95,56.46,56.6,148658.0
TMUS,2018-05-07 16:00:00+00:00,56.59,56.6,56.17,56.2,237901.0
TMUS,2018-05-07 17:00:00+00:00,56.2,56.36,56.04,56.28,170858.0
TMUS,2018-05-07 18:00:00+00:00,56.26,56.72,56.23,56.67,179125.0
TMUS,2018-05-07 19:00:00+00:00,56.68,56.8,56.39,56.53,322149.0
TMUS,2018-05-07 20:00:00+00:00,56.54,56.54,56.52,56.52,179838.0
TMUS,2018-05-08 13:00:00+00:00,56.7,56.92,56.18,56.53,115677.0
TMUS,2018-05-08 14:00:00+00:00,56.52,56.53,56.02,56.03,139571.0
TMUS,2018-05-08 15:00:00+00:00,56.01,56.24,55.99,56.08,83449.0
TMUS,2018-05-08 16:00:00+00:00,56.07,56.15,55.77,55.91,114960.0
TMUS,2018-05-08 17:00:00+00:00,55.91,56.03,55.71,55.71,156669.0
TMUS,2018-05-08 18:00:00+00:00,55.72,55.92,55.7,55.72,113489.0
TMUS,2018-05-08 19:00:00+00:00,55.73,55.76,55.43,55.58,332561.0
TMUS,2018-05-08 20:00:00+00:00,55.58,55.58,55.41,55.41,304375.0
TMUS,2018-05-08 21:00:00+00:00,55.5,55.5,55.5,55.5,10.0
TMUS,2018-05-09 12:00:00+00:00,55.85,55.85,55.85,55.85,200.0
TMUS,2018-05-09 13:00:00+00:00,55.79,56.16,55.68,55.77,162730.0
