symbol,ts,open,high,low,close,volume
TPR,2018-05-01 11:00:00+00:00,50.0,50.0,47.75,48.0,7539.0
TPR,2018-05-01 12:00:00+00:00,48.0,48.26,46.5,46.55,135192.0
TPR,2018-05-01 13:00:00+00:00,46.55,48.19,46.0,48.09,705987.0
TPR,2018-05-01 14:00:00+00:00,48.075,48.57,46.0,46.21,435624.0
TPR,2018-05-01 15:00:00+00:00,46.22,47.52,46.15,47.06,392147.0
TPR,2018-05-01 16:00:00+00:00,47.05,47.52,47.02,47.14,196256.0
TPR,2018-05-01 17:00:00+00:00,47.14,48.25,46.82,47.92,248785.0
TPR,2018-05-01 18:00:00+00:00,47.92,48.11,47.68,47.89,219036.0
TPR,2018-05-01 19:00:00+00:00,47.88,47.95,47.1,47.46,383705.0
TPR,2018-05-01 20:00:00+00:00,48.98,48.98,48.98,48.98,29.0
TPR,2018-05-01 21:00:00+00:00,47.89,47.89,47.89,47.89,1.0
TPR,2018-05-02 12:00:00+00:00,47.83,47.83,47.83,47.83,85.0
TPR,2018-05-02 13:00:00+00:00,47.11,47.2,46.42,46.93,85124.0
TPR,2018-05-02 14:00:00+00:00,46.91,47.08,46.6,46.8,135241.0
TPR,2018-05-02 15:00:00+00:00,46.8,47.27,46.75,47.075,82422.0
TPR,2018-05-02 16:00:00+00:00,47.075,47.55,47.02,47.275,72165.0
TPR,2018-05-02 17:00:00+00:00,47.275,47.51,47.26,47.27,81011.0
TPR,2018-05-02 18:00:00+00:00,47.26,47.42,47.175,47.23,99447.0
TPR,2018-05-02 19:00:00+00:00,47.235,47.235,46.36,46.36,143917.0
TPR,2018-05-02 20:00:00+00:00,46.37,46.9,46.37,46.9,2250.0
TPR,2018-05-03 13:00:00+00:00,46.16,46.18,45.6,46.02,39848.0
TPR,2018-05-03 14:00:00+00:00,46.02,46.05,45.65,45.86,108338.0
TPR,2018-05-03 15:00:00+00:00,45.86,46.12,45.75,46.05,88463.0
TPR,2018-05-03 16:00:00+00:00,46.05,46.37,45.97,46.37,79468.0
TPR,2018-05-03 17:00:00+00:00,46.36,46.48,46.16,46.16,61357.0
TPR,2018-05-03 18:00:00+00:00,46.16,46.23,45.91,45.94,80792.0
TPR,2018-05-03 19:00:00+00:00,45.94,46.18,45.895,46.09,234954.0
TPR,2018-05-04 13:00:00+00:00,45.92,45.97,45.6,45.81,41587.0
TPR,2018-05-04 14:00:00+00:00,45.8,46.145,45.66,45.95,68493.0
TPR,2018-05-04 15:00:00+00:00,45.94,46.25,45.85,46.19,54447.0
TPR,2018-05-04 16:00:00+00:00,46.2,46.245,46.14,46.21,35934.0
TPR,2018-05-04 17:00:00+00:00,46.205,46.24,46.06,46.095,31554.0
TPR,2018-05-04 18:00:00+00:00,46.09,46.41,46.09,46.32,74189.0
TPR,2018-05-04 19:00:00+00:00,46.32,46.37,46.06,46.15,113028.0
TPR,2018-05-07 13:00:00+00:00,46.44,46.44,45.87,45.96,10743.0
TPR,2018-05-07 14:00:00+00:00,45.97,46.05,45.29,45.65,67782.0
TPR,2018-05-07 15:00:00+00:00,45.63,45.81,45.58,45.69,37781.0
TPR,2018-05-07 16:00:00+00:00,45.7,45.77,45.5,45.65,28625.0
TPR,2018-05-07 17:00:00+00:00,45.65,45.72,45.54,45.54,23778.0
TPR,2018-05-07 18:00:00+00:00,45.535,45.645,45.35,45.36,45831.0
TPR,2018-05-07 19:00:00+00:00,45.36,45.44,45.27,45.41,118670.0
TPR,2018-05-08 13:00:00+00:00,45.45,45.51,45.29,45.46,28384.0
TPR,2018-05-08 14:00:00+00:00,45.49,45.68,45.36,45.51,39500.0
TPR,2018-05-08 15:00:00+00:00,45.5,45.66,45.5,45.54,45518.0
TPR,2018-05-08 16:00:00+00:00,45.52,45.54,45.33,45.42,39578.0
TPR,2018-05-08 17:00:00+00:00,45.41,45.51,45.35,45.41,20557.0
TPR,2018-05-08 18:00:00+00:00,45.4,45.48,45.28,45.37,30193.0
TPR,2018-05-08 19:00:00+00:00,45.37,45.535,45.3,45.53,90371.0
TPR,2018-05-09 13:00:00+00:00,45.4,45.65,45.38,45.61,12710.0
TPR,2018-05-09 14:00:00+00:00,45.61,45.74,45.37,45.39,40355.0
TPR,2018-05-09 15:00:00+00:00,45.41,45.42,45.23,45.3,37023.0
TPR,2018-05-09 16:00:00+00:00,45.3,45.52,45.29,45.49,26216.0
TPR,2018-05-09 17:00:00+00:00,45.5,45.55,45.4,45.46,28464.0
TPR,2018-05-09 18:00:00+00:00,45.455,45.52,45.425,45.46,27635.0
TPR,2018-05-09 19:00:00+00:00,45.455,45.465,45.37,45.4,65833.0
TPR,2018-05-10 12:00:00+00:00,46.26,46.53,46.26,46.4,310.0
TPR,2018-05-10 13:00:00+00:00,46.53,46.73,45.97,45.97,42181.0
TPR,2018-05-10 14:00:00+00:00,45.97,45.98,45.56,45.59,50606.0
TPR,2018-05-10 15:00:00+00:00,45.58,45.7,45.47,45.51,54681.0
TPR,2018-05-10 16:00:00+00:00,45.5,45.73,45.5,45.67,42457.0
TPR,2018-05-10 17:00:00+00:00,45.67,45.7,45.56,45.56,52489.0
TPR,2018-05-10 18:00:00+00:00,45.56,45.64,45.48,45.64,55759.0
TPR,2018-05-10 19:00:00+00:00,45.635,46.015,45.54,45.95,162175.0
TPR,2018-05-10 20:00:00+00:00,45.97,45.99,45.97,45.99,600.0
TPR,2018-05-11 13:00:00+00:00,45.86,45.86,45.48,45.64,26805.0
TPR,2018-05-11 14:00:00+00:00,45.63,45.97,45.61,45.96,41368.0
TPR,2018-05-11 15:00:00+00:00,45.96,46.03,45.85,46.03,37411.0
TPR,2018-05-11 16:00:00+00:00,46.02,46.08,45.88,46.0,26719.0
TPR,2018-05-11 17:00:00+00:00,46.0,46.02,45.88,45.99,30708.0
TPR,2018-05-11 18:00:00+00:00,45.99,46.04,45.95,46.02,35811.0
TPR,2018-05-11 19:00:00+00:00,46.02,46.13,45.94,46.02,89405.0
TPR,2018-05-14 13:00:00+00:00,46.07,46.07,45.79,45.93,20134.0
TPR,2018-05-14 14:00:00+00:00,45.925,46.12,45.7,45.77,52505.0
TPR,2018-05-14 15:00:00+00:00,45.76,45.99,45.74,45.86,46832.0
TPR,2018-05-14 16:00:00+00:00,45.87,45.94,45.78,45.8,35225.0
TPR,2018-05-14 17:00:00+00:00,45.79,45.88,45.71,45.72,36463.0
