symbol,ts,open,high,low,close,volume
TRGP,2018-05-01 13:00:00+00:00,46.86,47.08,46.79,47.05,10399.0
TRGP,2018-05-01 14:00:00+00:00,47.1,47.18,46.79,46.82,35515.0
TRGP,2018-05-01 15:00:00+00:00,46.75,47.28,46.69,47.175,28243.0
TRGP,2018-05-01 16:00:00+00:00,47.18,47.25,46.87,46.89,25222.0
TRGP,2018-05-01 17:00:00+00:00,46.89,46.935,46.69,46.73,34639.0
TRGP,2018-05-01 18:00:00+00:00,46.76,46.87,46.63,46.77,42467.0
TRGP,2018-05-01 19:00:00+00:00,46.77,46.82,46.59,46.64,97500.0
TRGP,2018-05-02 13:00:00+00:00,46.5,47.06,46.5,46.91,15169.0
TRGP,2018-05-02 14:00:00+00:00,46.88,47.13,46.65,47.05,66424.0
TRGP,2018-05-02 15:00:00+00:00,47.02,47.32,46.95,47.17,51374.0
TRGP,2018-05-02 16:00:00+00:00,47.17,47.34,47.16,47.19,32491.0
TRGP,2018-05-02 17:00:00+00:00,47.21,47.57,47.16,47.47,34642.0
TRGP,2018-05-02 18:00:00+00:00,47.42,47.62,47.37,47.38,60045.0
TRGP,2018-05-02 19:00:00+00:00,47.39,47.55,47.19,47.45,134585.0
TRGP,2018-05-03 13:00:00+00:00,46.7,47.48,46.59,47.29,24906.0
TRGP,2018-05-03 14:00:00+00:00,47.24,47.24,46.6,46.92,76146.0
TRGP,2018-05-03 15:00:00+00:00,46.92,46.95,46.18,46.65,44394.0
TRGP,2018-05-03 16:00:00+00:00,46.66,46.68,46.45,46.64,28914.0
TRGP,2018-05-03 17:00:00+00:00,46.64,47.02,46.49,46.84,33129.0
TRGP,2018-05-03 18:00:00+00:00,46.85,46.94,46.32,46.43,47663.0
TRGP,2018-05-03 19:00:00+00:00,46.43,46.63,46.01,46.28,117115.0
TRGP,2018-05-04 13:00:00+00:00,46.12,46.58,46.0,46.16,21919.0
TRGP,2018-05-04 14:00:00+00:00,46.15,46.21,45.71,45.78,46242.0
TRGP,2018-05-04 15:00:00+00:00,45.8,46.28,45.67,46.18,39718.0
