symbol,ts,open,high,low,close,volume
TRMB,2018-05-01 13:00:00+00:00,34.39,34.52,34.1,34.28,35327.0
TRMB,2018-05-01 14:00:00+00:00,34.27,34.32,34.07,34.11,40201.0
TRMB,2018-05-01 15:00:00+00:00,34.08,34.32,33.99,34.28,44869.0
TRMB,2018-05-01 16:00:00+00:00,34.29,34.42,34.2,34.29,28156.0
TRMB,2018-05-01 17:00:00+00:00,34.315,34.4,34.12,34.39,25598.0
TRMB,2018-05-01 18:00:00+00:00,34.42,34.58,34.38,34.58,33014.0
TRMB,2018-05-01 19:00:00+00:00,34.57,34.69,34.46,34.6,86521.0
TRMB,2018-05-01 20:00:00+00:00,34.6,34.6,34.59,34.6,148022.0
TRMB,2018-05-02 13:00:00+00:00,34.68,34.87,34.52,34.73,24008.0
TRMB,2018-05-02 14:00:00+00:00,34.72,34.89,34.63,34.89,20746.0
TRMB,2018-05-02 15:00:00+00:00,34.89,35.04,34.73,34.81,28740.0
TRMB,2018-05-02 16:00:00+00:00,34.8,34.87,34.77,34.83,14013.0
TRMB,2018-05-02 17:00:00+00:00,34.83,34.88,34.79,34.83,21155.0
TRMB,2018-05-02 18:00:00+00:00,34.83,34.91,34.64,34.64,47154.0
TRMB,2018-05-02 19:00:00+00:00,34.645,34.67,34.28,34.34,107925.0
TRMB,2018-05-02 20:00:00+00:00,34.34,34.34,34.32,34.32,53605.0
TRMB,2018-05-03 13:00:00+00:00,34.19,34.49,34.01,34.41,24418.0
TRMB,2018-05-03 14:00:00+00:00,34.42,34.46,33.69,33.8,44086.0
TRMB,2018-05-03 15:00:00+00:00,33.8,34.045,33.78,34.0,38744.0
TRMB,2018-05-03 16:00:00+00:00,34.0,34.34,33.93,34.31,40850.0
TRMB,2018-05-03 17:00:00+00:00,34.31,34.39,34.2,34.32,36570.0
TRMB,2018-05-03 18:00:00+00:00,34.32,34.36,34.12,34.23,36883.0
TRMB,2018-05-03 19:00:00+00:00,34.24,34.415,34.24,34.33,101508.0
TRMB,2018-05-03 20:00:00+00:00,34.34,34.35,34.34,34.35,50380.0
TRMB,2018-05-04 13:00:00+00:00,34.26,34.5,34.2,34.42,17559.0
TRMB,2018-05-04 14:00:00+00:00,34.38,34.75,34.33,34.67,28947.0
TRMB,2018-05-04 15:00:00+00:00,34.67,34.96,34.67,34.92,24837.0
TRMB,2018-05-04 16:00:00+00:00,34.93,35.05,34.9,34.95,27631.0
TRMB,2018-05-04 17:00:00+00:00,34.96,35.11,34.93,35.11,30919.0
TRMB,2018-05-04 18:00:00+00:00,35.11,35.11,34.93,34.94,36853.0
TRMB,2018-05-04 19:00:00+00:00,34.945,34.99,34.8,34.9,122640.0
TRMB,2018-05-04 20:00:00+00:00,34.89,35.1,34.89,35.1,134221.0
TRMB,2018-05-07 13:00:00+00:00,35.11,35.45,35.08,35.35,28973.0
TRMB,2018-05-07 14:00:00+00:00,35.35,35.6,35.32,35.58,34950.0
TRMB,2018-05-07 15:00:00+00:00,35.58,35.62,35.46,35.58,37633.0
TRMB,2018-05-07 16:00:00+00:00,35.58,35.65,35.52,35.6,27924.0
TRMB,2018-05-07 17:00:00+00:00,35.6,35.63,35.51,35.56,23477.0
TRMB,2018-05-07 18:00:00+00:00,35.56,35.635,35.47,35.53,40559.0
TRMB,2018-05-07 19:00:00+00:00,35.52,35.675,35.41,35.66,211166.0
TRMB,2018-05-07 20:00:00+00:00,35.65,35.7,35.62,35.63,159816.0
TRMB,2018-05-08 13:00:00+00:00,32.63,33.47,32.01,33.465,104312.0
TRMB,2018-05-08 14:00:00+00:00,33.46,34.855,33.08,34.83,189360.0
TRMB,2018-05-08 15:00:00+00:00,34.83,34.83,34.2,34.62,175939.0
TRMB,2018-05-08 16:00:00+00:00,34.615,34.94,34.475,34.835,93508.0
TRMB,2018-05-08 17:00:00+00:00,34.835,35.22,34.83,35.21,102475.0
TRMB,2018-05-08 18:00:00+00:00,35.215,35.43,34.86,34.95,110191.0
TRMB,2018-05-08 19:00:00+00:00,34.96,35.28,34.88,35.035,229318.0
TRMB,2018-05-08 20:00:00+00:00,35.035,35.035,35.035,35.035,86724.0
TRMB,2018-05-09 13:00:00+00:00,34.94,34.94,34.39,34.52,55656.0
TRMB,2018-05-09 14:00:00+00:00,34.51,34.52,34.09,34.09,66619.0
TRMB,2018-05-09 15:00:00+00:00,34.095,34.11,33.95,33.98,72728.0
TRMB,2018-05-09 16:00:00+00:00,33.985,34.17,33.965,34.16,39825.0
TRMB,2018-05-09 17:00:00+00:00,34.16,34.24,34.085,34.14,55067.0
TRMB,2018-05-09 18:00:00+00:00,34.15,34.16,34.06,34.09,54380.0
TRMB,2018-05-09 19:00:00+00:00,34.085,34.085,33.89,33.94,202906.0
TRMB,2018-05-09 20:00:00+00:00,33.94,33.94,33.94,33.94,112163.0
TRMB,2018-05-10 13:00:00+00:00,34.71,35.74,34.09,34.4,27772.0
TRMB,2018-05-10 14:00:00+00:00,34.39,34.64,34.37,34.6,30244.0
TRMB,2018-05-10 15:00:00+00:00,34.58,34.67,34.51,34.59,25460.0
TRMB,2018-05-10 16:00:00+00:00,34.59,34.74,34.51,34.63,33807.0
TRMB,2018-05-10 17:00:00+00:00,34.63,34.67,34.45,34.45,17270.0
TRMB,2018-05-10 18:00:00+00:00,34.45,34.52,34.29,34.34,26768.0
TRMB,2018-05-10 19:00:00+00:00,34.36,34.36,34.28,34.35,92536.0
TRMB,2018-05-10 20:00:00+00:00,34.35,34.35,34.35,34.35,62400.0
TRMB,2018-05-11 13:00:00+00:00,34.4,34.75,34.25,34.7,14690.0
TRMB,2018-05-11 14:00:00+00:00,34.71,34.93,34.71,34.89,34816.0
TRMB,2018-05-11 15:00:00+00:00,34.89,34.89,34.49,34.5,28862.0
TRMB,2018-05-11 16:00:00+00:00,34.5,34.5,34.29,34.36,17770.0
TRMB,2018-05-11 17:00:00+00:00,34.36,34.4,34.33,34.37,15245.0
TRMB,2018-05-11 18:00:00+00:00,34.38,34.5,34.27,34.5,22018.0
TRMB,2018-05-11 19:00:00+00:00,34.5,34.575,34.48,34.53,39895.0
TRMB,2018-05-11 20:00:00+00:00,34.53,34.53,34.53,34.53,219568.0
TRMB,2018-05-14 13:00:00+00:00,34.41,34.99,34.41,34.89,25544.0
TRMB,2018-05-14 14:00:00+00:00,34.87,35.18,34.87,34.88,45628.0
