symbol,ts,open,high,low,close,volume
TRV,2018-05-01 13:00:00+00:00,131.05,131.27,130.56,130.88,16679.0
TRV,2018-05-01 14:00:00+00:00,130.82,131.03,130.39,130.43,29352.0
TRV,2018-05-01 15:00:00+00:00,130.42,130.57,129.84,129.84,15309.0
TRV,2018-05-01 16:00:00+00:00,129.81,130.42,129.73,130.33,20435.0
TRV,2018-05-01 17:00:00+00:00,130.31,130.88,130.03,130.88,13804.0
TRV,2018-05-01 18:00:00+00:00,130.88,131.45,130.86,131.42,23495.0
TRV,2018-05-01 19:00:00+00:00,131.45,131.55,130.65,131.08,76928.0
TRV,2018-05-02 13:00:00+00:00,130.51,130.79,128.38,128.46,25475.0
TRV,2018-05-02 14:00:00+00:00,128.37,128.78,127.23,127.96,46338.0
TRV,2018-05-02 15:00:00+00:00,127.99,128.54,127.8,128.0,33250.0
TRV,2018-05-02 16:00:00+00:00,127.99,128.83,127.92,128.76,34010.0
TRV,2018-05-02 17:00:00+00:00,128.77,129.32,128.77,129.28,29059.0
TRV,2018-05-02 18:00:00+00:00,129.29,129.54,128.86,128.9,59488.0
TRV,2018-05-02 19:00:00+00:00,128.94,128.96,128.09,128.29,76161.0
TRV,2018-05-02 23:00:00+00:00,127.02,127.02,127.02,127.02,10.0
TRV,2018-05-03 13:00:00+00:00,126.35,127.6,126.35,126.98,20905.0
TRV,2018-05-03 14:00:00+00:00,127.04,127.04,125.81,126.0,36246.0
TRV,2018-05-03 15:00:00+00:00,126.02,126.26,125.16,125.63,33816.0
TRV,2018-05-03 16:00:00+00:00,125.67,127.08,125.66,127.08,31583.0
TRV,2018-05-03 17:00:00+00:00,127.08,127.36,126.55,127.2,35226.0
TRV,2018-05-03 18:00:00+00:00,127.22,127.79,127.06,127.37,30289.0
TRV,2018-05-03 19:00:00+00:00,127.39,127.61,127.09,127.32,75414.0
TRV,2018-05-04 13:00:00+00:00,126.93,127.79,126.45,127.78,21576.0
TRV,2018-05-04 14:00:00+00:00,127.71,128.93,127.69,128.82,61007.0
TRV,2018-05-04 15:00:00+00:00,128.83,129.23,128.71,128.93,38463.0
TRV,2018-05-04 16:00:00+00:00,128.95,129.4,128.84,129.4,24067.0
TRV,2018-05-04 17:00:00+00:00,129.43,130.18,129.42,130.03,34712.0
TRV,2018-05-04 18:00:00+00:00,130.02,130.42,129.99,130.07,41228.0
TRV,2018-05-04 19:00:00+00:00,130.04,130.25,129.52,129.7,77237.0
TRV,2018-05-07 13:00:00+00:00,129.37,129.42,128.77,129.4,11179.0
TRV,2018-05-07 14:00:00+00:00,129.5,129.6,128.98,129.4,22604.0
TRV,2018-05-07 15:00:00+00:00,129.42,129.62,129.01,129.23,15629.0
TRV,2018-05-07 16:00:00+00:00,129.22,129.42,128.84,129.38,16650.0
TRV,2018-05-07 17:00:00+00:00,129.42,129.62,129.28,129.42,15982.0
TRV,2018-05-07 18:00:00+00:00,129.4,129.83,128.93,128.99,28581.0
TRV,2018-05-07 19:00:00+00:00,128.98,129.34,128.82,128.99,56448.0
TRV,2018-05-08 13:00:00+00:00,128.75,129.14,128.5,128.92,15911.0
TRV,2018-05-08 14:00:00+00:00,128.9,129.25,128.54,129.1,24130.0
TRV,2018-05-08 15:00:00+00:00,129.08,129.62,128.8,128.8,27266.0
TRV,2018-05-08 16:00:00+00:00,128.76,128.99,128.43,128.63,20924.0
TRV,2018-05-08 17:00:00+00:00,128.6,128.99,128.56,128.74,16295.0
TRV,2018-05-08 18:00:00+00:00,128.74,128.87,127.89,128.22,37646.0
TRV,2018-05-08 19:00:00+00:00,128.21,128.74,128.04,128.64,52104.0
TRV,2018-05-09 13:00:00+00:00,130.0,130.0,129.09,129.17,13392.0
TRV,2018-05-09 14:00:00+00:00,129.2,129.35,128.86,128.89,16641.0
TRV,2018-05-09 15:00:00+00:00,128.93,129.28,128.58,129.09,15036.0
TRV,2018-05-09 16:00:00+00:00,129.12,129.88,129.09,129.7,16996.0
TRV,2018-05-09 17:00:00+00:00,129.73,130.2,129.73,130.04,16846.0
TRV,2018-05-09 18:00:00+00:00,130.05,130.2,129.69,129.91,21164.0
TRV,2018-05-09 19:00:00+00:00,129.88,129.95,129.4,129.75,42334.0
TRV,2018-05-10 12:00:00+00:00,129.75,129.75,129.75,129.75,74.0
TRV,2018-05-10 13:00:00+00:00,129.87,130.12,129.44,129.77,6688.0
TRV,2018-05-10 14:00:00+00:00,129.81,130.36,129.49,130.3,16754.0
TRV,2018-05-10 15:00:00+00:00,130.34,130.77,130.23,130.52,13530.0
TRV,2018-05-10 16:00:00+00:00,130.51,131.13,130.51,130.78,18763.0
TRV,2018-05-10 17:00:00+00:00,130.78,131.03,130.56,130.63,12466.0
TRV,2018-05-10 18:00:00+00:00,130.67,131.02,130.57,130.97,13979.0
TRV,2018-05-10 19:00:00+00:00,130.99,131.01,130.75,130.87,22772.0
TRV,2018-05-11 13:00:00+00:00,130.66,132.02,130.66,131.96,11030.0
TRV,2018-05-11 14:00:00+00:00,132.02,132.08,131.66,131.86,13212.0
TRV,2018-05-11 15:00:00+00:00,131.87,131.96,131.42,131.47,12697.0
TRV,2018-05-11 16:00:00+00:00,131.5,131.66,131.05,131.66,18045.0
TRV,2018-05-11 17:00:00+00:00,131.66,131.72,131.47,131.72,11143.0
TRV,2018-05-11 18:00:00+00:00,131.72,131.78,131.27,131.41,8886.0
TRV,2018-05-11 19:00:00+00:00,131.4,131.55,131.13,131.25,32080.0
TRV,2018-05-14 13:00:00+00:00,131.71,131.75,130.9,131.27,9922.0
TRV,2018-05-14 14:00:00+00:00,131.23,131.24,130.71,131.08,19874.0
TRV,2018-05-14 15:00:00+00:00,131.05,131.24,130.81,130.94,18240.0
TRV,2018-05-14 16:00:00+00:00,130.97,131.19,130.39,130.43,19753.0
TRV,2018-05-14 17:00:00+00:00,130.39,130.62,130.3,130.5,16127.0
TRV,2018-05-14 18:00:00+00:00,130.49,130.69,130.33,130.47,19039.0
TRV,2018-05-14 19:00:00+00:00,130.46,130.485,129.74,129.99,47295.0
TRV,2018-05-15 13:00:00+00:00,129.57,130.28,129.34,129.34,27643.0
TRV,2018-05-15 14:00:00+00:00,129.25,129.96,128.85,129.86,31463.0
TRV,2018-05-15 15:00:00+00:00,129.87,130.34,129.76,129.87,15617.0
TRV,2018-05-15 16:00:00+00:00,129.89,130.34,129.61,130.14,17464.0
TRV,2018-05-15 17:00:00+00:00,130.14,130.2,129.48,129.48,17106.0
TRV,2018-05-15 18:00:00+00:00,129.54,130.07,129.49,129.69,19575.0
TRV,2018-05-15 19:00:00+00:00,129.67,129.905,129.48,129.85,52117.0
TRV,2018-05-16 13:00:00+00:00,129.38,130.46,129.38,130.46,9078.0
TRV,2018-05-16 14:00:00+00:00,130.25,130.29,129.91,130.04,13037.0
TRV,2018-05-16 15:00:00+00:00,130.05,130.13,129.55,130.11,12680.0
TRV,2018-05-16 16:00:00+00:00,130.16,130.52,130.06,130.32,9987.0
TRV,2018-05-16 17:00:00+00:00,130.3,130.43,130.2,130.37,9188.0
TRV,2018-05-16 18:00:00+00:00,130.39,130.55,130.38,130.47,9335.0
