symbol,ts,open,high,low,close,volume
TSN,2018-05-01 13:00:00+00:00,70.0,70.0,69.4,69.58,16614.0
TSN,2018-05-01 14:00:00+00:00,69.58,69.59,68.95,68.96,29013.0
TSN,2018-05-01 15:00:00+00:00,68.96,69.31,68.71,69.07,21424.0
TSN,2018-05-01 16:00:00+00:00,69.08,69.26,69.05,69.08,25085.0
TSN,2018-05-01 17:00:00+00:00,69.08,69.3,68.94,69.29,26663.0
TSN,2018-05-01 18:00:00+00:00,69.3,69.46,69.17,69.45,26938.0
TSN,2018-05-01 19:00:00+00:00,69.46,69.58,69.36,69.56,68287.0
TSN,2018-05-02 13:00:00+00:00,69.4,69.44,68.35,68.4,16116.0
TSN,2018-05-02 14:00:00+00:00,68.39,68.68,68.14,68.19,42735.0
TSN,2018-05-02 15:00:00+00:00,68.18,68.19,67.81,67.96,30730.0
TSN,2018-05-02 16:00:00+00:00,67.94,68.08,67.78,67.83,18030.0
TSN,2018-05-02 17:00:00+00:00,67.83,67.99,67.72,67.9,15492.0
TSN,2018-05-02 18:00:00+00:00,67.93,68.11,67.57,67.61,26999.0
TSN,2018-05-02 19:00:00+00:00,67.6,67.69,67.3,67.48,92354.0
TSN,2018-05-03 13:00:00+00:00,67.64,67.66,66.69,67.0,28441.0
TSN,2018-05-03 14:00:00+00:00,67.02,67.05,66.12,66.19,47999.0
TSN,2018-05-03 15:00:00+00:00,66.17,66.275,65.83,65.87,74142.0
TSN,2018-05-03 16:00:00+00:00,65.87,66.18,65.82,66.18,57663.0
TSN,2018-05-03 17:00:00+00:00,66.19,66.19,65.83,66.11,49418.0
TSN,2018-05-03 18:00:00+00:00,66.12,66.34,65.96,66.01,52634.0
TSN,2018-05-03 19:00:00+00:00,66.02,66.19,65.92,66.05,113347.0
TSN,2018-05-03 23:00:00+00:00,66.0,66.0,66.0,66.0,20.0
TSN,2018-05-04 13:00:00+00:00,65.75,65.84,65.29,65.39,29459.0
TSN,2018-05-04 14:00:00+00:00,65.39,66.41,65.19,66.23,61795.0
TSN,2018-05-04 15:00:00+00:00,66.22,66.69,66.135,66.49,59203.0
TSN,2018-05-04 16:00:00+00:00,66.48,66.98,66.415,66.93,47564.0
TSN,2018-05-04 17:00:00+00:00,66.93,67.2,66.88,67.11,47517.0
TSN,2018-05-04 18:00:00+00:00,67.13,67.3,67.03,67.05,56730.0
TSN,2018-05-04 19:00:00+00:00,67.06,67.21,66.75,66.97,121805.0
TSN,2018-05-07 11:00:00+00:00,67.0,67.0,62.5,65.0,695.0
TSN,2018-05-07 12:00:00+00:00,64.79,64.99,63.0,64.5,1944.0
TSN,2018-05-07 13:00:00+00:00,64.7,67.77,64.69,67.12,93913.0
TSN,2018-05-07 14:00:00+00:00,67.19,67.965,66.72,67.19,103927.0
TSN,2018-05-07 15:00:00+00:00,67.16,67.46,67.0,67.08,80447.0
TSN,2018-05-07 16:00:00+00:00,67.015,67.11,66.53,66.65,44279.0
TSN,2018-05-07 17:00:00+00:00,66.65,67.15,66.65,66.76,42744.0
TSN,2018-05-07 18:00:00+00:00,66.79,67.36,66.79,67.31,51696.0
TSN,2018-05-07 19:00:00+00:00,67.3,67.34,66.91,67.22,128034.0
TSN,2018-05-07 21:00:00+00:00,67.3,67.3,67.3,67.3,100.0
TSN,2018-05-08 13:00:00+00:00,66.78,66.78,66.21,66.41,23265.0
TSN,2018-05-08 14:00:00+00:00,66.42,66.46,66.065,66.315,58389.0
TSN,2018-05-08 15:00:00+00:00,66.32,66.39,65.95,66.22,41943.0
TSN,2018-05-08 16:00:00+00:00,66.21,66.24,65.91,66.16,33955.0
TSN,2018-05-08 17:00:00+00:00,66.16,66.52,66.16,66.52,41530.0
TSN,2018-05-08 18:00:00+00:00,66.52,66.68,66.24,66.57,66515.0
TSN,2018-05-08 19:00:00+00:00,66.57,66.82,66.46,66.65,136674.0
TSN,2018-05-09 13:00:00+00:00,67.03,67.23,66.9,67.03,17640.0
TSN,2018-05-09 14:00:00+00:00,67.04,67.16,66.84,66.94,39367.0
TSN,2018-05-09 15:00:00+00:00,66.96,67.13,66.85,66.92,34833.0
TSN,2018-05-09 16:00:00+00:00,66.91,67.59,66.88,67.59,37221.0
TSN,2018-05-09 17:00:00+00:00,67.605,67.74,67.42,67.56,47722.0
TSN,2018-05-09 18:00:00+00:00,67.56,67.82,67.5,67.59,52531.0
TSN,2018-05-09 19:00:00+00:00,67.59,67.76,67.16,67.27,96897.0
TSN,2018-05-10 13:00:00+00:00,67.65,68.15,67.61,68.14,11122.0
TSN,2018-05-10 14:00:00+00:00,68.13,68.18,67.78,68.04,29189.0
TSN,2018-05-10 15:00:00+00:00,68.03,68.29,67.93,68.27,30680.0
TSN,2018-05-10 16:00:00+00:00,68.26,68.41,68.15,68.23,27187.0
TSN,2018-05-10 17:00:00+00:00,68.23,68.31,67.97,67.97,28004.0
TSN,2018-05-10 18:00:00+00:00,67.97,68.0,67.72,67.76,36892.0
TSN,2018-05-10 19:00:00+00:00,67.76,67.8,67.635,67.71,61140.0
TSN,2018-05-11 13:00:00+00:00,68.06,68.71,68.06,68.57,21540.0
TSN,2018-05-11 14:00:00+00:00,68.56,68.65,68.31,68.37,50277.0
TSN,2018-05-11 15:00:00+00:00,68.37,68.38,68.03,68.05,34890.0
TSN,2018-05-11 16:00:00+00:00,68.04,68.14,67.89,67.92,31943.0
TSN,2018-05-11 17:00:00+00:00,67.91,67.99,67.73,67.92,25111.0
TSN,2018-05-11 18:00:00+00:00,67.92,68.23,67.88,68.22,36004.0
TSN,2018-05-11 19:00:00+00:00,68.19,68.34,68.13,68.24,54071.0
TSN,2018-05-11 20:00:00+00:00,68.21,68.21,68.21,68.21,8.0
TSN,2018-05-14 13:00:00+00:00,68.12,68.49,67.93,68.28,15702.0
