symbol,ts,open,high,low,close,volume
TTWO,2018-05-01 13:00:00+00:00,99.48,100.3,99.08,100.2,55431.0
TTWO,2018-05-01 14:00:00+00:00,100.18,101.97,100.16,101.26,120643.0
TTWO,2018-05-01 15:00:00+00:00,101.23,101.99,101.02,101.98,64799.0
TTWO,2018-05-01 16:00:00+00:00,101.94,102.79,101.9,102.77,70043.0
TTWO,2018-05-01 17:00:00+00:00,102.78,102.78,101.865,102.61,75992.0
TTWO,2018-05-01 18:00:00+00:00,102.57,103.2,102.53,103.2,84751.0
TTWO,2018-05-01 19:00:00+00:00,103.2,104.36,103.04,104.3,383701.0
TTWO,2018-05-01 20:00:00+00:00,104.3,104.3,104.3,104.3,109769.0
TTWO,2018-05-01 23:00:00+00:00,104.0,104.0,104.0,104.0,72.0
TTWO,2018-05-02 13:00:00+00:00,103.7,106.26,103.66,105.16,94284.0
TTWO,2018-05-02 14:00:00+00:00,105.14,106.08,104.66,105.17,118302.0
TTWO,2018-05-02 15:00:00+00:00,105.13,105.2,103.86,104.53,92582.0
TTWO,2018-05-02 16:00:00+00:00,104.45,105.35,104.3,105.33,67418.0
TTWO,2018-05-02 17:00:00+00:00,105.36,105.84,105.24,105.84,61653.0
TTWO,2018-05-02 18:00:00+00:00,105.74,106.41,105.23,105.3,141116.0
TTWO,2018-05-02 19:00:00+00:00,105.35,105.64,104.61,104.88,234255.0
TTWO,2018-05-02 20:00:00+00:00,104.88,104.89,104.86,104.87,157711.0
TTWO,2018-05-03 12:00:00+00:00,104.0,104.0,104.0,104.0,150.0
TTWO,2018-05-03 13:00:00+00:00,104.25,104.86,103.41,104.54,86113.0
TTWO,2018-05-03 14:00:00+00:00,104.52,105.05,102.94,103.23,153854.0
TTWO,2018-05-03 15:00:00+00:00,103.22,103.75,102.98,103.38,90090.0
TTWO,2018-05-03 16:00:00+00:00,103.39,104.17,103.12,103.95,83158.0
TTWO,2018-05-03 17:00:00+00:00,103.955,107.38,99.75,100.85,494117.0
TTWO,2018-05-03 18:00:00+00:00,100.89,110.82,98.87,107.98,975106.0
TTWO,2018-05-03 19:00:00+00:00,107.96,110.0,104.49,105.1,819965.0
TTWO,2018-05-03 20:00:00+00:00,105.1,105.13,105.1,105.13,146494.0
TTWO,2018-05-03 22:00:00+00:00,105.1,105.1,105.1,105.1,126.0
TTWO,2018-05-04 12:00:00+00:00,105.0,105.08,105.0,105.03,110.0
TTWO,2018-05-04 13:00:00+00:00,104.0,106.24,104.0,106.23,110720.0
TTWO,2018-05-04 14:00:00+00:00,106.08,109.7,105.78,109.06,171475.0
TTWO,2018-05-04 15:00:00+00:00,109.16,109.97,108.52,108.74,111923.0
TTWO,2018-05-04 16:00:00+00:00,108.75,109.08,108.14,108.48,67231.0
TTWO,2018-05-04 17:00:00+00:00,108.5,108.82,108.215,108.8,50032.0
TTWO,2018-05-04 18:00:00+00:00,108.79,109.24,108.57,108.8,62438.0
TTWO,2018-05-04 19:00:00+00:00,108.84,109.03,108.47,108.76,152242.0
TTWO,2018-05-04 20:00:00+00:00,108.76,108.76,108.59,108.59,75147.0
TTWO,2018-05-04 21:00:00+00:00,108.23,108.23,108.23,108.23,9.0
TTWO,2018-05-07 13:00:00+00:00,109.0,110.745,109.0,109.54,79223.0
TTWO,2018-05-07 14:00:00+00:00,109.51,109.51,107.79,108.415,110692.0
TTWO,2018-05-07 15:00:00+00:00,108.44,109.305,108.29,109.27,71480.0
TTWO,2018-05-07 16:00:00+00:00,109.28,109.44,109.06,109.2,60749.0
TTWO,2018-05-07 17:00:00+00:00,109.27,109.74,109.2,109.6,46260.0
TTWO,2018-05-07 18:00:00+00:00,109.61,110.34,109.59,110.25,63916.0
TTWO,2018-05-07 19:00:00+00:00,110.19,110.38,109.77,110.25,224382.0
TTWO,2018-05-07 20:00:00+00:00,110.2,110.2,110.18,110.18,96899.0
TTWO,2018-05-08 13:00:00+00:00,110.23,111.53,109.39,110.85,80712.0
TTWO,2018-05-08 14:00:00+00:00,110.83,111.88,110.69,111.27,67264.0
TTWO,2018-05-08 15:00:00+00:00,111.24,112.455,111.18,111.82,114974.0
TTWO,2018-05-08 16:00:00+00:00,111.82,111.92,110.85,110.91,83203.0
TTWO,2018-05-08 17:00:00+00:00,110.89,111.12,110.7,110.77,76795.0
TTWO,2018-05-08 18:00:00+00:00,110.8,111.45,110.27,110.48,103307.0
TTWO,2018-05-08 19:00:00+00:00,110.48,111.34,110.31,111.31,256332.0
TTWO,2018-05-08 20:00:00+00:00,111.3,112.5,111.3,112.0,165587.0
TTWO,2018-05-09 12:00:00+00:00,112.8,112.8,112.8,112.8,10.0
TTWO,2018-05-09 13:00:00+00:00,113.38,113.7,111.94,112.34,98855.0
TTWO,2018-05-09 14:00:00+00:00,112.33,114.54,112.26,113.5,146406.0
TTWO,2018-05-09 15:00:00+00:00,113.51,114.6,113.34,114.45,82327.0
TTWO,2018-05-09 16:00:00+00:00,114.43,116.62,114.22,116.02,137272.0
TTWO,2018-05-09 17:00:00+00:00,115.98,117.37,115.77,116.79,118815.0
TTWO,2018-05-09 18:00:00+00:00,116.78,117.07,116.28,116.46,120665.0
TTWO,2018-05-09 19:00:00+00:00,116.4,116.58,115.75,115.99,214575.0
TTWO,2018-05-09 20:00:00+00:00,115.99,116.03,115.95,116.0,165988.0
TTWO,2018-05-09 21:00:00+00:00,116.15,116.15,115.58,115.58,140.0
TTWO,2018-05-09 22:00:00+00:00,116.23,116.23,116.23,116.23,4.0
TTWO,2018-05-10 13:00:00+00:00,117.0,117.33,116.1,116.58,70799.0
TTWO,2018-05-10 14:00:00+00:00,116.45,117.03,115.72,116.69,68427.0
TTWO,2018-05-10 15:00:00+00:00,116.65,116.65,115.38,115.82,74023.0
TTWO,2018-05-10 16:00:00+00:00,115.81,116.74,115.68,116.63,58525.0
TTWO,2018-05-10 17:00:00+00:00,116.68,117.05,116.43,116.66,59369.0
TTWO,2018-05-10 18:00:00+00:00,116.7,116.96,116.43,116.83,68173.0
