symbol,ts,open,high,low,close,volume
TXN,2018-05-01 13:00:00+00:00,101.1,102.24,100.74,101.92,135427.0
TXN,2018-05-01 14:00:00+00:00,101.9,102.44,101.45,102.08,149040.0
TXN,2018-05-01 15:00:00+00:00,102.07,102.34,101.65,101.67,93087.0
TXN,2018-05-01 16:00:00+00:00,101.685,102.27,101.685,102.0,73310.0
TXN,2018-05-01 17:00:00+00:00,102.005,102.29,101.49,102.22,109626.0
TXN,2018-05-01 18:00:00+00:00,102.2,102.725,102.13,102.65,122397.0
TXN,2018-05-01 19:00:00+00:00,102.67,103.47,102.45,103.41,340592.0
TXN,2018-05-01 20:00:00+00:00,103.4,103.75,103.4,103.75,428851.0
TXN,2018-05-02 13:00:00+00:00,103.26,103.41,102.72,102.76,207143.0
TXN,2018-05-02 14:00:00+00:00,102.76,103.05,102.56,102.94,148496.0
TXN,2018-05-02 15:00:00+00:00,102.92,103.13,101.89,102.55,179091.0
TXN,2018-05-02 16:00:00+00:00,102.58,103.46,102.39,103.36,164201.0
TXN,2018-05-02 17:00:00+00:00,103.36,103.7,103.36,103.66,135890.0
TXN,2018-05-02 18:00:00+00:00,103.65,104.22,103.35,103.48,156000.0
TXN,2018-05-02 19:00:00+00:00,103.49,103.72,102.85,102.94,364431.0
TXN,2018-05-02 20:00:00+00:00,102.96,102.96,102.94,102.94,521887.0
TXN,2018-05-02 22:00:00+00:00,102.9,102.9,102.9,102.9,54.0
TXN,2018-05-03 13:00:00+00:00,101.82,101.99,101.27,101.91,159506.0
TXN,2018-05-03 14:00:00+00:00,101.95,102.01,100.57,100.74,175140.0
TXN,2018-05-03 15:00:00+00:00,100.77,101.96,100.71,101.88,160987.0
TXN,2018-05-03 16:00:00+00:00,101.86,103.83,101.81,103.75,160982.0
TXN,2018-05-03 17:00:00+00:00,103.75,103.92,103.17,103.6,138290.0
TXN,2018-05-03 18:00:00+00:00,103.62,104.16,103.24,103.5,151358.0
TXN,2018-05-03 19:00:00+00:00,103.53,104.29,103.45,103.6,395649.0
TXN,2018-05-03 20:00:00+00:00,103.6,103.63,103.6,103.63,386817.0
TXN,2018-05-03 22:00:00+00:00,104.0,104.0,104.0,104.0,525.0
TXN,2018-05-03 23:00:00+00:00,104.1,104.1,103.8,103.8,420.0
TXN,2018-05-04 13:00:00+00:00,102.5,102.68,101.87,102.64,164766.0
TXN,2018-05-04 14:00:00+00:00,102.63,103.57,102.4,103.44,265896.0
TXN,2018-05-04 15:00:00+00:00,103.47,103.86,103.47,103.75,190356.0
TXN,2018-05-04 16:00:00+00:00,103.74,104.01,103.6,103.7,131224.0
TXN,2018-05-04 17:00:00+00:00,103.72,103.85,103.45,103.84,110523.0
TXN,2018-05-04 18:00:00+00:00,103.83,104.19,103.81,104.07,165863.0
TXN,2018-05-04 19:00:00+00:00,104.075,104.73,103.96,104.7,465448.0
