symbol,ts,open,high,low,close,volume
TYL,2018-05-01 13:00:00+00:00,218.51,219.48,217.8,218.6,2485.0
TYL,2018-05-01 14:00:00+00:00,218.53,218.97,217.5,218.23,4478.0
TYL,2018-05-01 15:00:00+00:00,217.96,218.86,217.79,218.76,3952.0
TYL,2018-05-01 16:00:00+00:00,218.72,218.95,218.46,218.71,5080.0
TYL,2018-05-01 17:00:00+00:00,218.665,219.14,218.21,219.14,1685.0
TYL,2018-05-01 18:00:00+00:00,219.06,219.78,219.06,219.75,2388.0
TYL,2018-05-01 19:00:00+00:00,219.66,220.0,219.06,219.95,9143.0
TYL,2018-05-02 12:00:00+00:00,220.1,220.1,220.1,220.1,10.0
TYL,2018-05-02 13:00:00+00:00,221.48,222.31,220.99,221.4,1520.0
TYL,2018-05-02 14:00:00+00:00,221.87,222.23,220.69,221.18,1579.0
TYL,2018-05-02 15:00:00+00:00,220.995,221.63,220.46,220.49,2446.0
TYL,2018-05-02 16:00:00+00:00,220.28,220.7,220.28,220.35,2298.0
TYL,2018-05-02 17:00:00+00:00,220.3,222.14,220.3,222.01,4019.0
TYL,2018-05-02 18:00:00+00:00,222.1,222.45,221.42,221.63,3313.0
TYL,2018-05-02 19:00:00+00:00,221.54,221.54,218.98,219.15,8264.0
TYL,2018-05-02 20:00:00+00:00,216.0,216.0,216.0,216.0,1.0
TYL,2018-05-02 21:00:00+00:00,218.0,218.0,218.0,218.0,2.0
TYL,2018-05-03 13:00:00+00:00,217.8,219.58,215.32,217.66,7538.0
TYL,2018-05-03 14:00:00+00:00,217.41,217.52,214.49,214.82,6012.0
TYL,2018-05-03 15:00:00+00:00,215.58,218.94,215.38,218.37,5541.0
TYL,2018-05-03 16:00:00+00:00,218.31,219.25,217.85,219.25,3388.0
TYL,2018-05-03 17:00:00+00:00,219.15,219.86,219.01,219.34,3842.0
TYL,2018-05-03 18:00:00+00:00,219.27,220.65,219.16,220.12,3627.0
TYL,2018-05-03 19:00:00+00:00,220.0,220.0,218.99,219.44,6801.0
TYL,2018-05-04 13:00:00+00:00,218.51,218.51,217.74,218.21,1279.0
TYL,2018-05-04 14:00:00+00:00,218.425,220.34,218.425,220.34,757.0
TYL,2018-05-04 15:00:00+00:00,220.34,221.085,220.31,221.03,3066.0
TYL,2018-05-04 16:00:00+00:00,221.04,221.61,220.84,221.58,2773.0
TYL,2018-05-04 17:00:00+00:00,221.63,222.59,221.41,222.59,3328.0
TYL,2018-05-04 18:00:00+00:00,222.525,223.125,222.42,222.73,2153.0
TYL,2018-05-04 19:00:00+00:00,222.725,222.905,221.76,222.03,2936.0
TYL,2018-05-07 12:00:00+00:00,221.0,221.0,221.0,221.0,15.0
TYL,2018-05-07 13:00:00+00:00,221.03,222.09,221.03,221.52,3267.0
TYL,2018-05-07 14:00:00+00:00,221.43,222.77,221.25,222.75,2926.0
TYL,2018-05-07 15:00:00+00:00,222.99,223.65,222.99,223.2,3823.0
TYL,2018-05-07 16:00:00+00:00,223.2,223.68,222.89,223.68,2549.0
TYL,2018-05-07 17:00:00+00:00,223.8,224.395,223.8,224.16,2344.0
TYL,2018-05-07 18:00:00+00:00,224.13,224.13,223.06,223.4,3391.0
TYL,2018-05-07 19:00:00+00:00,223.26,223.26,221.99,222.075,5873.0
