symbol,ts,open,high,low,close,volume
UAL,2018-05-01 13:00:00+00:00,67.39,67.74,67.1,67.69,34124.0
UAL,2018-05-01 14:00:00+00:00,67.73,67.73,67.16,67.21,58730.0
UAL,2018-05-01 15:00:00+00:00,67.19,68.04,67.13,67.83,54560.0
UAL,2018-05-01 16:00:00+00:00,67.84,68.0,67.68,67.77,35799.0
UAL,2018-05-01 17:00:00+00:00,67.77,68.12,67.45,68.12,42808.0
UAL,2018-05-01 18:00:00+00:00,68.1,68.44,67.99,68.29,50050.0
UAL,2018-05-01 19:00:00+00:00,68.29,68.43,68.17,68.39,150336.0
UAL,2018-05-02 13:00:00+00:00,68.16,68.85,67.99,68.78,31269.0
UAL,2018-05-02 14:00:00+00:00,68.8,69.15,68.64,68.965,109624.0
UAL,2018-05-02 15:00:00+00:00,68.94,69.23,68.79,69.0,43747.0
UAL,2018-05-02 16:00:00+00:00,68.99,69.26,68.89,69.19,34824.0
UAL,2018-05-02 17:00:00+00:00,69.2,69.3,69.11,69.16,43167.0
UAL,2018-05-02 18:00:00+00:00,69.17,69.35,68.75,68.75,50737.0
UAL,2018-05-02 19:00:00+00:00,68.77,68.81,67.82,67.91,169212.0
UAL,2018-05-02 20:00:00+00:00,67.91,68.04,67.91,68.04,1134.0
UAL,2018-05-02 21:00:00+00:00,67.92,67.92,67.92,67.92,50.0
UAL,2018-05-03 13:00:00+00:00,67.84,67.84,67.29,67.5,34057.0
UAL,2018-05-03 14:00:00+00:00,67.44,67.44,66.56,66.9,84330.0
UAL,2018-05-03 15:00:00+00:00,66.92,67.34,66.8,67.23,90085.0
UAL,2018-05-03 16:00:00+00:00,67.23,67.77,66.97,67.76,70431.0
UAL,2018-05-03 17:00:00+00:00,67.71,67.82,67.36,67.46,50330.0
UAL,2018-05-03 18:00:00+00:00,67.48,67.7,67.36,67.46,38383.0
UAL,2018-05-03 19:00:00+00:00,67.47,67.82,67.39,67.52,131702.0
UAL,2018-05-03 20:00:00+00:00,67.52,67.52,67.41,67.41,1347.0
UAL,2018-05-04 13:00:00+00:00,67.2,68.09,67.2,67.47,46705.0
UAL,2018-05-04 14:00:00+00:00,67.49,67.94,67.36,67.77,59620.0
UAL,2018-05-04 15:00:00+00:00,67.79,68.26,67.63,68.14,74295.0
UAL,2018-05-04 16:00:00+00:00,68.17,68.3,67.88,68.3,52202.0
UAL,2018-05-04 17:00:00+00:00,68.31,68.44,68.18,68.26,47894.0
UAL,2018-05-04 18:00:00+00:00,68.27,68.83,68.24,68.58,63604.0
UAL,2018-05-04 19:00:00+00:00,68.56,68.79,68.22,68.32,158182.0
UAL,2018-05-07 13:00:00+00:00,68.44,68.61,67.57,67.86,28645.0
UAL,2018-05-07 14:00:00+00:00,67.8,67.9,67.29,67.38,48428.0
UAL,2018-05-07 15:00:00+00:00,67.36,67.56,67.23,67.28,39478.0
UAL,2018-05-07 16:00:00+00:00,67.3,67.45,67.05,67.13,33882.0
UAL,2018-05-07 17:00:00+00:00,67.14,67.53,67.0,67.44,36126.0
UAL,2018-05-07 18:00:00+00:00,67.43,67.55,67.27,67.31,37217.0
UAL,2018-05-07 19:00:00+00:00,67.31,67.55,67.22,67.52,91892.0
UAL,2018-05-08 13:00:00+00:00,67.6,67.81,67.37,67.52,36760.0
UAL,2018-05-08 14:00:00+00:00,67.55,67.97,67.49,67.77,52235.0
UAL,2018-05-08 15:00:00+00:00,67.76,69.18,67.65,68.28,130222.0
UAL,2018-05-08 16:00:00+00:00,68.28,68.29,67.91,68.04,45958.0
UAL,2018-05-08 17:00:00+00:00,68.06,68.17,67.87,67.91,35333.0
UAL,2018-05-08 18:00:00+00:00,67.96,68.01,67.45,67.45,46674.0
UAL,2018-05-08 19:00:00+00:00,67.46,67.77,67.4,67.7,70136.0
UAL,2018-05-08 20:00:00+00:00,67.76,67.76,67.76,67.76,451.0
UAL,2018-05-09 13:00:00+00:00,67.3,67.59,66.85,67.17,60019.0
UAL,2018-05-09 14:00:00+00:00,67.14,67.37,66.97,66.97,120724.0
UAL,2018-05-09 15:00:00+00:00,66.99,67.07,66.58,66.58,96007.0
UAL,2018-05-09 16:00:00+00:00,66.56,66.67,66.245,66.27,97756.0
UAL,2018-05-09 17:00:00+00:00,66.28,66.31,65.67,65.68,118829.0
UAL,2018-05-09 18:00:00+00:00,65.67,65.95,65.575,65.8,101104.0
UAL,2018-05-09 19:00:00+00:00,65.8,65.81,65.61,65.8,155228.0
UAL,2018-05-09 20:00:00+00:00,65.7,65.75,65.7,65.75,975.0
UAL,2018-05-10 12:00:00+00:00,66.07,66.07,66.07,66.07,100.0
UAL,2018-05-10 13:00:00+00:00,65.93,66.11,65.63,66.02,20906.0
UAL,2018-05-10 14:00:00+00:00,65.96,66.325,65.9,66.105,46537.0
UAL,2018-05-10 15:00:00+00:00,66.1,66.42,66.09,66.3,46552.0
UAL,2018-05-10 16:00:00+00:00,66.3,66.51,66.23,66.23,45153.0
UAL,2018-05-10 17:00:00+00:00,66.24,66.33,66.0,66.2,54334.0
UAL,2018-05-10 18:00:00+00:00,66.2,66.2,65.83,66.04,67024.0
UAL,2018-05-10 19:00:00+00:00,66.03,66.05,65.83,66.01,93351.0
UAL,2018-05-11 13:00:00+00:00,66.215,67.02,66.215,66.55,44434.0
UAL,2018-05-11 14:00:00+00:00,66.57,67.19,66.48,66.96,61252.0
UAL,2018-05-11 15:00:00+00:00,66.94,67.02,66.38,66.38,48595.0
UAL,2018-05-11 16:00:00+00:00,66.39,66.5,66.24,66.45,34401.0
UAL,2018-05-11 17:00:00+00:00,66.44,66.88,66.41,66.74,47332.0
UAL,2018-05-11 18:00:00+00:00,66.76,66.88,66.57,66.87,55259.0
UAL,2018-05-11 19:00:00+00:00,66.85,67.04,66.82,66.92,123591.0
UAL,2018-05-11 20:00:00+00:00,66.95,66.95,66.95,66.95,200.0
UAL,2018-05-14 13:00:00+00:00,67.18,67.41,66.82,67.3,50104.0
UAL,2018-05-14 14:00:00+00:00,67.33,67.59,66.99,67.11,85266.0
