symbol,ts,open,high,low,close,volume
UBER,2019-05-10 15:00:00+00:00,43.32,45.0,41.06,42.34,5046045.0
UBER,2019-05-10 16:00:00+00:00,42.34,44.85,42.26,44.32,5730017.0
UBER,2019-05-10 17:00:00+00:00,44.33,44.85,43.6,43.67,1681482.0
UBER,2019-05-10 18:00:00+00:00,43.66,44.2,43.52,43.73,1008589.0
UBER,2019-05-10 19:00:00+00:00,43.73,43.79,41.3,41.6,3783282.0
UBER,2019-05-10 20:00:00+00:00,41.45,41.69,41.12,41.33,334174.0
UBER,2019-05-10 21:00:00+00:00,41.32,41.66,41.32,41.49,19584.0
UBER,2019-05-10 22:00:00+00:00,41.49,41.5,41.35,41.4,12021.0
UBER,2019-05-10 23:00:00+00:00,41.48,41.5,41.4,41.4,10302.0
UBER,2019-05-13 08:00:00+00:00,41.0,41.0,40.51,40.65,3441.0
UBER,2019-05-13 09:00:00+00:00,40.7,40.8,40.5,40.7,16441.0
UBER,2019-05-13 10:00:00+00:00,40.55,40.7,40.49,40.5,4842.0
UBER,2019-05-13 11:00:00+00:00,40.55,40.7,38.9,39.01,221482.0
UBER,2019-05-13 12:00:00+00:00,39.08,39.79,38.26,38.61,476521.0
UBER,2019-05-13 13:00:00+00:00,38.57,39.24,37.17,38.52,2764352.0
UBER,2019-05-13 14:00:00+00:00,38.53,38.94,37.66,37.79,1458270.0
UBER,2019-05-13 15:00:00+00:00,37.775,38.15,37.085,37.74,1199166.0
UBER,2019-05-13 16:00:00+00:00,37.72,37.8,36.91,37.13,1045910.0
UBER,2019-05-13 17:00:00+00:00,37.13,37.37,36.58,37.29,993021.0
UBER,2019-05-13 18:00:00+00:00,37.295,37.3,36.6,36.84,544775.0
UBER,2019-05-13 19:00:00+00:00,36.85,37.265,36.1,37.26,1303597.0
UBER,2019-05-13 20:00:00+00:00,37.02,37.34,36.77,37.14,78847.0
UBER,2019-05-13 21:00:00+00:00,37.15,37.15,36.9,36.91,8178.0
UBER,2019-05-13 22:00:00+00:00,36.95,36.95,36.66,36.66,1516.0
UBER,2019-05-13 23:00:00+00:00,36.81,36.91,36.75,36.8,538.0
UBER,2019-05-14 08:00:00+00:00,37.22,37.79,37.22,37.79,7083.0
UBER,2019-05-14 09:00:00+00:00,37.8,38.05,37.7,38.01,13097.0
UBER,2019-05-14 10:00:00+00:00,37.83,38.15,37.81,38.0,19549.0
UBER,2019-05-14 11:00:00+00:00,38.0,38.19,37.7,37.9,51959.0
UBER,2019-05-14 12:00:00+00:00,37.91,38.56,37.8,38.39,135403.0
UBER,2019-05-14 13:00:00+00:00,38.38,39.0,36.85,36.91,1394508.0
UBER,2019-05-14 14:00:00+00:00,36.91,37.85,36.89,37.27,967358.0
UBER,2019-05-14 15:00:00+00:00,37.27,38.25,37.24,38.23,519039.0
UBER,2019-05-14 16:00:00+00:00,38.22,38.385,37.85,38.0,306023.0
UBER,2019-05-14 17:00:00+00:00,38.0,38.24,37.9,38.08,170409.0
UBER,2019-05-14 18:00:00+00:00,38.08,38.405,37.62,38.4,236072.0
UBER,2019-05-14 19:00:00+00:00,38.38,39.96,38.31,39.95,1258349.0
UBER,2019-05-14 20:00:00+00:00,39.85,40.1,39.53,39.6,57308.0
UBER,2019-05-14 21:00:00+00:00,39.6,39.65,39.54,39.54,18666.0
UBER,2019-05-14 22:00:00+00:00,39.52,39.54,39.5,39.5,2569.0
UBER,2019-05-14 23:00:00+00:00,39.5,39.54,39.4,39.49,14746.0
UBER,2019-05-15 08:00:00+00:00,39.35,39.94,39.35,39.8,3499.0
UBER,2019-05-15 09:00:00+00:00,39.9,39.92,39.66,39.91,3067.0
UBER,2019-05-15 10:00:00+00:00,39.36,39.82,39.36,39.8,4463.0
UBER,2019-05-15 11:00:00+00:00,39.8,39.8,39.5,39.6,9123.0
UBER,2019-05-15 12:00:00+00:00,39.55,40.23,39.55,39.69,70612.0
UBER,2019-05-15 13:00:00+00:00,39.55,40.6,38.95,39.35,900665.0
UBER,2019-05-15 14:00:00+00:00,39.35,41.0,39.12,40.7,574498.0
UBER,2019-05-15 15:00:00+00:00,40.7,41.68,40.46,41.32,533170.0
UBER,2019-05-15 16:00:00+00:00,41.31,41.5,40.22,40.32,434040.0
UBER,2019-05-15 17:00:00+00:00,40.32,41.1,40.25,41.07,250723.0
UBER,2019-05-15 18:00:00+00:00,41.02,41.28,40.65,40.97,270369.0
UBER,2019-05-15 19:00:00+00:00,40.99,41.87,40.91,41.21,630250.0
UBER,2019-05-15 20:00:00+00:00,41.36,41.44,41.11,41.14,29943.0
UBER,2019-05-15 21:00:00+00:00,41.14,41.14,40.75,40.78,13488.0
UBER,2019-05-15 22:00:00+00:00,40.75,40.92,40.74,40.91,1512.0
UBER,2019-05-15 23:00:00+00:00,40.92,40.95,40.87,40.87,814.0
UBER,2019-05-16 08:00:00+00:00,41.0,41.4,41.0,41.35,5108.0
UBER,2019-05-16 09:00:00+00:00,41.4,41.4,41.3,41.35,1823.0
UBER,2019-05-16 10:00:00+00:00,41.32,41.4,41.3,41.4,6656.0
UBER,2019-05-16 11:00:00+00:00,41.4,41.7,41.12,41.33,11365.0
UBER,2019-05-16 12:00:00+00:00,41.3,41.55,41.3,41.46,15573.0
UBER,2019-05-16 13:00:00+00:00,41.53,42.39,41.26,41.94,568041.0
UBER,2019-05-16 14:00:00+00:00,41.93,42.88,41.5,42.33,685253.0
