symbol,ts,open,high,low,close,volume
UDR,2018-05-01 13:00:00+00:00,36.14,36.24,36.02,36.05,11507.0
UDR,2018-05-01 14:00:00+00:00,36.06,36.09,35.74,35.8,60211.0
UDR,2018-05-01 15:00:00+00:00,35.8,35.98,35.77,35.94,19784.0
UDR,2018-05-01 16:00:00+00:00,35.94,35.97,35.91,35.94,9219.0
UDR,2018-05-01 17:00:00+00:00,35.95,36.15,35.93,36.13,20226.0
UDR,2018-05-01 18:00:00+00:00,36.14,36.26,36.11,36.26,18466.0
UDR,2018-05-01 19:00:00+00:00,36.28,36.39,36.225,36.3,58358.0
UDR,2018-05-02 13:00:00+00:00,36.07,36.25,35.95,35.96,8188.0
UDR,2018-05-02 14:00:00+00:00,35.91,36.08,35.85,36.04,17348.0
UDR,2018-05-02 15:00:00+00:00,36.05,36.2,35.98,35.99,15635.0
UDR,2018-05-02 16:00:00+00:00,35.99,36.01,35.89,36.0,18445.0
UDR,2018-05-02 17:00:00+00:00,35.99,36.14,35.97,36.12,18637.0
UDR,2018-05-02 18:00:00+00:00,36.12,36.19,36.08,36.12,16669.0
UDR,2018-05-02 19:00:00+00:00,36.12,36.12,35.97,36.06,51598.0
UDR,2018-05-03 13:00:00+00:00,36.02,36.13,35.94,36.13,17828.0
UDR,2018-05-03 14:00:00+00:00,36.19,36.29,36.08,36.11,26934.0
UDR,2018-05-03 15:00:00+00:00,36.13,36.26,36.08,36.24,41688.0
UDR,2018-05-03 16:00:00+00:00,36.26,36.26,36.06,36.17,17576.0
UDR,2018-05-03 17:00:00+00:00,36.16,36.2,36.04,36.11,13373.0
UDR,2018-05-03 18:00:00+00:00,36.1,36.14,35.935,35.95,18620.0
UDR,2018-05-03 19:00:00+00:00,35.95,36.0,35.895,35.9,55993.0
UDR,2018-05-04 13:00:00+00:00,36.05,36.11,35.84,36.05,6572.0
UDR,2018-05-04 14:00:00+00:00,36.04,36.2,35.99,36.15,20432.0
UDR,2018-05-04 15:00:00+00:00,36.15,36.27,36.12,36.2,19329.0
UDR,2018-05-04 16:00:00+00:00,36.18,36.31,36.18,36.26,16646.0
UDR,2018-05-04 17:00:00+00:00,36.27,36.36,36.2,36.2,20410.0
UDR,2018-05-04 18:00:00+00:00,36.2,36.39,36.19,36.34,16650.0
UDR,2018-05-04 19:00:00+00:00,36.35,36.39,36.275,36.31,47394.0
UDR,2018-05-07 13:00:00+00:00,36.37,36.47,36.2,36.28,15411.0
UDR,2018-05-07 14:00:00+00:00,36.28,36.3,36.18,36.29,18883.0
UDR,2018-05-07 15:00:00+00:00,36.29,36.44,36.28,36.42,13108.0
UDR,2018-05-07 16:00:00+00:00,36.43,36.465,36.4,36.405,10735.0
UDR,2018-05-07 17:00:00+00:00,36.4,36.41,36.34,36.34,14569.0
UDR,2018-05-07 18:00:00+00:00,36.345,36.41,36.34,36.4,18257.0
UDR,2018-05-07 19:00:00+00:00,36.405,36.445,36.3,36.42,46761.0
UDR,2018-05-08 13:00:00+00:00,36.32,36.34,36.1,36.15,10037.0
UDR,2018-05-08 14:00:00+00:00,36.17,36.23,36.08,36.14,12454.0
UDR,2018-05-08 15:00:00+00:00,36.13,36.26,36.1,36.18,15534.0
UDR,2018-05-08 16:00:00+00:00,36.18,36.21,36.09,36.1,10058.0
UDR,2018-05-08 17:00:00+00:00,36.11,36.22,36.11,36.19,10863.0
UDR,2018-05-08 18:00:00+00:00,36.2,36.24,36.14,36.21,15799.0
UDR,2018-05-08 19:00:00+00:00,36.2,36.3,36.2,36.24,41067.0
UDR,2018-05-09 13:00:00+00:00,36.15,36.24,36.1,36.22,11473.0
UDR,2018-05-09 14:00:00+00:00,36.21,36.27,36.1,36.13,19271.0
UDR,2018-05-09 15:00:00+00:00,36.135,36.23,36.11,36.22,13409.0
UDR,2018-05-09 16:00:00+00:00,36.21,36.28,36.19,36.28,13215.0
UDR,2018-05-09 17:00:00+00:00,36.3,36.36,36.24,36.36,15846.0
UDR,2018-05-09 18:00:00+00:00,36.35,36.43,36.33,36.41,11578.0
UDR,2018-05-09 19:00:00+00:00,36.41,36.425,36.29,36.4,35442.0
UDR,2018-05-10 13:00:00+00:00,36.48,36.75,36.365,36.52,13310.0
UDR,2018-05-10 14:00:00+00:00,36.51,36.57,36.42,36.55,12746.0
UDR,2018-05-10 15:00:00+00:00,36.54,36.75,36.52,36.73,13564.0
UDR,2018-05-10 16:00:00+00:00,36.73,36.74,36.6,36.61,9516.0
UDR,2018-05-10 17:00:00+00:00,36.61,36.61,36.53,36.59,8183.0
UDR,2018-05-10 18:00:00+00:00,36.59,36.65,36.55,36.64,15966.0
UDR,2018-05-10 19:00:00+00:00,36.65,36.66,36.525,36.595,52340.0
UDR,2018-05-11 13:00:00+00:00,36.68,36.76,36.66,36.69,3974.0
UDR,2018-05-11 14:00:00+00:00,36.68,36.69,36.57,36.64,8605.0
UDR,2018-05-11 15:00:00+00:00,36.65,36.67,36.5,36.53,18747.0
UDR,2018-05-11 16:00:00+00:00,36.52,36.54,36.46,36.46,11174.0
UDR,2018-05-11 17:00:00+00:00,36.45,36.46,36.39,36.41,11214.0
UDR,2018-05-11 18:00:00+00:00,36.41,36.42,36.34,36.35,14014.0
UDR,2018-05-11 19:00:00+00:00,36.35,36.37,36.25,36.3,38785.0
UDR,2018-05-14 13:00:00+00:00,36.31,36.37,36.3,36.36,8477.0
UDR,2018-05-14 14:00:00+00:00,36.36,36.36,36.12,36.12,23243.0
UDR,2018-05-14 15:00:00+00:00,36.11,36.14,35.99,36.02,23286.0
UDR,2018-05-14 16:00:00+00:00,36.02,36.03,35.85,35.87,15479.0
UDR,2018-05-14 17:00:00+00:00,35.875,35.89,35.85,35.85,8893.0
UDR,2018-05-14 18:00:00+00:00,35.85,35.99,35.84,35.98,13968.0
UDR,2018-05-14 19:00:00+00:00,35.98,36.08,35.96,36.08,44369.0
UDR,2018-05-15 13:00:00+00:00,35.87,35.97,35.67,35.69,18172.0
UDR,2018-05-15 14:00:00+00:00,35.69,35.78,35.555,35.67,33514.0
UDR,2018-05-15 15:00:00+00:00,35.66,35.66,35.4,35.4,27908.0
UDR,2018-05-15 16:00:00+00:00,35.39,35.48,35.375,35.38,16721.0
UDR,2018-05-15 17:00:00+00:00,35.37,35.45,35.32,35.39,22971.0
UDR,2018-05-15 18:00:00+00:00,35.39,35.49,35.37,35.44,24679.0
UDR,2018-05-15 19:00:00+00:00,35.435,35.45,35.215,35.29,78451.0
UDR,2018-05-16 13:00:00+00:00,35.42,35.47,35.32,35.32,6455.0
UDR,2018-05-16 14:00:00+00:00,35.28,35.29,35.14,35.14,22045.0
UDR,2018-05-16 15:00:00+00:00,35.15,35.2,35.12,35.14,16849.0
UDR,2018-05-16 16:00:00+00:00,35.14,35.2,35.055,35.06,14701.0
UDR,2018-05-16 17:00:00+00:00,35.05,35.1,35.0,35.05,17660.0
UDR,2018-05-16 18:00:00+00:00,35.045,35.09,35.04,35.06,21615.0
UDR,2018-05-16 19:00:00+00:00,35.05,35.08,34.97,35.015,56292.0
UDR,2018-05-17 13:00:00+00:00,35.13,35.17,34.9,34.95,15656.0
UDR,2018-05-17 14:00:00+00:00,34.935,34.94,34.68,34.71,26028.0
UDR,2018-05-17 15:00:00+00:00,34.73,34.73,34.61,34.71,20823.0
