symbol,ts,open,high,low,close,volume
UHS,2018-05-01 13:00:00+00:00,114.38,114.6,113.11,113.285,38609.0
UHS,2018-05-01 14:00:00+00:00,113.4,113.61,112.59,113.24,29029.0
UHS,2018-05-01 15:00:00+00:00,113.17,114.09,112.89,113.95,16314.0
UHS,2018-05-01 16:00:00+00:00,113.96,114.48,113.96,114.11,14202.0
UHS,2018-05-01 17:00:00+00:00,114.04,114.7,113.67,114.67,19862.0
UHS,2018-05-01 18:00:00+00:00,114.68,114.82,114.51,114.61,28235.0
UHS,2018-05-01 19:00:00+00:00,114.62,115.14,114.49,115.01,74252.0
UHS,2018-05-02 13:00:00+00:00,115.01,117.4,115.01,117.32,9157.0
UHS,2018-05-02 14:00:00+00:00,117.42,118.29,117.29,118.03,28266.0
UHS,2018-05-02 15:00:00+00:00,118.0,118.68,117.95,118.12,16513.0
UHS,2018-05-02 16:00:00+00:00,118.09,118.61,118.06,118.24,15748.0
UHS,2018-05-02 17:00:00+00:00,118.27,118.33,117.91,117.98,22294.0
UHS,2018-05-02 18:00:00+00:00,117.96,118.34,117.78,117.85,27099.0
UHS,2018-05-02 19:00:00+00:00,117.87,117.87,117.32,117.71,89009.0
UHS,2018-05-03 13:00:00+00:00,116.93,116.93,116.33,116.66,17030.0
UHS,2018-05-03 14:00:00+00:00,116.62,117.1,115.23,115.92,36999.0
UHS,2018-05-03 15:00:00+00:00,115.95,116.94,115.86,116.81,33536.0
UHS,2018-05-03 16:00:00+00:00,116.84,117.75,116.79,117.66,29597.0
UHS,2018-05-03 17:00:00+00:00,117.69,117.76,117.29,117.53,26717.0
UHS,2018-05-03 18:00:00+00:00,117.52,117.69,117.27,117.33,26424.0
UHS,2018-05-03 19:00:00+00:00,117.35,117.58,116.97,117.37,83550.0
UHS,2018-05-04 13:00:00+00:00,116.99,117.18,116.44,116.81,19404.0
UHS,2018-05-04 14:00:00+00:00,116.72,117.39,116.42,117.27,12834.0
UHS,2018-05-04 15:00:00+00:00,117.24,117.65,117.11,117.5,10437.0
UHS,2018-05-04 16:00:00+00:00,117.56,117.57,117.19,117.3,19582.0
UHS,2018-05-04 17:00:00+00:00,117.29,117.37,117.1,117.15,16435.0
UHS,2018-05-04 18:00:00+00:00,117.17,117.64,117.17,117.49,20624.0
UHS,2018-05-04 19:00:00+00:00,117.5,118.09,117.42,117.78,45604.0
UHS,2018-05-07 13:00:00+00:00,117.6,118.3,117.6,118.29,4600.0
UHS,2018-05-07 14:00:00+00:00,118.22,118.22,117.04,117.62,8898.0
UHS,2018-05-07 15:00:00+00:00,117.61,117.68,117.32,117.45,12433.0
UHS,2018-05-07 16:00:00+00:00,117.45,117.7,117.36,117.7,9527.0
UHS,2018-05-07 17:00:00+00:00,117.71,117.71,117.35,117.55,14442.0
UHS,2018-05-07 18:00:00+00:00,117.54,117.77,117.47,117.57,20375.0
UHS,2018-05-07 19:00:00+00:00,117.55,117.59,117.18,117.37,44598.0
UHS,2018-05-08 13:00:00+00:00,117.45,117.79,116.86,116.86,4497.0
UHS,2018-05-08 14:00:00+00:00,116.94,117.12,115.88,116.18,27103.0
UHS,2018-05-08 15:00:00+00:00,116.13,116.31,115.72,115.83,22276.0
UHS,2018-05-08 16:00:00+00:00,115.8,116.29,115.41,116.1,19875.0
UHS,2018-05-08 17:00:00+00:00,116.09,116.32,115.91,116.25,12553.0
UHS,2018-05-08 18:00:00+00:00,116.22,116.29,115.7,115.8,23299.0
UHS,2018-05-08 19:00:00+00:00,115.81,116.32,115.67,115.89,44448.0
UHS,2018-05-09 13:00:00+00:00,115.63,116.0,115.225,115.59,4407.0
UHS,2018-05-09 14:00:00+00:00,115.33,116.45,115.27,115.9,16746.0
UHS,2018-05-09 15:00:00+00:00,116.0,116.33,115.69,116.18,9934.0
UHS,2018-05-09 16:00:00+00:00,116.23,117.04,116.16,116.92,10105.0
UHS,2018-05-09 17:00:00+00:00,116.95,117.2,116.81,117.07,9125.0
UHS,2018-05-09 18:00:00+00:00,117.1,117.29,117.04,117.11,10502.0
UHS,2018-05-09 19:00:00+00:00,117.09,117.31,116.92,117.27,21661.0
UHS,2018-05-10 13:00:00+00:00,117.59,117.94,117.24,117.61,4031.0
UHS,2018-05-10 14:00:00+00:00,117.65,117.73,117.02,117.39,19978.0
UHS,2018-05-10 15:00:00+00:00,117.43,117.9,117.38,117.9,12465.0
UHS,2018-05-10 16:00:00+00:00,117.945,118.33,117.83,118.31,7228.0
UHS,2018-05-10 17:00:00+00:00,118.315,118.37,117.95,118.01,6311.0
UHS,2018-05-10 18:00:00+00:00,118.04,118.34,117.92,118.0,15676.0
UHS,2018-05-10 19:00:00+00:00,118.05,118.14,117.53,117.75,39397.0
UHS,2018-05-11 13:00:00+00:00,117.72,118.2,117.28,117.54,4291.0
UHS,2018-05-11 14:00:00+00:00,117.52,118.59,117.48,118.35,23860.0
UHS,2018-05-11 15:00:00+00:00,118.405,118.405,117.99,118.1,17659.0
UHS,2018-05-11 16:00:00+00:00,118.09,118.32,117.96,118.02,9456.0
UHS,2018-05-11 17:00:00+00:00,118.06,118.28,117.99,118.22,15800.0
UHS,2018-05-11 18:00:00+00:00,118.22,118.62,117.49,118.62,16691.0
UHS,2018-05-11 19:00:00+00:00,118.62,118.76,118.27,118.37,43798.0
UHS,2018-05-14 13:00:00+00:00,118.26,118.745,118.26,118.5,4622.0
UHS,2018-05-14 14:00:00+00:00,118.51,118.68,118.3,118.49,11648.0
UHS,2018-05-14 15:00:00+00:00,118.44,118.67,118.35,118.59,14445.0
UHS,2018-05-14 16:00:00+00:00,118.66,118.86,118.45,118.45,9799.0
UHS,2018-05-14 17:00:00+00:00,118.45,118.68,118.43,118.67,8985.0
UHS,2018-05-14 18:00:00+00:00,118.7,118.83,118.5,118.79,17671.0
UHS,2018-05-14 19:00:00+00:00,118.81,118.83,118.59,118.73,27082.0
UHS,2018-05-15 13:00:00+00:00,118.47,118.61,117.83,118.18,6348.0
UHS,2018-05-15 14:00:00+00:00,118.18,118.19,117.51,117.7,10312.0
UHS,2018-05-15 15:00:00+00:00,117.77,117.94,117.59,117.68,8955.0
UHS,2018-05-15 16:00:00+00:00,117.68,117.86,117.46,117.71,8488.0
UHS,2018-05-15 17:00:00+00:00,117.69,117.69,117.35,117.35,7643.0
UHS,2018-05-15 18:00:00+00:00,117.34,117.41,117.08,117.17,25150.0
UHS,2018-05-15 19:00:00+00:00,117.14,117.45,117.12,117.41,38673.0
UHS,2018-05-16 13:00:00+00:00,117.42,117.81,117.4,117.56,3202.0
UHS,2018-05-16 14:00:00+00:00,117.62,117.95,117.41,117.9,6627.0
UHS,2018-05-16 15:00:00+00:00,117.8,118.25,117.68,118.18,8273.0
UHS,2018-05-16 16:00:00+00:00,118.21,118.73,118.16,118.63,5157.0
UHS,2018-05-16 17:00:00+00:00,118.65,119.22,118.65,119.22,3828.0
UHS,2018-05-16 18:00:00+00:00,119.22,119.27,118.93,118.98,8948.0
UHS,2018-05-16 19:00:00+00:00,118.96,118.96,118.29,118.48,22623.0
UHS,2018-05-17 13:00:00+00:00,118.52,118.82,118.34,118.59,3661.0
UHS,2018-05-17 14:00:00+00:00,118.62,119.12,118.62,118.95,4936.0
UHS,2018-05-17 15:00:00+00:00,118.97,119.9,118.85,119.83,13073.0
UHS,2018-05-17 16:00:00+00:00,119.8,120.04,119.45,119.62,13176.0
UHS,2018-05-17 17:00:00+00:00,119.58,119.64,119.06,119.09,8497.0
UHS,2018-05-17 18:00:00+00:00,119.06,119.16,118.73,118.87,12391.0
UHS,2018-05-17 19:00:00+00:00,118.85,119.065,118.65,118.72,32286.0
UHS,2018-05-18 13:00:00+00:00,118.7,119.17,118.62,118.86,2293.0
UHS,2018-05-18 14:00:00+00:00,118.78,118.78,118.28,118.37,9697.0
UHS,2018-05-18 15:00:00+00:00,118.42,118.83,118.37,118.8,6984.0
UHS,2018-05-18 16:00:00+00:00,118.73,118.73,118.34,118.49,6025.0
UHS,2018-05-18 17:00:00+00:00,118.47,118.47,118.25,118.34,5973.0
UHS,2018-05-18 18:00:00+00:00,118.34,118.36,118.2,118.21,11305.0
UHS,2018-05-18 19:00:00+00:00,118.23,118.26,117.79,117.86,29591.0
UHS,2018-05-21 13:00:00+00:00,118.635,118.94,118.33,118.52,4419.0
UHS,2018-05-21 14:00:00+00:00,118.57,119.22,118.57,118.98,17674.0
UHS,2018-05-21 15:00:00+00:00,119.02,119.57,118.9,119.35,10477.0
UHS,2018-05-21 16:00:00+00:00,119.37,119.67,119.11,119.12,9359.0
UHS,2018-05-21 17:00:00+00:00,119.125,119.14,118.8,119.1,8308.0
UHS,2018-05-21 18:00:00+00:00,119.07,119.17,118.87,118.87,11446.0
UHS,2018-05-21 19:00:00+00:00,118.85,118.91,118.47,118.74,41676.0
UHS,2018-05-22 13:00:00+00:00,119.39,119.75,119.24,119.43,2308.0
UHS,2018-05-22 14:00:00+00:00,119.2,119.62,118.92,119.19,6811.0
UHS,2018-05-22 15:00:00+00:00,119.1,119.38,119.0,119.09,6247.0
UHS,2018-05-22 16:00:00+00:00,119.14,119.24,118.95,118.98,5572.0
UHS,2018-05-22 17:00:00+00:00,118.97,119.21,118.97,119.16,5929.0
UHS,2018-05-22 18:00:00+00:00,119.12,119.16,118.78,118.79,8546.0
UHS,2018-05-22 19:00:00+00:00,118.79,118.95,118.53,118.7,33340.0
UHS,2018-05-23 13:00:00+00:00,118.33,118.35,116.73,116.88,19919.0
UHS,2018-05-23 14:00:00+00:00,116.86,117.04,115.89,115.98,40516.0
UHS,2018-05-23 15:00:00+00:00,115.93,115.97,115.5,115.53,21504.0
UHS,2018-05-23 16:00:00+00:00,115.59,115.82,115.32,115.81,14444.0
UHS,2018-05-23 17:00:00+00:00,115.8,115.91,115.52,115.89,16091.0
UHS,2018-05-23 18:00:00+00:00,115.88,116.73,115.87,116.71,18033.0
UHS,2018-05-23 19:00:00+00:00,116.7,116.84,116.44,116.52,49376.0
UHS,2018-05-24 13:00:00+00:00,116.37,116.8,115.53,115.86,9964.0
UHS,2018-05-24 14:00:00+00:00,115.95,116.07,115.25,115.47,24547.0
UHS,2018-05-24 15:00:00+00:00,115.44,115.965,115.44,115.82,33465.0
UHS,2018-05-24 16:00:00+00:00,115.82,115.92,115.56,115.72,13791.0
UHS,2018-05-24 17:00:00+00:00,115.77,116.15,115.64,116.0,9725.0
UHS,2018-05-24 18:00:00+00:00,115.99,116.04,115.74,115.78,20076.0
UHS,2018-05-24 19:00:00+00:00,115.75,116.06,115.65,115.93,39993.0
UHS,2018-05-25 13:00:00+00:00,116.05,116.77,116.05,116.2,7503.0
UHS,2018-05-25 14:00:00+00:00,116.11,116.73,116.05,116.73,17825.0
UHS,2018-05-25 15:00:00+00:00,116.69,116.75,116.46,116.46,15932.0
UHS,2018-05-25 16:00:00+00:00,116.45,116.69,116.45,116.51,19078.0
UHS,2018-05-25 17:00:00+00:00,116.51,116.79,116.45,116.77,12411.0
UHS,2018-05-25 18:00:00+00:00,116.76,116.89,116.59,116.63,14402.0
UHS,2018-05-25 19:00:00+00:00,116.63,116.83,116.6,116.76,27214.0
