symbol,ts,open,high,low,close,volume
UNH,2018-05-01 12:00:00+00:00,236.3,236.3,236.3,236.3,21.0
UNH,2018-05-01 13:00:00+00:00,236.55,236.97,235.52,236.53,30960.0
UNH,2018-05-01 14:00:00+00:00,236.46,236.61,235.69,236.07,49560.0
UNH,2018-05-01 15:00:00+00:00,236.04,236.5,235.63,235.65,43070.0
UNH,2018-05-01 16:00:00+00:00,235.72,236.07,235.26,235.4,27088.0
UNH,2018-05-01 17:00:00+00:00,235.38,236.53,234.37,236.53,27514.0
UNH,2018-05-01 18:00:00+00:00,236.47,237.49,236.39,236.86,24755.0
UNH,2018-05-01 19:00:00+00:00,236.96,237.06,235.8,236.86,82915.0
UNH,2018-05-02 13:00:00+00:00,235.61,236.0,233.78,233.96,26040.0
UNH,2018-05-02 14:00:00+00:00,233.77,234.6,232.98,233.23,44807.0
UNH,2018-05-02 15:00:00+00:00,233.26,234.53,232.89,233.17,35791.0
UNH,2018-05-02 16:00:00+00:00,233.15,234.63,233.07,234.49,43520.0
UNH,2018-05-02 17:00:00+00:00,234.53,236.12,234.53,235.32,32312.0
UNH,2018-05-02 18:00:00+00:00,235.28,236.19,234.41,234.64,54680.0
UNH,2018-05-02 19:00:00+00:00,234.67,234.7,232.97,233.49,103715.0
UNH,2018-05-02 20:00:00+00:00,233.0,233.46,233.0,233.46,47.0
UNH,2018-05-02 23:00:00+00:00,233.0,234.0,233.0,234.0,30.0
UNH,2018-05-03 13:00:00+00:00,231.5,232.39,230.65,231.26,32554.0
UNH,2018-05-03 14:00:00+00:00,231.41,232.59,229.49,230.86,77997.0
UNH,2018-05-03 15:00:00+00:00,230.79,231.66,230.0,231.43,58191.0
UNH,2018-05-03 16:00:00+00:00,231.36,234.09,231.08,233.91,46321.0
UNH,2018-05-03 17:00:00+00:00,234.03,234.82,233.09,233.97,37628.0
UNH,2018-05-03 18:00:00+00:00,234.08,234.35,233.31,233.47,42122.0
UNH,2018-05-03 19:00:00+00:00,233.49,234.22,233.09,234.11,122220.0
UNH,2018-05-04 12:00:00+00:00,235.5,235.5,235.5,235.5,7.0
UNH,2018-05-04 13:00:00+00:00,234.0,234.0,232.17,232.84,28366.0
UNH,2018-05-04 14:00:00+00:00,232.83,235.08,232.6,234.24,42224.0
UNH,2018-05-04 15:00:00+00:00,234.3,235.11,233.86,234.86,44690.0
UNH,2018-05-04 16:00:00+00:00,234.89,235.32,234.61,234.84,25998.0
UNH,2018-05-04 17:00:00+00:00,234.86,235.915,234.75,235.89,27277.0
UNH,2018-05-04 18:00:00+00:00,235.85,236.68,235.8,236.3,60038.0
UNH,2018-05-04 19:00:00+00:00,236.3,236.64,235.47,235.85,115259.0
UNH,2018-05-04 20:00:00+00:00,236.27,236.27,236.27,236.27,13.0
UNH,2018-05-07 13:00:00+00:00,235.39,236.88,235.39,235.76,29402.0
UNH,2018-05-07 14:00:00+00:00,235.68,236.16,234.4,235.08,37836.0
UNH,2018-05-07 15:00:00+00:00,235.07,235.37,234.17,234.53,30508.0
UNH,2018-05-07 16:00:00+00:00,234.51,234.97,233.99,234.34,36931.0
UNH,2018-05-07 17:00:00+00:00,234.3,234.42,233.0,233.435,37640.0
UNH,2018-05-07 18:00:00+00:00,233.435,233.7,232.63,232.73,66475.0
UNH,2018-05-07 19:00:00+00:00,232.75,233.87,232.68,233.76,158297.0
UNH,2018-05-08 13:00:00+00:00,233.17,233.17,231.49,231.63,24145.0
UNH,2018-05-08 14:00:00+00:00,231.695,232.51,231.01,231.68,41225.0
UNH,2018-05-08 15:00:00+00:00,231.71,231.94,230.72,231.29,51378.0
UNH,2018-05-08 16:00:00+00:00,231.23,231.43,230.65,230.92,31963.0
UNH,2018-05-08 17:00:00+00:00,230.91,231.38,230.81,230.98,33075.0
UNH,2018-05-08 18:00:00+00:00,230.98,231.75,230.73,231.45,47302.0
UNH,2018-05-08 19:00:00+00:00,231.5,232.33,231.325,232.05,104876.0
UNH,2018-05-08 20:00:00+00:00,232.14,232.14,232.1,232.1,8.0
UNH,2018-05-08 22:00:00+00:00,232.43,232.43,232.43,232.43,200.0
UNH,2018-05-09 12:00:00+00:00,233.01,233.01,233.01,233.01,11.0
UNH,2018-05-09 13:00:00+00:00,233.01,233.06,230.47,230.76,24352.0
UNH,2018-05-09 14:00:00+00:00,230.55,230.59,229.14,229.51,47249.0
UNH,2018-05-09 15:00:00+00:00,229.55,230.4,229.53,229.74,45558.0
UNH,2018-05-09 16:00:00+00:00,229.78,229.94,228.46,228.62,88603.0
UNH,2018-05-09 17:00:00+00:00,228.62,229.19,228.39,228.57,58414.0
UNH,2018-05-09 18:00:00+00:00,228.6,229.52,228.53,229.29,50294.0
UNH,2018-05-09 19:00:00+00:00,229.28,229.29,228.23,229.23,100173.0
UNH,2018-05-10 12:00:00+00:00,228.79,228.79,228.79,228.79,50.0
UNH,2018-05-10 13:00:00+00:00,230.0,231.85,229.76,231.85,20419.0
UNH,2018-05-10 14:00:00+00:00,231.83,232.39,231.28,231.77,21730.0
UNH,2018-05-10 15:00:00+00:00,231.86,232.73,231.85,232.51,14385.0
UNH,2018-05-10 16:00:00+00:00,232.43,233.81,232.37,233.58,20194.0
UNH,2018-05-10 17:00:00+00:00,233.66,234.28,233.15,233.33,22695.0
UNH,2018-05-10 18:00:00+00:00,233.28,233.64,232.34,233.24,26313.0
UNH,2018-05-10 19:00:00+00:00,233.26,233.85,232.75,233.64,63956.0
UNH,2018-05-11 13:00:00+00:00,233.81,236.48,233.05,236.42,21276.0
UNH,2018-05-11 14:00:00+00:00,236.38,236.91,235.73,235.86,27539.0
UNH,2018-05-11 15:00:00+00:00,235.8,235.8,234.94,235.15,20039.0
UNH,2018-05-11 16:00:00+00:00,235.15,235.58,234.86,235.09,19055.0
UNH,2018-05-11 17:00:00+00:00,235.14,235.62,234.78,235.55,25630.0
UNH,2018-05-11 18:00:00+00:00,235.48,237.11,233.02,236.7,106671.0
UNH,2018-05-11 19:00:00+00:00,236.72,238.79,236.63,238.29,114778.0
UNH,2018-05-11 21:00:00+00:00,238.8,238.8,238.8,238.8,3.0
UNH,2018-05-11 22:00:00+00:00,238.5,238.88,238.5,238.88,131.0
UNH,2018-05-14 13:00:00+00:00,239.0,243.54,239.0,242.3,69006.0
UNH,2018-05-14 14:00:00+00:00,242.13,242.13,240.52,242.12,51944.0
UNH,2018-05-14 15:00:00+00:00,241.91,242.88,241.07,241.19,49032.0
UNH,2018-05-14 16:00:00+00:00,241.2,241.65,240.08,240.48,41289.0
UNH,2018-05-14 17:00:00+00:00,240.45,241.6,240.4,241.55,48752.0
UNH,2018-05-14 18:00:00+00:00,241.57,242.31,241.07,242.15,53414.0
UNH,2018-05-14 19:00:00+00:00,242.16,243.09,241.83,242.98,132943.0
