symbol,ts,open,high,low,close,volume
UPS,2018-05-01 13:00:00+00:00,113.22,113.89,113.22,113.65,18701.0
UPS,2018-05-01 14:00:00+00:00,113.57,113.61,112.25,112.37,49249.0
UPS,2018-05-01 15:00:00+00:00,112.34,113.24,112.05,112.63,45337.0
UPS,2018-05-01 16:00:00+00:00,112.66,112.95,112.0,112.05,37995.0
UPS,2018-05-01 17:00:00+00:00,112.07,112.19,111.48,112.01,60973.0
UPS,2018-05-01 18:00:00+00:00,112.0,112.45,112.0,112.31,66824.0
UPS,2018-05-01 19:00:00+00:00,112.32,112.47,111.92,112.46,119901.0
UPS,2018-05-02 08:00:00+00:00,112.5,112.5,112.5,112.5,100.0
UPS,2018-05-02 12:00:00+00:00,112.0,112.0,112.0,112.0,16.0
UPS,2018-05-02 13:00:00+00:00,112.3,112.49,111.15,111.41,30721.0
UPS,2018-05-02 14:00:00+00:00,111.37,112.05,110.73,111.87,70669.0
UPS,2018-05-02 15:00:00+00:00,111.87,111.9,111.595,111.78,34491.0
UPS,2018-05-02 16:00:00+00:00,111.78,112.05,111.68,111.86,27126.0
UPS,2018-05-02 17:00:00+00:00,111.88,111.89,111.66,111.7,40051.0
UPS,2018-05-02 18:00:00+00:00,111.7,112.19,111.64,111.92,68372.0
UPS,2018-05-02 19:00:00+00:00,111.91,111.99,110.59,111.15,144367.0
UPS,2018-05-02 20:00:00+00:00,111.05,111.05,111.05,111.05,4.0
UPS,2018-05-03 13:00:00+00:00,110.79,110.79,110.03,110.24,13906.0
UPS,2018-05-03 14:00:00+00:00,110.33,110.33,108.2,109.04,67635.0
UPS,2018-05-03 15:00:00+00:00,109.03,109.53,108.57,109.37,46658.0
UPS,2018-05-03 16:00:00+00:00,109.39,109.97,109.11,109.94,54559.0
UPS,2018-05-03 17:00:00+00:00,109.96,109.96,109.31,109.63,63807.0
UPS,2018-05-03 18:00:00+00:00,109.64,110.05,109.37,109.46,72265.0
UPS,2018-05-03 19:00:00+00:00,109.485,109.92,109.44,109.87,112603.0
UPS,2018-05-03 22:00:00+00:00,109.9,109.9,109.9,109.9,30.0
UPS,2018-05-04 13:00:00+00:00,109.07,110.06,108.83,109.65,33969.0
UPS,2018-05-04 14:00:00+00:00,109.61,110.37,109.41,110.18,61546.0
UPS,2018-05-04 15:00:00+00:00,110.2,110.38,109.86,110.32,38574.0
UPS,2018-05-04 16:00:00+00:00,110.34,110.63,110.27,110.57,31603.0
UPS,2018-05-04 17:00:00+00:00,110.58,111.02,110.55,110.99,33155.0
UPS,2018-05-04 18:00:00+00:00,111.0,111.72,110.96,111.61,47404.0
UPS,2018-05-04 19:00:00+00:00,111.63,111.8,111.12,111.325,104848.0
UPS,2018-05-07 13:00:00+00:00,111.57,112.59,111.49,112.59,31166.0
UPS,2018-05-07 14:00:00+00:00,112.58,112.64,111.97,112.43,56800.0
UPS,2018-05-07 15:00:00+00:00,112.43,112.74,112.27,112.61,46474.0
UPS,2018-05-07 16:00:00+00:00,112.62,112.73,112.34,112.39,39336.0
UPS,2018-05-07 17:00:00+00:00,112.39,112.51,112.28,112.35,33270.0
UPS,2018-05-07 18:00:00+00:00,112.33,112.72,112.3,112.42,32004.0
UPS,2018-05-07 19:00:00+00:00,112.41,112.43,111.9,112.16,93416.0
UPS,2018-05-08 13:00:00+00:00,112.0,113.2,111.24,112.76,30925.0
UPS,2018-05-08 14:00:00+00:00,112.7,112.8,112.14,112.26,31590.0
UPS,2018-05-08 15:00:00+00:00,112.26,112.26,111.56,111.72,59913.0
UPS,2018-05-08 16:00:00+00:00,111.74,111.85,111.32,111.465,54992.0
UPS,2018-05-08 17:00:00+00:00,111.46,111.55,111.08,111.24,59146.0
UPS,2018-05-08 18:00:00+00:00,111.25,111.31,110.64,110.77,65564.0
UPS,2018-05-08 19:00:00+00:00,110.78,111.28,110.7,111.26,113621.0
UPS,2018-05-09 12:00:00+00:00,112.0,112.0,112.0,112.0,90.0
UPS,2018-05-09 13:00:00+00:00,111.34,111.55,110.71,111.3,19599.0
UPS,2018-05-09 14:00:00+00:00,111.29,111.29,110.565,110.6,38460.0
UPS,2018-05-09 15:00:00+00:00,110.605,110.67,110.32,110.53,52209.0
