symbol,ts,open,high,low,close,volume
VLO,2018-05-01 13:00:00+00:00,110.85,110.97,110.07,110.25,28045.0
VLO,2018-05-01 14:00:00+00:00,110.29,110.41,109.65,109.86,75958.0
VLO,2018-05-01 15:00:00+00:00,109.83,110.66,109.72,110.17,61829.0
VLO,2018-05-01 16:00:00+00:00,110.19,110.41,109.48,109.51,45532.0
VLO,2018-05-01 17:00:00+00:00,109.5,109.64,108.77,109.54,72088.0
VLO,2018-05-01 18:00:00+00:00,109.53,110.23,109.42,109.86,58350.0
VLO,2018-05-01 19:00:00+00:00,109.87,110.75,109.7,110.73,116048.0
VLO,2018-05-02 13:00:00+00:00,110.57,112.12,110.57,112.01,38172.0
VLO,2018-05-02 14:00:00+00:00,112.01,113.46,112.01,112.78,114055.0
VLO,2018-05-02 15:00:00+00:00,112.78,113.0,112.08,112.37,88909.0
VLO,2018-05-02 16:00:00+00:00,112.38,112.5,111.62,111.67,97044.0
VLO,2018-05-02 17:00:00+00:00,111.67,112.28,111.64,111.98,83116.0
VLO,2018-05-02 18:00:00+00:00,111.95,113.02,111.95,112.5,104548.0
VLO,2018-05-02 19:00:00+00:00,112.5,112.8,111.87,112.23,207752.0
VLO,2018-05-02 20:00:00+00:00,111.95,111.95,111.95,111.95,500.0
VLO,2018-05-03 13:00:00+00:00,111.76,111.76,111.03,111.7,14887.0
VLO,2018-05-03 14:00:00+00:00,111.72,112.22,111.26,111.89,77501.0
VLO,2018-05-03 15:00:00+00:00,111.9,112.55,111.49,112.55,45040.0
VLO,2018-05-03 16:00:00+00:00,112.56,113.46,112.51,113.44,47241.0
VLO,2018-05-03 17:00:00+00:00,113.46,113.58,112.79,113.28,61061.0
VLO,2018-05-03 18:00:00+00:00,113.3,113.89,112.94,112.99,77392.0
VLO,2018-05-03 19:00:00+00:00,113.01,113.52,112.82,113.34,113200.0
VLO,2018-05-04 13:00:00+00:00,113.88,113.88,111.93,112.03,29878.0
VLO,2018-05-04 14:00:00+00:00,111.97,113.175,111.96,112.98,57550.0
VLO,2018-05-04 15:00:00+00:00,112.99,113.36,112.82,113.23,46745.0
VLO,2018-05-04 16:00:00+00:00,113.26,113.85,113.1,113.14,43898.0
VLO,2018-05-04 17:00:00+00:00,113.16,113.54,113.03,113.5,27608.0
VLO,2018-05-04 18:00:00+00:00,113.49,113.71,113.31,113.34,46473.0
VLO,2018-05-04 19:00:00+00:00,113.35,113.7,113.225,113.41,85437.0
VLO,2018-05-07 13:00:00+00:00,114.16,115.23,113.78,114.94,26220.0
VLO,2018-05-07 14:00:00+00:00,114.93,115.47,114.61,115.26,55973.0
VLO,2018-05-07 15:00:00+00:00,115.29,115.38,115.06,115.21,37071.0
VLO,2018-05-07 16:00:00+00:00,115.23,115.4,114.89,115.19,39636.0
VLO,2018-05-07 17:00:00+00:00,115.2,115.2,114.53,114.87,28839.0
VLO,2018-05-07 18:00:00+00:00,114.86,114.86,113.7,113.76,53129.0
VLO,2018-05-07 19:00:00+00:00,113.76,113.89,113.35,113.64,96521.0
VLO,2018-05-07 20:00:00+00:00,114.11,114.89,114.11,114.89,21.0
VLO,2018-05-07 21:00:00+00:00,113.78,113.78,113.68,113.68,200.0
VLO,2018-05-08 13:00:00+00:00,113.16,113.16,111.05,111.7,67131.0
VLO,2018-05-08 14:00:00+00:00,111.8,112.94,111.8,112.435,65422.0
VLO,2018-05-08 15:00:00+00:00,112.435,113.12,111.24,112.91,74277.0
