symbol,ts,open,high,low,close,volume
VMC,2018-05-01 13:00:00+00:00,111.9,112.02,110.61,110.62,8665.0
VMC,2018-05-01 14:00:00+00:00,110.57,110.57,108.17,108.21,34819.0
VMC,2018-05-01 15:00:00+00:00,108.21,110.37,108.2,110.06,26196.0
VMC,2018-05-01 16:00:00+00:00,110.05,110.2,109.69,109.91,16418.0
VMC,2018-05-01 17:00:00+00:00,109.89,110.46,109.63,110.46,20499.0
VMC,2018-05-01 18:00:00+00:00,110.45,111.01,110.32,110.99,18029.0
VMC,2018-05-01 19:00:00+00:00,111.01,111.9,110.85,111.79,60893.0
VMC,2018-05-02 13:00:00+00:00,113.45,115.53,112.53,112.53,14247.0
VMC,2018-05-02 14:00:00+00:00,112.72,114.11,112.59,113.67,52537.0
VMC,2018-05-02 15:00:00+00:00,113.82,114.35,113.33,113.77,37535.0
VMC,2018-05-02 16:00:00+00:00,113.72,114.09,113.53,114.05,29016.0
VMC,2018-05-02 17:00:00+00:00,114.08,114.29,113.78,114.055,31494.0
VMC,2018-05-02 18:00:00+00:00,114.1,114.5,113.36,113.4,47561.0
VMC,2018-05-02 19:00:00+00:00,113.375,113.72,113.07,113.65,116563.0
VMC,2018-05-02 20:00:00+00:00,113.72,113.72,113.72,113.72,16.0
VMC,2018-05-03 12:00:00+00:00,118.89,119.95,118.89,119.95,135.0
VMC,2018-05-03 13:00:00+00:00,118.7,123.78,118.7,119.2,91285.0
VMC,2018-05-03 14:00:00+00:00,119.08,119.21,115.97,117.66,72739.0
VMC,2018-05-03 15:00:00+00:00,117.66,122.16,117.54,121.83,89151.0
VMC,2018-05-03 16:00:00+00:00,121.83,122.28,120.1,122.25,71743.0
VMC,2018-05-03 17:00:00+00:00,122.2,122.67,121.76,121.93,59399.0
VMC,2018-05-03 18:00:00+00:00,121.89,122.14,120.41,120.58,68948.0
VMC,2018-05-03 19:00:00+00:00,120.57,122.9,120.45,122.22,191748.0
VMC,2018-05-04 13:00:00+00:00,121.32,122.01,120.04,121.55,16085.0
VMC,2018-05-04 14:00:00+00:00,121.38,123.58,121.14,123.48,40308.0
VMC,2018-05-04 15:00:00+00:00,123.46,124.2,122.78,123.26,34312.0
VMC,2018-05-04 16:00:00+00:00,123.195,123.57,122.96,123.46,36856.0
VMC,2018-05-04 17:00:00+00:00,123.48,123.63,123.36,123.59,26820.0
VMC,2018-05-04 18:00:00+00:00,123.58,124.03,123.29,123.42,75095.0
VMC,2018-05-04 19:00:00+00:00,123.42,123.83,122.5,122.7,117493.0
VMC,2018-05-04 20:00:00+00:00,122.5,122.51,122.5,122.5,600.0
VMC,2018-05-07 13:00:00+00:00,122.9,122.9,122.08,122.74,8879.0
VMC,2018-05-07 14:00:00+00:00,122.76,123.54,122.32,123.25,23837.0
VMC,2018-05-07 15:00:00+00:00,123.3,123.45,122.82,123.27,18540.0
VMC,2018-05-07 16:00:00+00:00,123.34,123.89,123.08,123.81,25176.0
VMC,2018-05-07 17:00:00+00:00,123.8,124.14,123.47,124.055,27262.0
VMC,2018-05-07 18:00:00+00:00,124.015,124.57,123.98,124.05,43661.0
VMC,2018-05-07 19:00:00+00:00,124.05,124.09,123.04,123.45,117746.0
VMC,2018-05-08 13:00:00+00:00,123.6,125.97,123.46,125.85,18721.0
VMC,2018-05-08 14:00:00+00:00,125.9,127.56,125.64,127.38,48559.0
VMC,2018-05-08 15:00:00+00:00,127.41,127.7,126.26,127.11,33466.0
VMC,2018-05-08 16:00:00+00:00,127.115,127.36,126.52,127.05,34112.0
VMC,2018-05-08 17:00:00+00:00,127.04,127.13,126.0,126.85,37570.0
VMC,2018-05-08 18:00:00+00:00,126.91,127.26,126.0,126.29,51812.0
VMC,2018-05-08 19:00:00+00:00,126.23,126.99,126.2,126.74,107960.0
VMC,2018-05-09 13:00:00+00:00,126.45,127.27,126.43,126.72,11091.0
VMC,2018-05-09 14:00:00+00:00,126.75,126.87,124.84,125.55,30378.0
VMC,2018-05-09 15:00:00+00:00,125.62,125.71,124.98,125.4,33686.0
VMC,2018-05-09 16:00:00+00:00,125.39,126.85,125.375,126.81,14869.0
VMC,2018-05-09 17:00:00+00:00,126.865,127.27,126.4,127.19,20279.0
VMC,2018-05-09 18:00:00+00:00,127.29,127.59,127.05,127.15,44817.0
VMC,2018-05-09 19:00:00+00:00,127.02,127.09,126.66,127.05,57227.0
VMC,2018-05-10 13:00:00+00:00,127.42,127.5,126.47,127.06,9732.0
VMC,2018-05-10 14:00:00+00:00,127.135,127.22,126.06,127.01,50272.0
