symbol,ts,open,high,low,close,volume
VRSK,2018-05-01 13:00:00+00:00,107.74,107.74,105.62,105.93,21524.0
VRSK,2018-05-01 14:00:00+00:00,105.95,106.23,105.82,106.01,32035.0
VRSK,2018-05-01 15:00:00+00:00,106.0,106.31,105.65,105.96,36638.0
VRSK,2018-05-01 16:00:00+00:00,106.0,106.24,105.71,105.99,53560.0
VRSK,2018-05-01 17:00:00+00:00,105.96,106.5,105.57,106.35,51043.0
VRSK,2018-05-01 18:00:00+00:00,106.33,106.61,106.28,106.35,83689.0
VRSK,2018-05-01 19:00:00+00:00,106.35,106.95,106.19,106.67,137620.0
VRSK,2018-05-01 20:00:00+00:00,106.69,106.71,104.11,106.65,50243.0
VRSK,2018-05-01 21:00:00+00:00,104.0,104.0,104.0,104.0,26.0
VRSK,2018-05-01 23:00:00+00:00,104.2,104.2,104.0,104.0,25.0
VRSK,2018-05-02 13:00:00+00:00,105.5,105.5,100.71,102.99,83952.0
VRSK,2018-05-02 14:00:00+00:00,102.99,103.58,102.73,103.0,62339.0
VRSK,2018-05-02 15:00:00+00:00,102.98,103.2,101.36,101.36,99583.0
VRSK,2018-05-02 16:00:00+00:00,101.35,101.45,100.73,100.88,84466.0
VRSK,2018-05-02 17:00:00+00:00,100.9,101.11,100.09,100.68,66517.0
VRSK,2018-05-02 18:00:00+00:00,100.65,101.62,100.65,100.88,98828.0
VRSK,2018-05-02 19:00:00+00:00,100.83,101.26,99.89,99.99,235508.0
VRSK,2018-05-02 20:00:00+00:00,100.0,100.0,99.97,99.99,138633.0
VRSK,2018-05-02 23:00:00+00:00,99.23,99.23,99.23,99.23,75.0
VRSK,2018-05-03 13:00:00+00:00,100.42,100.95,98.95,99.6,58926.0
VRSK,2018-05-03 14:00:00+00:00,99.63,99.63,98.77,99.03,79588.0
VRSK,2018-05-03 15:00:00+00:00,99.01,100.0,98.99,99.88,90295.0
VRSK,2018-05-03 16:00:00+00:00,99.9,100.52,99.82,100.4,127298.0
VRSK,2018-05-03 17:00:00+00:00,100.4,100.4,99.99,99.99,122418.0
VRSK,2018-05-03 18:00:00+00:00,100.01,101.01,100.0,100.34,159971.0
VRSK,2018-05-03 19:00:00+00:00,100.4,100.72,100.02,100.61,219995.0
VRSK,2018-05-03 20:00:00+00:00,100.61,100.63,100.61,100.63,127924.0
VRSK,2018-05-04 13:00:00+00:00,100.28,101.11,100.28,101.06,32640.0
VRSK,2018-05-04 14:00:00+00:00,101.06,102.22,100.97,102.17,40058.0
VRSK,2018-05-04 15:00:00+00:00,102.17,102.65,102.17,102.65,35402.0
VRSK,2018-05-04 16:00:00+00:00,102.69,102.9,102.52,102.89,39075.0
VRSK,2018-05-04 17:00:00+00:00,102.9,103.42,102.83,103.18,34450.0
VRSK,2018-05-04 18:00:00+00:00,103.15,103.48,102.95,103.0,54869.0
VRSK,2018-05-04 19:00:00+00:00,102.99,103.02,102.22,102.36,95377.0
VRSK,2018-05-04 20:00:00+00:00,102.36,102.36,102.36,102.36,65999.0
VRSK,2018-05-07 13:00:00+00:00,102.63,102.94,102.53,102.94,16590.0
VRSK,2018-05-07 14:00:00+00:00,102.92,103.27,102.71,103.19,27215.0
VRSK,2018-05-07 15:00:00+00:00,103.17,103.4,103.0,103.4,24825.0
VRSK,2018-05-07 16:00:00+00:00,103.44,103.83,103.44,103.75,20714.0
VRSK,2018-05-07 17:00:00+00:00,103.73,104.05,103.67,103.96,22402.0
VRSK,2018-05-07 18:00:00+00:00,103.94,104.33,103.81,104.06,37180.0
VRSK,2018-05-07 19:00:00+00:00,104.06,104.16,103.5,103.7,115482.0
VRSK,2018-05-07 20:00:00+00:00,103.69,103.69,103.69,103.69,94175.0
VRSK,2018-05-08 13:00:00+00:00,103.43,103.7,102.41,103.53,46702.0
VRSK,2018-05-08 14:00:00+00:00,103.52,103.76,103.38,103.41,43326.0
VRSK,2018-05-08 15:00:00+00:00,103.4,103.78,103.4,103.53,35187.0
VRSK,2018-05-08 16:00:00+00:00,103.56,103.66,103.29,103.48,25877.0
VRSK,2018-05-08 17:00:00+00:00,103.49,103.89,103.48,103.61,36782.0
VRSK,2018-05-08 18:00:00+00:00,103.6,103.65,103.25,103.38,60808.0
VRSK,2018-05-08 19:00:00+00:00,103.36,103.7,103.25,103.62,134239.0
VRSK,2018-05-08 20:00:00+00:00,103.62,103.62,103.61,103.61,77517.0
VRSK,2018-05-09 13:00:00+00:00,103.89,104.12,103.4,103.75,20364.0
VRSK,2018-05-09 14:00:00+00:00,103.71,103.9,103.27,103.44,20683.0
VRSK,2018-05-09 15:00:00+00:00,103.46,104.35,103.46,104.27,27570.0
VRSK,2018-05-09 16:00:00+00:00,104.27,104.58,104.15,104.5,24865.0
VRSK,2018-05-09 17:00:00+00:00,104.5,105.21,104.5,105.21,30348.0
VRSK,2018-05-09 18:00:00+00:00,105.24,105.3,104.94,105.04,29925.0
VRSK,2018-05-09 19:00:00+00:00,105.04,105.04,104.63,104.78,59897.0
VRSK,2018-05-09 20:00:00+00:00,104.78,104.93,104.78,104.93,43602.0
VRSK,2018-05-10 13:00:00+00:00,105.45,105.45,105.1,105.3,13497.0
VRSK,2018-05-10 14:00:00+00:00,105.31,105.62,105.18,105.57,19658.0
VRSK,2018-05-10 15:00:00+00:00,105.6,106.05,105.6,105.98,20444.0
VRSK,2018-05-10 16:00:00+00:00,105.99,106.54,105.92,106.51,26819.0
VRSK,2018-05-10 17:00:00+00:00,106.53,106.62,106.0,106.07,18612.0
VRSK,2018-05-10 18:00:00+00:00,106.08,106.19,105.72,106.03,27172.0
VRSK,2018-05-10 19:00:00+00:00,106.05,106.1,105.8,105.9,63088.0
VRSK,2018-05-10 20:00:00+00:00,105.9,105.9,105.9,105.9,45234.0
VRSK,2018-05-11 13:00:00+00:00,105.96,106.56,105.63,106.18,33390.0
VRSK,2018-05-11 14:00:00+00:00,106.205,106.28,105.93,105.97,36382.0
VRSK,2018-05-11 15:00:00+00:00,105.98,106.0,105.72,105.77,27282.0
VRSK,2018-05-11 16:00:00+00:00,105.77,105.77,105.39,105.48,24997.0
VRSK,2018-05-11 17:00:00+00:00,105.49,105.61,105.38,105.58,28528.0
VRSK,2018-05-11 18:00:00+00:00,105.59,105.74,105.32,105.74,34283.0
VRSK,2018-05-11 19:00:00+00:00,105.7,105.94,105.69,105.88,59765.0
VRSK,2018-05-11 20:00:00+00:00,105.88,105.88,105.88,105.88,59938.0
VRSK,2018-05-14 13:00:00+00:00,105.99,105.99,105.44,105.62,19098.0
VRSK,2018-05-14 14:00:00+00:00,105.61,106.18,105.54,105.73,16496.0
VRSK,2018-05-14 15:00:00+00:00,105.72,105.82,105.41,105.41,17331.0
VRSK,2018-05-14 16:00:00+00:00,105.48,105.6,105.17,105.23,13140.0
VRSK,2018-05-14 17:00:00+00:00,105.22,105.34,105.06,105.24,19609.0
VRSK,2018-05-14 18:00:00+00:00,105.24,105.35,104.92,105.35,23798.0
VRSK,2018-05-14 19:00:00+00:00,105.35,105.6,105.1,105.28,52446.0
VRSK,2018-05-14 20:00:00+00:00,105.25,105.31,105.23,105.31,89399.0
VRSK,2018-05-15 13:00:00+00:00,104.59,105.1,104.53,104.71,24148.0
VRSK,2018-05-15 14:00:00+00:00,104.715,105.11,104.61,104.78,28646.0
VRSK,2018-05-15 15:00:00+00:00,104.78,105.05,104.56,104.87,26600.0
VRSK,2018-05-15 16:00:00+00:00,104.87,105.15,104.79,105.02,22694.0
VRSK,2018-05-15 17:00:00+00:00,105.02,105.05,104.8,104.85,24410.0
VRSK,2018-05-15 18:00:00+00:00,104.86,105.17,104.73,104.95,42112.0
VRSK,2018-05-15 19:00:00+00:00,105.0,105.1,104.62,105.04,66326.0
VRSK,2018-05-15 20:00:00+00:00,105.04,105.04,105.04,105.04,62127.0
VRSK,2018-05-16 13:00:00+00:00,105.06,105.4,104.64,105.18,22127.0
VRSK,2018-05-16 14:00:00+00:00,105.13,105.13,104.71,104.77,24072.0
VRSK,2018-05-16 15:00:00+00:00,104.77,104.9,104.45,104.89,29708.0
VRSK,2018-05-16 16:00:00+00:00,104.89,105.22,104.85,105.14,19246.0
VRSK,2018-05-16 17:00:00+00:00,105.23,105.23,104.92,104.98,21226.0
VRSK,2018-05-16 18:00:00+00:00,104.96,105.01,104.85,104.86,30646.0
VRSK,2018-05-16 19:00:00+00:00,104.87,104.91,104.5,104.68,62566.0
VRSK,2018-05-16 20:00:00+00:00,104.68,104.68,104.68,104.68,55360.0
VRSK,2018-05-17 13:00:00+00:00,104.49,104.82,104.13,104.78,21010.0
VRSK,2018-05-17 14:00:00+00:00,104.73,105.61,104.67,105.53,19837.0
VRSK,2018-05-17 15:00:00+00:00,105.51,105.75,105.35,105.68,22051.0
VRSK,2018-05-17 16:00:00+00:00,105.68,105.71,105.19,105.35,17309.0
VRSK,2018-05-17 17:00:00+00:00,105.37,105.41,104.83,104.83,17127.0
VRSK,2018-05-17 18:00:00+00:00,104.86,104.88,104.57,104.77,42050.0
VRSK,2018-05-17 19:00:00+00:00,104.79,104.91,104.48,104.56,89820.0
VRSK,2018-05-17 20:00:00+00:00,104.58,104.58,104.58,104.58,46841.0
VRSK,2018-05-18 13:00:00+00:00,104.9,105.13,104.5,105.11,52452.0
VRSK,2018-05-18 14:00:00+00:00,105.15,105.605,105.12,105.575,25487.0
