symbol,ts,open,high,low,close,volume
VRSN,2018-05-01 13:00:00+00:00,117.13,117.78,116.3,117.7,17699.0
VRSN,2018-05-01 14:00:00+00:00,117.69,117.89,117.27,117.27,25382.0
VRSN,2018-05-01 15:00:00+00:00,117.18,117.555,116.94,117.2,19802.0
VRSN,2018-05-01 16:00:00+00:00,117.27,117.41,117.1,117.35,18843.0
VRSN,2018-05-01 17:00:00+00:00,117.32,117.86,117.09,117.86,18891.0
VRSN,2018-05-01 18:00:00+00:00,117.85,118.04,117.3,117.48,38987.0
VRSN,2018-05-01 19:00:00+00:00,117.51,117.97,116.91,117.93,112000.0
VRSN,2018-05-01 20:00:00+00:00,117.94,117.95,117.94,117.94,44314.0
VRSN,2018-05-02 13:00:00+00:00,118.04,118.07,117.28,117.74,25353.0
VRSN,2018-05-02 14:00:00+00:00,117.7,118.0,117.57,117.94,36952.0
VRSN,2018-05-02 15:00:00+00:00,117.88,118.23,117.76,117.96,30213.0
VRSN,2018-05-02 16:00:00+00:00,117.92,118.25,117.81,118.22,14547.0
VRSN,2018-05-02 17:00:00+00:00,118.24,118.44,118.21,118.33,19504.0
VRSN,2018-05-02 18:00:00+00:00,118.33,118.95,118.33,118.56,31154.0
VRSN,2018-05-02 19:00:00+00:00,118.53,118.71,117.68,118.04,87540.0
VRSN,2018-05-02 20:00:00+00:00,118.05,118.05,118.03,118.03,130004.0
VRSN,2018-05-03 13:00:00+00:00,117.89,118.4,117.62,118.38,10666.0
VRSN,2018-05-03 14:00:00+00:00,118.29,118.46,117.55,117.84,37685.0
VRSN,2018-05-03 15:00:00+00:00,117.85,118.73,117.73,118.705,42491.0
VRSN,2018-05-03 16:00:00+00:00,118.7,119.34,118.47,119.29,50619.0
VRSN,2018-05-03 17:00:00+00:00,119.24,119.65,118.9,119.49,37348.0
VRSN,2018-05-03 18:00:00+00:00,119.47,119.8,119.05,119.52,34222.0
VRSN,2018-05-03 19:00:00+00:00,119.55,120.18,119.51,120.0,156116.0
VRSN,2018-05-03 20:00:00+00:00,120.0,120.02,120.0,120.02,85254.0
VRSN,2018-05-04 13:00:00+00:00,119.57,120.15,119.08,120.05,21026.0
VRSN,2018-05-04 14:00:00+00:00,120.0,121.16,119.81,120.88,58484.0
VRSN,2018-05-04 15:00:00+00:00,120.9,121.16,120.71,120.97,37893.0
VRSN,2018-05-04 16:00:00+00:00,120.96,121.19,120.72,120.94,19186.0
VRSN,2018-05-04 17:00:00+00:00,120.96,121.76,120.96,121.76,31290.0
VRSN,2018-05-04 18:00:00+00:00,121.71,122.095,121.6,122.0,31048.0
VRSN,2018-05-04 19:00:00+00:00,121.98,122.59,121.98,122.31,133051.0
VRSN,2018-05-04 20:00:00+00:00,122.31,122.31,122.3,122.3,93307.0
VRSN,2018-05-07 13:00:00+00:00,122.54,122.94,121.82,122.01,23181.0
