symbol,ts,open,high,low,close,volume
VTRS,2020-11-17 11:00:00+00:00,15.31,15.48,15.31,15.48,1661.0
VTRS,2020-11-17 12:00:00+00:00,15.5,16.0,15.41,15.46,4872.0
VTRS,2020-11-17 13:00:00+00:00,15.5,15.66,15.45,15.55,30624.0
VTRS,2020-11-17 14:00:00+00:00,15.51,17.38,15.3,16.9,1023302.0
VTRS,2020-11-17 15:00:00+00:00,16.9,17.9,16.66,17.15,1360171.0
VTRS,2020-11-17 16:00:00+00:00,17.16,17.185,16.51,16.61,706846.0
VTRS,2020-11-17 17:00:00+00:00,16.63,16.99,16.3,16.74,606780.0
VTRS,2020-11-17 18:00:00+00:00,16.73,16.79,16.51,16.7,442255.0
VTRS,2020-11-17 19:00:00+00:00,16.7,16.74,16.2,16.59,595729.0
VTRS,2020-11-17 20:00:00+00:00,16.59,16.72,16.2,16.47,2166234.0
VTRS,2020-11-17 21:00:00+00:00,16.34,16.47,16.3,16.4,11375002.0
VTRS,2020-11-17 22:00:00+00:00,16.37,16.4,16.31,16.35,1083.0
VTRS,2020-11-17 23:00:00+00:00,16.42,16.42,16.41,16.41,2632.0
VTRS,2020-11-18 10:00:00+00:00,16.59,16.66,16.5,16.59,1300.0
VTRS,2020-11-18 11:00:00+00:00,16.59,16.68,16.5,16.68,777.0
VTRS,2020-11-18 12:00:00+00:00,16.6,16.7,16.5,16.55,5922.0
VTRS,2020-11-18 13:00:00+00:00,16.58,16.58,16.38,16.47,6921.0
VTRS,2020-11-18 14:00:00+00:00,16.44,16.99,16.39,16.85,860909.0
VTRS,2020-11-18 15:00:00+00:00,16.85,16.85,16.23,16.37,581538.0
VTRS,2020-11-18 16:00:00+00:00,16.37,16.375,15.95,16.11,465628.0
VTRS,2020-11-18 17:00:00+00:00,16.11,16.38,15.98,16.0,391928.0
VTRS,2020-11-18 18:00:00+00:00,15.99,16.16,15.96,15.995,343621.0
VTRS,2020-11-18 19:00:00+00:00,16.0,16.28,16.0,16.2,334509.0
VTRS,2020-11-18 20:00:00+00:00,16.195,16.24,16.08,16.2,1224277.0
VTRS,2020-11-18 21:00:00+00:00,16.19,16.19,16.05,16.05,1322515.0
VTRS,2020-11-18 22:00:00+00:00,16.1,16.14,16.05,16.14,515.0
VTRS,2020-11-18 23:00:00+00:00,16.11,16.11,16.11,16.11,13.0
VTRS,2020-11-19 09:00:00+00:00,16.09,16.09,16.09,16.09,2.0
VTRS,2020-11-19 10:00:00+00:00,16.09,16.09,16.09,16.09,38.0
VTRS,2020-11-19 11:00:00+00:00,16.09,16.09,16.0,16.09,1227.0
VTRS,2020-11-19 12:00:00+00:00,16.08,16.12,16.05,16.12,285.0
VTRS,2020-11-19 13:00:00+00:00,16.11,16.19,16.1,16.18,3075.0
VTRS,2020-11-19 14:00:00+00:00,16.23,16.55,15.99,16.54,641965.0
VTRS,2020-11-19 15:00:00+00:00,16.5,16.69,16.41,16.65,382868.0
VTRS,2020-11-19 16:00:00+00:00,16.64,16.76,16.4,16.76,428519.0
VTRS,2020-11-19 17:00:00+00:00,16.77,17.9,16.72,17.39,705448.0
VTRS,2020-11-19 18:00:00+00:00,17.39,17.77,17.38,17.68,415845.0
VTRS,2020-11-19 19:00:00+00:00,17.66,17.66,17.38,17.525,283065.0
VTRS,2020-11-19 20:00:00+00:00,17.525,18.2,17.525,18.15,2424614.0
VTRS,2020-11-19 21:00:00+00:00,18.11,18.25,18.04,18.14,5892482.0
VTRS,2020-11-19 22:00:00+00:00,18.14,18.34,18.12,18.34,1139.0
VTRS,2020-11-19 23:00:00+00:00,18.32,18.32,18.11,18.11,1581.0
VTRS,2020-11-20 10:00:00+00:00,18.21,18.81,18.21,18.81,2691.0
VTRS,2020-11-20 11:00:00+00:00,18.85,18.87,18.65,18.8,6465.0
VTRS,2020-11-20 12:00:00+00:00,18.8,18.88,18.62,18.69,21263.0
VTRS,2020-11-20 13:00:00+00:00,18.71,18.71,18.55,18.57,20645.0
VTRS,2020-11-20 14:00:00+00:00,18.57,18.59,17.5,17.535,1505825.0
VTRS,2020-11-20 15:00:00+00:00,17.54,17.69,17.41,17.415,758224.0
VTRS,2020-11-20 16:00:00+00:00,17.41,17.5,17.28,17.38,635006.0
VTRS,2020-11-20 17:00:00+00:00,17.38,17.45,17.2,17.26,342141.0
VTRS,2020-11-20 18:00:00+00:00,17.265,17.6,17.18,17.475,515233.0
VTRS,2020-11-20 19:00:00+00:00,17.475,17.48,17.22,17.36,404357.0
VTRS,2020-11-20 20:00:00+00:00,17.36,17.365,17.01,17.14,1822843.0
VTRS,2020-11-20 21:00:00+00:00,17.14,17.16,17.05,17.13,3168504.0
VTRS,2020-11-20 22:00:00+00:00,17.16,17.16,17.15,17.15,5294.0
VTRS,2020-11-20 23:00:00+00:00,17.16,17.33,17.16,17.33,1032.0
VTRS,2020-11-23 09:00:00+00:00,17.15,17.15,17.1,17.1,163.0
VTRS,2020-11-23 10:00:00+00:00,17.71,17.8,17.71,17.8,2035.0
VTRS,2020-11-23 11:00:00+00:00,17.81,17.92,17.6,17.63,2606.0
