symbol,ts,open,high,low,close,volume
WDC,2018-05-01 12:00:00+00:00,78.0,78.25,77.77,77.77,66.0
WDC,2018-05-01 13:00:00+00:00,77.5,80.39,77.21,79.93,277028.0
WDC,2018-05-01 14:00:00+00:00,79.9,79.98,78.61,79.11,264343.0
WDC,2018-05-01 15:00:00+00:00,79.07,79.13,78.55,78.57,174403.0
WDC,2018-05-01 16:00:00+00:00,78.58,78.98,78.46,78.83,131304.0
WDC,2018-05-01 17:00:00+00:00,78.83,79.4,78.68,79.37,128674.0
WDC,2018-05-01 18:00:00+00:00,79.37,79.47,78.97,79.1,158417.0
WDC,2018-05-01 19:00:00+00:00,79.11,79.85,79.06,79.78,320183.0
WDC,2018-05-01 20:00:00+00:00,79.79,80.37,79.7,80.37,137076.0
WDC,2018-05-01 21:00:00+00:00,80.2,80.2,79.0,79.01,1724.0
WDC,2018-05-01 22:00:00+00:00,79.11,79.11,79.1,79.1,410.0
WDC,2018-05-01 23:00:00+00:00,80.0,80.0,80.0,80.0,50.0
WDC,2018-05-02 10:00:00+00:00,79.16,79.16,79.16,79.16,150.0
WDC,2018-05-02 11:00:00+00:00,79.02,79.02,78.95,78.95,1734.0
WDC,2018-05-02 13:00:00+00:00,79.39,79.77,78.25,78.73,233210.0
WDC,2018-05-02 14:00:00+00:00,78.77,78.88,77.84,77.92,246563.0
WDC,2018-05-02 15:00:00+00:00,77.93,78.14,76.88,77.08,257353.0
WDC,2018-05-02 16:00:00+00:00,77.1,77.66,76.97,77.34,116264.0
WDC,2018-05-02 17:00:00+00:00,77.34,77.82,77.29,77.54,104610.0
WDC,2018-05-02 18:00:00+00:00,77.52,77.78,77.24,77.29,181259.0
WDC,2018-05-02 19:00:00+00:00,77.29,77.51,76.69,76.76,419549.0
WDC,2018-05-02 20:00:00+00:00,76.77,76.78,76.6,76.7,209435.0
WDC,2018-05-02 21:00:00+00:00,76.6,76.6,76.6,76.6,118.0
WDC,2018-05-02 23:00:00+00:00,76.68,76.68,76.68,76.68,100.0
WDC,2018-05-03 12:00:00+00:00,76.3,76.3,76.3,76.3,801.0
WDC,2018-05-03 13:00:00+00:00,76.33,77.48,76.26,76.67,184326.0
WDC,2018-05-03 14:00:00+00:00,76.67,77.11,75.97,76.08,189295.0
WDC,2018-05-03 15:00:00+00:00,76.08,76.64,75.99,76.46,165758.0
WDC,2018-05-03 16:00:00+00:00,76.47,76.7,76.16,76.62,120462.0
WDC,2018-05-03 17:00:00+00:00,76.6,76.63,76.17,76.39,107739.0
WDC,2018-05-03 18:00:00+00:00,76.39,76.89,76.3,76.5,156051.0
WDC,2018-05-03 19:00:00+00:00,76.5,77.23,76.45,76.96,240473.0
WDC,2018-05-03 20:00:00+00:00,76.98,77.3,76.96,77.3,141065.0
WDC,2018-05-04 12:00:00+00:00,77.5,77.5,77.5,77.5,13.0
WDC,2018-05-04 13:00:00+00:00,76.99,77.3,76.24,76.32,131886.0
WDC,2018-05-04 14:00:00+00:00,76.31,77.28,76.07,76.97,139907.0
WDC,2018-05-04 15:00:00+00:00,76.97,77.52,76.97,77.19,204235.0
WDC,2018-05-04 16:00:00+00:00,77.21,77.3,76.76,76.87,113246.0
WDC,2018-05-04 17:00:00+00:00,76.86,76.9,76.47,76.78,130850.0
WDC,2018-05-04 18:00:00+00:00,76.78,77.17,76.63,77.01,189978.0
WDC,2018-05-04 19:00:00+00:00,77.01,77.76,77.0,77.29,365262.0
WDC,2018-05-04 20:00:00+00:00,77.28,77.37,77.28,77.37,294045.0
WDC,2018-05-07 13:00:00+00:00,77.72,78.25,77.66,77.94,146210.0
WDC,2018-05-07 14:00:00+00:00,77.93,78.19,77.44,78.065,189115.0
WDC,2018-05-07 15:00:00+00:00,78.09,78.91,78.06,78.78,188433.0
WDC,2018-05-07 16:00:00+00:00,78.78,79.0,78.62,78.81,126869.0
WDC,2018-05-07 17:00:00+00:00,78.79,79.16,78.67,78.96,126252.0
WDC,2018-05-07 18:00:00+00:00,78.94,79.06,78.63,78.92,139548.0
WDC,2018-05-07 19:00:00+00:00,78.92,78.93,78.41,78.52,322134.0
WDC,2018-05-07 20:00:00+00:00,78.52,78.57,78.52,78.57,328100.0
WDC,2018-05-07 21:00:00+00:00,78.58,78.58,78.58,78.58,60.0
WDC,2018-05-08 12:00:00+00:00,78.4,78.4,78.4,78.4,148.0
WDC,2018-05-08 13:00:00+00:00,78.53,78.78,78.05,78.39,100053.0
WDC,2018-05-08 14:00:00+00:00,78.39,78.59,77.94,78.11,124987.0
WDC,2018-05-08 15:00:00+00:00,78.13,78.43,77.82,77.88,102488.0
WDC,2018-05-08 16:00:00+00:00,77.89,77.97,77.55,77.64,106929.0
WDC,2018-05-08 17:00:00+00:00,77.62,77.7,77.23,77.23,99617.0
WDC,2018-05-08 18:00:00+00:00,77.25,77.63,77.04,77.27,131952.0
WDC,2018-05-08 19:00:00+00:00,77.29,77.76,77.19,77.73,241663.0
WDC,2018-05-08 20:00:00+00:00,77.73,77.73,77.73,77.73,200000.0
WDC,2018-05-08 23:00:00+00:00,77.75,77.75,77.75,77.75,100.0
WDC,2018-05-09 12:00:00+00:00,77.77,78.1,77.77,78.1,232.0
WDC,2018-05-09 13:00:00+00:00,78.21,78.21,77.42,78.01,122659.0
WDC,2018-05-09 14:00:00+00:00,78.0,78.1,77.21,77.24,134948.0
WDC,2018-05-09 15:00:00+00:00,77.25,77.53,77.14,77.31,151315.0
WDC,2018-05-09 16:00:00+00:00,77.34,78.29,77.32,78.26,141741.0
WDC,2018-05-09 17:00:00+00:00,78.25,78.7,78.21,78.285,127956.0
WDC,2018-05-09 18:00:00+00:00,78.27,78.62,78.15,78.49,112319.0
WDC,2018-05-09 19:00:00+00:00,78.5,78.59,78.28,78.45,257555.0
WDC,2018-05-09 20:00:00+00:00,78.45,78.59,77.5,77.5,216340.0
WDC,2018-05-09 21:00:00+00:00,78.02,78.6,78.02,78.6,203.0
WDC,2018-05-10 13:00:00+00:00,79.0,79.24,78.1,78.56,181201.0
WDC,2018-05-10 14:00:00+00:00,78.54,78.59,78.21,78.26,126092.0
