symbol,ts,open,high,low,close,volume
WM,2018-05-01 13:00:00+00:00,81.43,81.64,81.24,81.45,24567.0
WM,2018-05-01 14:00:00+00:00,81.42,81.44,80.88,80.89,31040.0
WM,2018-05-01 15:00:00+00:00,80.87,81.24,80.76,81.04,38072.0
WM,2018-05-01 16:00:00+00:00,81.01,81.09,80.86,80.89,29966.0
WM,2018-05-01 17:00:00+00:00,80.89,81.2,80.67,81.2,35971.0
WM,2018-05-01 18:00:00+00:00,81.19,81.57,81.19,81.43,55007.0
WM,2018-05-01 19:00:00+00:00,81.45,81.47,81.09,81.25,101629.0
WM,2018-05-02 13:00:00+00:00,81.42,81.45,80.96,80.96,11927.0
WM,2018-05-02 14:00:00+00:00,80.93,81.17,80.78,81.13,29275.0
WM,2018-05-02 15:00:00+00:00,81.17,81.34,80.97,81.03,35148.0
WM,2018-05-02 16:00:00+00:00,81.03,81.08,80.94,80.99,29445.0
WM,2018-05-02 17:00:00+00:00,80.98,81.09,80.94,81.06,30395.0
WM,2018-05-02 18:00:00+00:00,81.05,81.39,81.05,81.13,49524.0
WM,2018-05-02 19:00:00+00:00,81.13,81.24,80.73,80.85,127496.0
WM,2018-05-03 12:00:00+00:00,80.65,80.65,80.65,80.65,38.0
WM,2018-05-03 13:00:00+00:00,80.65,82.25,80.65,82.25,43411.0
WM,2018-05-03 14:00:00+00:00,82.2,82.2,81.22,81.78,70441.0
WM,2018-05-03 15:00:00+00:00,81.76,82.605,81.76,82.47,51078.0
WM,2018-05-03 16:00:00+00:00,82.46,82.89,82.41,82.89,40515.0
WM,2018-05-03 17:00:00+00:00,82.89,83.08,82.66,82.91,42705.0
WM,2018-05-03 18:00:00+00:00,82.89,83.07,82.58,82.8,33219.0
WM,2018-05-03 19:00:00+00:00,82.83,82.99,82.66,82.92,91998.0
WM,2018-05-03 20:00:00+00:00,82.92,82.92,82.92,82.92,25.0
WM,2018-05-04 13:00:00+00:00,82.62,83.06,82.53,83.05,18932.0
WM,2018-05-04 14:00:00+00:00,83.05,83.61,82.96,83.51,43004.0
WM,2018-05-04 15:00:00+00:00,83.52,83.59,83.33,83.45,29322.0
WM,2018-05-04 16:00:00+00:00,83.44,83.7,83.43,83.68,23657.0
WM,2018-05-04 17:00:00+00:00,83.68,83.98,83.68,83.965,24042.0
WM,2018-05-04 18:00:00+00:00,83.96,84.23,83.95,84.09,28957.0
WM,2018-05-04 19:00:00+00:00,84.1,84.21,83.94,84.05,68925.0
WM,2018-05-07 13:00:00+00:00,83.79,83.97,83.23,83.71,35776.0
WM,2018-05-07 14:00:00+00:00,83.72,83.77,83.28,83.32,68752.0
WM,2018-05-07 15:00:00+00:00,83.31,83.34,83.11,83.17,53552.0
WM,2018-05-07 16:00:00+00:00,83.17,83.44,83.17,83.35,32602.0
WM,2018-05-07 17:00:00+00:00,83.38,83.46,83.32,83.4,25042.0
WM,2018-05-07 18:00:00+00:00,83.39,83.49,83.17,83.2,42045.0
WM,2018-05-07 19:00:00+00:00,83.19,83.27,83.04,83.21,104646.0
WM,2018-05-08 13:00:00+00:00,83.0,83.47,82.95,83.1,8930.0
WM,2018-05-08 14:00:00+00:00,83.14,83.41,83.09,83.09,25624.0
WM,2018-05-08 15:00:00+00:00,83.05,83.35,83.01,83.16,21472.0
WM,2018-05-08 16:00:00+00:00,83.21,83.22,82.87,82.93,11183.0
WM,2018-05-08 17:00:00+00:00,82.94,83.08,82.91,82.91,15349.0
WM,2018-05-08 18:00:00+00:00,82.95,83.11,82.76,82.91,31028.0
WM,2018-05-08 19:00:00+00:00,82.9,83.08,82.78,83.08,50211.0
WM,2018-05-09 13:00:00+00:00,83.15,83.21,82.87,83.07,6890.0
WM,2018-05-09 14:00:00+00:00,83.05,83.07,82.7,82.72,33720.0
WM,2018-05-09 15:00:00+00:00,82.73,82.88,82.7,82.72,19443.0
WM,2018-05-09 16:00:00+00:00,82.73,83.08,82.71,83.02,16972.0
WM,2018-05-09 17:00:00+00:00,83.03,83.2,82.96,83.17,15807.0
WM,2018-05-09 18:00:00+00:00,83.17,83.23,83.1,83.16,18003.0
WM,2018-05-09 19:00:00+00:00,83.15,83.18,82.96,82.99,46511.0
WM,2018-05-10 13:00:00+00:00,83.44,83.53,83.29,83.46,6000.0
WM,2018-05-10 14:00:00+00:00,83.43,83.56,83.24,83.26,14496.0
WM,2018-05-10 15:00:00+00:00,83.26,83.54,83.26,83.52,10309.0
WM,2018-05-10 16:00:00+00:00,83.51,83.56,83.3,83.32,13842.0
WM,2018-05-10 17:00:00+00:00,83.36,83.42,83.17,83.21,13334.0
WM,2018-05-10 18:00:00+00:00,83.24,83.4,83.14,83.4,25284.0
WM,2018-05-10 19:00:00+00:00,83.43,83.47,83.2,83.34,32085.0
WM,2018-05-11 13:00:00+00:00,83.58,83.66,83.41,83.5,6069.0
WM,2018-05-11 14:00:00+00:00,83.48,83.48,83.26,83.36,34215.0
WM,2018-05-11 15:00:00+00:00,83.37,83.37,83.04,83.05,21409.0
