symbol,ts,open,high,low,close,volume
WMT,2018-05-01 13:00:00+00:00,88.24,88.24,87.03,87.17,73427.0
WMT,2018-05-01 14:00:00+00:00,87.16,87.16,86.73,86.78,122715.0
WMT,2018-05-01 15:00:00+00:00,86.79,87.02,86.63,86.63,95257.0
WMT,2018-05-01 16:00:00+00:00,86.63,86.88,86.6,86.61,74361.0
WMT,2018-05-01 17:00:00+00:00,86.6,86.97,86.35,86.97,74112.0
WMT,2018-05-01 18:00:00+00:00,86.97,87.29,86.95,87.19,104862.0
WMT,2018-05-01 19:00:00+00:00,87.19,87.43,87.03,87.39,181438.0
WMT,2018-05-01 20:00:00+00:00,87.38,87.53,87.38,87.53,239.0
WMT,2018-05-01 21:00:00+00:00,87.53,87.54,87.53,87.54,100.0
WMT,2018-05-02 10:00:00+00:00,87.45,87.45,87.45,87.45,300.0
WMT,2018-05-02 12:00:00+00:00,87.31,87.31,87.31,87.31,5.0
WMT,2018-05-02 13:00:00+00:00,87.37,87.37,86.5,86.855,91692.0
WMT,2018-05-02 14:00:00+00:00,86.84,87.25,86.76,87.04,73863.0
WMT,2018-05-02 15:00:00+00:00,87.02,87.04,86.57,86.76,60033.0
WMT,2018-05-02 16:00:00+00:00,86.75,86.87,86.53,86.53,67744.0
WMT,2018-05-02 17:00:00+00:00,86.53,86.86,86.52,86.72,76009.0
WMT,2018-05-02 18:00:00+00:00,86.71,87.07,86.64,86.69,102716.0
WMT,2018-05-02 19:00:00+00:00,86.69,86.8,86.16,86.34,232475.0
WMT,2018-05-02 20:00:00+00:00,86.37,86.4,86.25,86.25,3533.0
WMT,2018-05-03 11:00:00+00:00,86.36,86.36,86.36,86.36,100.0
WMT,2018-05-03 13:00:00+00:00,86.12,86.2,85.6,85.7,59011.0
WMT,2018-05-03 14:00:00+00:00,85.7,85.78,85.12,85.27,90603.0
WMT,2018-05-03 15:00:00+00:00,85.29,85.57,85.18,85.39,75397.0
WMT,2018-05-03 16:00:00+00:00,85.41,86.2,85.3,86.2,99903.0
WMT,2018-05-03 17:00:00+00:00,86.18,86.28,85.8,86.08,75059.0
WMT,2018-05-03 18:00:00+00:00,86.08,86.22,85.87,85.99,97389.0
WMT,2018-05-03 19:00:00+00:00,85.99,86.265,85.98,86.23,156171.0
WMT,2018-05-03 20:00:00+00:00,86.25,86.3,86.25,86.3,165.0
WMT,2018-05-03 21:00:00+00:00,86.3,86.3,86.3,86.3,15.0
WMT,2018-05-03 23:00:00+00:00,86.23,86.23,86.23,86.23,56.0
WMT,2018-05-04 13:00:00+00:00,86.24,86.24,85.39,85.71,47720.0
WMT,2018-05-04 14:00:00+00:00,85.67,86.87,85.65,86.47,107292.0
WMT,2018-05-04 15:00:00+00:00,86.49,87.21,86.43,87.01,124842.0
WMT,2018-05-04 16:00:00+00:00,87.005,87.28,86.87,87.275,119647.0
WMT,2018-05-04 17:00:00+00:00,87.275,87.825,87.15,87.81,174826.0
WMT,2018-05-04 18:00:00+00:00,87.82,88.1,87.705,87.835,155644.0
WMT,2018-05-04 19:00:00+00:00,87.84,87.89,87.37,87.54,159205.0
WMT,2018-05-07 13:00:00+00:00,87.8,87.81,87.05,87.07,86143.0
WMT,2018-05-07 14:00:00+00:00,87.08,87.17,86.05,86.29,123013.0
WMT,2018-05-07 15:00:00+00:00,86.29,86.3,85.46,85.57,169411.0
