symbol,ts,open,high,low,close,volume
WST,2018-05-01 13:00:00+00:00,87.87,88.08,87.78,87.86,5499.0
WST,2018-05-01 14:00:00+00:00,87.78,87.945,87.52,87.61,9426.0
WST,2018-05-01 15:00:00+00:00,87.57,87.68,87.1,87.49,10748.0
WST,2018-05-01 16:00:00+00:00,87.54,87.76,87.33,87.37,11382.0
WST,2018-05-01 17:00:00+00:00,87.36,87.91,87.27,87.91,9919.0
WST,2018-05-01 18:00:00+00:00,87.91,88.11,87.71,87.99,10817.0
WST,2018-05-01 19:00:00+00:00,88.0,88.12,87.72,87.77,16189.0
WST,2018-05-02 13:00:00+00:00,87.62,87.65,87.17,87.52,3622.0
WST,2018-05-02 14:00:00+00:00,87.43,87.57,86.97,87.11,7474.0
WST,2018-05-02 15:00:00+00:00,87.16,87.37,86.5,86.5,4681.0
WST,2018-05-02 16:00:00+00:00,86.5,86.88,86.23,86.86,6780.0
WST,2018-05-02 17:00:00+00:00,86.94,87.02,86.38,86.44,6182.0
WST,2018-05-02 18:00:00+00:00,86.43,86.82,86.22,86.39,13038.0
WST,2018-05-02 19:00:00+00:00,86.37,86.48,85.52,85.6,24642.0
WST,2018-05-03 13:00:00+00:00,85.42,85.86,85.26,85.79,3972.0
WST,2018-05-03 14:00:00+00:00,85.75,85.79,84.96,85.04,8804.0
WST,2018-05-03 15:00:00+00:00,85.05,85.43,84.97,85.43,5763.0
WST,2018-05-03 16:00:00+00:00,85.39,85.82,85.19,85.82,5120.0
WST,2018-05-03 17:00:00+00:00,85.84,86.1,85.53,85.8,5718.0
WST,2018-05-03 18:00:00+00:00,85.84,85.93,85.46,85.83,7660.0
WST,2018-05-03 19:00:00+00:00,85.87,86.22,85.78,86.13,14516.0
WST,2018-05-04 13:00:00+00:00,86.33,86.83,86.24,86.49,1780.0
WST,2018-05-04 14:00:00+00:00,86.43,87.15,86.43,87.1,3899.0
WST,2018-05-04 15:00:00+00:00,87.1,87.71,87.04,87.71,6196.0
WST,2018-05-04 16:00:00+00:00,87.75,87.96,87.52,87.89,7653.0
WST,2018-05-04 17:00:00+00:00,87.95,88.15,87.945,88.05,6313.0
WST,2018-05-04 18:00:00+00:00,88.07,88.59,88.03,88.17,6142.0
WST,2018-05-04 19:00:00+00:00,88.16,88.22,87.79,87.98,15417.0
WST,2018-05-07 13:00:00+00:00,88.0,88.44,87.99,88.26,1991.0
WST,2018-05-07 14:00:00+00:00,88.13,88.33,87.8,87.99,3098.0
WST,2018-05-07 15:00:00+00:00,88.03,88.06,87.93,87.98,1699.0
WST,2018-05-07 16:00:00+00:00,87.99,88.06,87.67,87.76,2849.0
WST,2018-05-07 17:00:00+00:00,87.8,87.92,87.58,87.58,3686.0
WST,2018-05-07 18:00:00+00:00,87.66,87.91,87.36,87.8,6861.0
WST,2018-05-07 19:00:00+00:00,87.8,87.91,87.49,87.67,9930.0
WST,2018-05-08 13:00:00+00:00,87.58,87.58,87.27,87.27,535.0
WST,2018-05-08 14:00:00+00:00,87.43,88.08,87.39,87.92,2165.0
WST,2018-05-08 15:00:00+00:00,87.9,88.32,87.81,87.87,2915.0
WST,2018-05-08 16:00:00+00:00,87.77,87.9,87.63,87.81,4558.0
WST,2018-05-08 17:00:00+00:00,87.89,87.96,87.77,87.77,2682.0
WST,2018-05-08 18:00:00+00:00,87.85,87.87,87.55,87.76,3763.0
WST,2018-05-08 19:00:00+00:00,87.61,87.85,87.5,87.59,10110.0
WST,2018-05-09 13:00:00+00:00,87.64,87.76,87.4,87.4,1388.0
WST,2018-05-09 14:00:00+00:00,87.43,87.61,86.97,87.05,2598.0
WST,2018-05-09 15:00:00+00:00,87.06,87.25,86.92,87.22,3251.0
WST,2018-05-09 16:00:00+00:00,87.21,87.57,87.14,87.57,2831.0
WST,2018-05-09 17:00:00+00:00,87.64,87.94,87.63,87.85,2185.0
WST,2018-05-09 18:00:00+00:00,87.85,88.16,87.77,88.06,2498.0
WST,2018-05-09 19:00:00+00:00,88.04,88.09,87.8,87.9,8864.0
WST,2018-05-10 13:00:00+00:00,88.12,88.57,88.07,88.57,1429.0
WST,2018-05-10 14:00:00+00:00,88.665,88.93,88.1,88.86,6178.0
WST,2018-05-10 15:00:00+00:00,88.82,89.47,88.81,89.29,7336.0
WST,2018-05-10 16:00:00+00:00,89.32,89.58,88.99,89.4,7987.0
WST,2018-05-10 17:00:00+00:00,89.46,89.56,89.18,89.18,3610.0
WST,2018-05-10 18:00:00+00:00,89.2,89.55,89.2,89.34,4552.0
WST,2018-05-10 19:00:00+00:00,89.39,89.44,89.08,89.18,10824.0
WST,2018-05-11 13:00:00+00:00,89.39,89.56,89.38,89.56,1610.0
WST,2018-05-11 14:00:00+00:00,89.45,89.91,89.44,89.91,7639.0
WST,2018-05-11 15:00:00+00:00,89.85,89.93,89.59,89.69,3261.0
WST,2018-05-11 16:00:00+00:00,89.7,89.76,89.38,89.56,3391.0
WST,2018-05-11 17:00:00+00:00,89.53,89.66,89.41,89.41,3365.0
WST,2018-05-11 18:00:00+00:00,89.42,89.88,89.2,89.88,6730.0
WST,2018-05-11 19:00:00+00:00,89.91,90.13,89.82,90.09,14399.0
WST,2018-05-14 13:00:00+00:00,89.23,90.43,89.21,90.28,1600.0
WST,2018-05-14 14:00:00+00:00,90.21,90.99,90.09,90.88,6903.0
