symbol,ts,open,high,low,close,volume
WTW,2018-05-01 13:00:00+00:00,70.14,72.33,70.14,71.84,21896.0
WTW,2018-05-01 14:00:00+00:00,71.77,72.15,71.5,71.81,21796.0
WTW,2018-05-01 15:00:00+00:00,71.91,72.05,71.59,71.64,7200.0
WTW,2018-05-01 16:00:00+00:00,71.72,71.92,71.57,71.76,18459.0
WTW,2018-05-01 17:00:00+00:00,71.76,71.96,71.63,71.71,11674.0
WTW,2018-05-01 18:00:00+00:00,71.68,72.56,71.67,72.45,15208.0
WTW,2018-05-01 19:00:00+00:00,72.47,73.23,72.19,72.88,41170.0
WTW,2018-05-01 20:00:00+00:00,73.93,73.93,73.93,73.93,40.0
WTW,2018-05-01 21:00:00+00:00,73.79,73.79,73.79,73.79,50.0
WTW,2018-05-01 22:00:00+00:00,73.74,73.74,73.74,73.74,210.0
WTW,2018-05-02 13:00:00+00:00,73.21,73.21,71.89,72.5,9392.0
WTW,2018-05-02 14:00:00+00:00,72.55,73.5,72.55,73.42,7994.0
WTW,2018-05-02 15:00:00+00:00,73.4,73.4,72.58,72.67,8785.0
WTW,2018-05-02 16:00:00+00:00,72.64,72.88,72.6,72.88,3175.0
WTW,2018-05-02 17:00:00+00:00,72.92,73.11,72.92,72.99,5615.0
WTW,2018-05-02 18:00:00+00:00,72.94,73.37,72.89,72.95,10962.0
WTW,2018-05-02 19:00:00+00:00,72.91,73.14,72.58,72.72,20663.0
WTW,2018-05-03 13:00:00+00:00,72.21,72.49,71.44,71.65,16560.0
WTW,2018-05-03 14:00:00+00:00,71.6,71.6,70.08,70.25,18124.0
WTW,2018-05-03 15:00:00+00:00,70.22,70.22,69.25,69.82,18407.0
WTW,2018-05-03 16:00:00+00:00,69.89,70.26,69.71,70.12,21361.0
WTW,2018-05-03 17:00:00+00:00,70.1,70.13,69.34,69.47,19401.0
WTW,2018-05-03 18:00:00+00:00,69.475,70.3,69.27,70.0,26701.0
WTW,2018-05-03 19:00:00+00:00,70.09,70.33,69.68,69.825,89162.0
WTW,2018-05-03 20:00:00+00:00,70.5,77.7,70.5,74.65,98237.0
WTW,2018-05-03 21:00:00+00:00,74.59,75.44,74.4,74.85,3500.0
WTW,2018-05-03 22:00:00+00:00,74.8,74.8,74.5,74.65,3453.0
WTW,2018-05-03 23:00:00+00:00,74.5,74.75,74.5,74.75,12644.0
WTW,2018-05-04 11:00:00+00:00,75.6,75.6,75.6,75.6,500.0
WTW,2018-05-04 12:00:00+00:00,74.55,74.55,73.5,73.5,1502.0
WTW,2018-05-04 13:00:00+00:00,73.99,76.57,69.5,74.64,118885.0
WTW,2018-05-04 14:00:00+00:00,74.61,75.63,74.16,74.89,76312.0
WTW,2018-05-04 15:00:00+00:00,74.92,75.005,72.92,72.93,44662.0
WTW,2018-05-04 16:00:00+00:00,72.91,73.51,71.49,72.58,55198.0
WTW,2018-05-04 17:00:00+00:00,72.58,72.95,70.49,71.15,56461.0
WTW,2018-05-04 18:00:00+00:00,71.15,71.89,68.83,68.94,69660.0
WTW,2018-05-04 19:00:00+00:00,69.06,70.55,68.96,69.78,101483.0
WTW,2018-05-04 20:00:00+00:00,69.77,69.77,69.37,69.37,2261.0
WTW,2018-05-04 21:00:00+00:00,69.16,69.37,69.16,69.37,6100.0
WTW,2018-05-04 23:00:00+00:00,69.25,69.25,69.25,69.25,15.0
WTW,2018-05-07 11:00:00+00:00,69.49,69.49,69.49,69.49,200.0
WTW,2018-05-07 12:00:00+00:00,69.25,69.25,69.25,69.25,5.0
WTW,2018-05-07 13:00:00+00:00,69.36,70.0,66.84,67.48,51651.0
WTW,2018-05-07 14:00:00+00:00,67.4,67.71,66.13,66.33,41039.0
WTW,2018-05-07 15:00:00+00:00,66.31,67.07,66.22,67.07,25901.0
WTW,2018-05-07 16:00:00+00:00,67.12,68.06,66.97,68.04,36776.0
WTW,2018-05-07 17:00:00+00:00,68.14,68.88,68.05,68.71,25784.0
WTW,2018-05-07 18:00:00+00:00,68.67,69.74,68.5,69.74,22675.0
WTW,2018-05-07 19:00:00+00:00,69.7,70.05,69.26,70.01,76208.0
WTW,2018-05-07 20:00:00+00:00,70.03,70.03,67.51,67.51,903.0
WTW,2018-05-07 21:00:00+00:00,67.5,68.05,67.5,68.05,61.0
WTW,2018-05-07 22:00:00+00:00,68.05,68.49,67.75,67.75,790.0
WTW,2018-05-08 11:00:00+00:00,68.95,68.95,68.95,68.95,100.0
WTW,2018-05-08 13:00:00+00:00,67.8,68.28,66.45,67.46,49954.0
WTW,2018-05-08 14:00:00+00:00,67.47,68.5,67.2,68.0,31330.0
WTW,2018-05-08 15:00:00+00:00,68.02,68.54,67.69,67.69,17613.0
WTW,2018-05-08 16:00:00+00:00,67.75,68.87,67.54,68.35,35840.0
WTW,2018-05-08 17:00:00+00:00,68.48,68.67,68.01,68.14,9457.0
WTW,2018-05-08 18:00:00+00:00,68.18,68.74,68.18,68.47,13875.0
WTW,2018-05-08 19:00:00+00:00,68.5,69.59,68.5,69.54,57383.0
WTW,2018-05-09 12:00:00+00:00,69.75,69.85,69.75,69.85,300.0
WTW,2018-05-09 13:00:00+00:00,69.75,69.98,69.45,69.6,8899.0
WTW,2018-05-09 14:00:00+00:00,69.63,69.65,68.55,68.91,21187.0
WTW,2018-05-09 15:00:00+00:00,68.9,69.28,68.9,69.19,16200.0
WTW,2018-05-09 16:00:00+00:00,69.225,69.27,68.93,69.17,6639.0
WTW,2018-05-09 17:00:00+00:00,69.3,69.41,69.04,69.15,5872.0
WTW,2018-05-09 18:00:00+00:00,69.11,69.2,68.45,68.63,17543.0
WTW,2018-05-09 19:00:00+00:00,68.62,68.92,68.28,68.835,29419.0
WTW,2018-05-10 13:00:00+00:00,68.97,71.13,68.97,71.11,46141.0
WTW,2018-05-10 14:00:00+00:00,71.12,71.47,70.82,71.28,33396.0
WTW,2018-05-10 15:00:00+00:00,71.36,71.67,70.65,70.77,16657.0
WTW,2018-05-10 16:00:00+00:00,70.75,71.14,70.5,70.94,19544.0
WTW,2018-05-10 17:00:00+00:00,70.955,71.06,70.75,71.04,18751.0
WTW,2018-05-10 18:00:00+00:00,71.065,72.31,71.065,72.17,30126.0
WTW,2018-05-10 19:00:00+00:00,72.17,72.25,70.75,71.33,75954.0
WTW,2018-05-10 20:00:00+00:00,71.35,71.35,71.01,71.01,107.0
WTW,2018-05-10 23:00:00+00:00,70.9,70.9,70.54,70.54,597.0
WTW,2018-05-11 10:00:00+00:00,70.7,71.2,70.5,71.2,1150.0
WTW,2018-05-11 11:00:00+00:00,71.1,71.79,71.09,71.7,8400.0
WTW,2018-05-11 12:00:00+00:00,71.41,72.67,70.95,72.48,55347.0
WTW,2018-05-11 13:00:00+00:00,72.48,75.37,72.21,74.65,320367.0
WTW,2018-05-11 14:00:00+00:00,74.68,76.35,74.53,75.59,200808.0
WTW,2018-05-11 15:00:00+00:00,75.63,76.04,74.94,75.5,130929.0
WTW,2018-05-11 16:00:00+00:00,75.48,76.48,75.41,76.29,73637.0
WTW,2018-05-11 17:00:00+00:00,76.31,76.93,75.6,75.64,79312.0
WTW,2018-05-11 18:00:00+00:00,75.65,75.67,74.47,74.56,90849.0
WTW,2018-05-11 19:00:00+00:00,74.59,75.05,74.31,74.75,145074.0
WTW,2018-05-11 20:00:00+00:00,74.34,74.34,74.04,74.04,300.0
WTW,2018-05-14 13:00:00+00:00,74.95,76.77,74.95,76.53,44733.0
WTW,2018-05-14 14:00:00+00:00,76.45,78.34,76.45,78.11,98139.0
WTW,2018-05-14 15:00:00+00:00,78.105,79.21,77.96,78.69,55276.0
WTW,2018-05-14 16:00:00+00:00,78.64,79.83,78.51,78.58,67155.0
WTW,2018-05-14 17:00:00+00:00,78.68,78.75,77.85,78.18,24102.0
WTW,2018-05-14 18:00:00+00:00,78.2,78.44,77.7,78.27,29188.0
WTW,2018-05-14 19:00:00+00:00,78.23,78.89,77.99,78.81,106675.0
WTW,2018-05-15 11:00:00+00:00,79.05,79.05,79.05,79.05,200.0
WTW,2018-05-15 12:00:00+00:00,79.1,79.64,79.1,79.5,524.0
WTW,2018-05-15 13:00:00+00:00,78.9,81.91,78.17,78.39,54782.0
WTW,2018-05-15 14:00:00+00:00,78.35,79.51,78.03,78.69,34835.0
