symbol,ts,open,high,low,close,volume
XYZ,2025-01-21 09:00:00+00:00,87.42,87.91,87.42,87.7,429.0
XYZ,2025-01-21 10:00:00+00:00,87.99,88.28,87.71,88.27,256.0
XYZ,2025-01-21 11:00:00+00:00,88.05,88.05,87.2,87.9,138.0
XYZ,2025-01-21 12:00:00+00:00,87.77,88.03,87.75,88.03,472.0
XYZ,2025-01-21 13:00:00+00:00,88.03,88.28,87.98,88.12,491.0
XYZ,2025-01-21 14:00:00+00:00,88.28,89.52,87.96,88.16,59762.0
XYZ,2025-01-21 15:00:00+00:00,88.14,89.05,87.76,88.75,74287.0
XYZ,2025-01-21 16:00:00+00:00,88.71,89.1,88.45,88.91,59383.0
XYZ,2025-01-21 17:00:00+00:00,88.91,89.66,88.69,89.62,53238.0
XYZ,2025-01-21 18:00:00+00:00,89.64,89.79,89.33,89.5,37732.0
XYZ,2025-01-21 19:00:00+00:00,89.39,89.695,89.26,89.66,47315.0
XYZ,2025-01-21 20:00:00+00:00,89.63,89.84,89.44,89.71,98550.0
XYZ,2025-01-21 21:00:00+00:00,89.5,89.5,89.13,89.49,667.0
XYZ,2025-01-21 22:00:00+00:00,89.54,90.1,89.54,89.9,1154.0
XYZ,2025-01-21 23:00:00+00:00,89.99,89.99,89.6,89.61,540.0
XYZ,2025-01-22 09:00:00+00:00,90.21,90.21,90.21,90.21,1.0
XYZ,2025-01-22 10:00:00+00:00,90.2,90.21,90.1,90.2,373.0
XYZ,2025-01-22 11:00:00+00:00,90.21,90.35,90.2,90.35,754.0
XYZ,2025-01-22 12:00:00+00:00,90.36,90.87,90.36,90.66,1505.0
XYZ,2025-01-22 13:00:00+00:00,90.65,90.81,90.37,90.4,1376.0
XYZ,2025-01-22 14:00:00+00:00,90.36,90.52,89.66,90.17,67894.0
XYZ,2025-01-22 15:00:00+00:00,90.06,90.3,89.07,89.12,62213.0
XYZ,2025-01-22 16:00:00+00:00,89.16,89.42,88.96,89.19,56880.0
XYZ,2025-01-22 17:00:00+00:00,89.21,89.33,88.81,88.95,56160.0
XYZ,2025-01-22 18:00:00+00:00,88.95,89.21,88.52,88.53,51421.0
XYZ,2025-01-22 19:00:00+00:00,88.52,88.68,88.17,88.44,51701.0
XYZ,2025-01-22 20:00:00+00:00,88.44,88.57,87.295,87.43,219930.0
XYZ,2025-01-22 21:00:00+00:00,87.48,87.48,87.37,87.37,10.0
XYZ,2025-01-22 22:00:00+00:00,87.35,87.51,87.35,87.5,327.0
XYZ,2025-01-22 23:00:00+00:00,87.64,87.77,87.57,87.76,1293.0
XYZ,2025-01-23 09:00:00+00:00,88.25,88.25,88.25,88.25,1.0
XYZ,2025-01-23 10:00:00+00:00,87.01,87.01,87.01,87.01,2.0
XYZ,2025-01-23 11:00:00+00:00,87.2,87.2,86.9,86.9,493.0
XYZ,2025-01-23 12:00:00+00:00,86.9,86.99,86.8,86.8,290.0
XYZ,2025-01-23 13:00:00+00:00,86.99,87.07,86.8,87.0,1489.0
XYZ,2025-01-23 14:00:00+00:00,86.99,87.635,86.5,87.28,70392.0
XYZ,2025-01-23 15:00:00+00:00,87.3,87.71,86.885,87.595,84803.0
XYZ,2025-01-23 16:00:00+00:00,87.62,88.445,87.52,87.98,71445.0
XYZ,2025-01-23 17:00:00+00:00,87.985,88.55,87.88,88.35,48907.0
XYZ,2025-01-23 18:00:00+00:00,88.35,88.52,88.12,88.12,52436.0
XYZ,2025-01-23 19:00:00+00:00,88.11,88.19,87.51,87.59,71684.0
XYZ,2025-01-23 20:00:00+00:00,87.56,88.09,87.49,87.82,108910.0
XYZ,2025-01-23 21:00:00+00:00,87.03,87.03,87.03,87.03,50.0
XYZ,2025-01-23 22:00:00+00:00,87.6,87.6,87.6,87.6,100.0
XYZ,2025-01-24 09:00:00+00:00,82.45,87.01,82.45,87.01,103.0
XYZ,2025-01-24 10:00:00+00:00,88.6,88.68,88.6,88.68,10.0
XYZ,2025-01-24 12:00:00+00:00,88.48,88.5,88.45,88.5,326.0
XYZ,2025-01-24 13:00:00+00:00,88.33,88.36,88.27,88.3,464.0
XYZ,2025-01-24 14:00:00+00:00,88.45,89.0,88.14,88.23,27760.0
XYZ,2025-01-24 15:00:00+00:00,88.25,89.49,88.2,89.38,75655.0
XYZ,2025-01-24 16:00:00+00:00,89.38,89.99,89.13,89.21,77026.0
XYZ,2025-01-24 17:00:00+00:00,89.19,89.86,89.18,89.44,60178.0
XYZ,2025-01-24 18:00:00+00:00,89.44,89.54,88.81,88.88,67534.0
XYZ,2025-01-24 19:00:00+00:00,88.87,89.05,88.63,88.84,108464.0
XYZ,2025-01-24 20:00:00+00:00,88.84,88.92,88.34,88.72,201797.0
XYZ,2025-01-24 21:00:00+00:00,88.75,88.76,88.75,88.75,201.0
XYZ,2025-01-24 22:00:00+00:00,88.75,88.75,88.66,88.66,305.0
XYZ,2025-01-27 09:00:00+00:00,84.26,85.1,84.25,84.68,4385.0
XYZ,2025-01-27 10:00:00+00:00,84.7,84.74,82.15,82.64,8127.0
XYZ,2025-01-27 11:00:00+00:00,83.07,84.08,83.07,84.0,688.0
XYZ,2025-01-27 12:00:00+00:00,84.34,85.42,84.34,85.42,1530.0
XYZ,2025-01-27 13:00:00+00:00,85.39,85.85,85.24,85.24,1786.0
XYZ,2025-01-27 14:00:00+00:00,85.65,86.59,84.25,86.45,70959.0
XYZ,2025-01-27 15:00:00+00:00,86.49,87.42,85.86,86.74,98668.0
XYZ,2025-01-27 16:00:00+00:00,86.74,87.02,85.28,85.28,98244.0
XYZ,2025-01-27 17:00:00+00:00,85.29,85.76,84.86,84.86,87194.0
XYZ,2025-01-27 18:00:00+00:00,84.86,85.215,84.69,84.82,71853.0
XYZ,2025-01-27 19:00:00+00:00,84.86,85.43,84.72,84.77,92519.0
XYZ,2025-01-27 20:00:00+00:00,84.8,85.75,84.3,85.03,313462.0
XYZ,2025-01-27 21:00:00+00:00,85.34,85.86,85.0,85.02,388.0
XYZ,2025-01-27 22:00:00+00:00,85.24,85.41,85.11,85.12,1256.0
XYZ,2025-01-27 23:00:00+00:00,85.13,85.29,85.1,85.1,1443.0
XYZ,2025-01-28 09:00:00+00:00,85.47,85.78,85.46,85.78,1116.0
XYZ,2025-01-28 10:00:00+00:00,85.78,86.48,85.65,85.97,524.0
XYZ,2025-01-28 11:00:00+00:00,86.05,86.24,85.75,85.75,309.0
XYZ,2025-01-28 12:00:00+00:00,85.67,85.75,85.47,85.54,1021.0
XYZ,2025-01-28 13:00:00+00:00,85.51,85.71,85.46,85.46,2371.0
XYZ,2025-01-28 14:00:00+00:00,85.46,85.64,84.36,85.06,42057.0
XYZ,2025-01-28 15:00:00+00:00,85.09,86.7,85.09,86.65,88904.0
XYZ,2025-01-28 16:00:00+00:00,86.67,87.15,86.47,87.13,65335.0
XYZ,2025-01-28 17:00:00+00:00,87.14,87.75,87.14,87.3,54412.0
XYZ,2025-01-28 18:00:00+00:00,87.29,87.64,87.29,87.39,31879.0
XYZ,2025-01-28 19:00:00+00:00,87.385,88.48,87.02,88.48,65747.0
XYZ,2025-01-28 20:00:00+00:00,88.49,88.71,88.0,88.65,278850.0
XYZ,2025-01-28 21:00:00+00:00,88.61,88.61,87.62,88.53,212.0
XYZ,2025-01-28 22:00:00+00:00,88.2,88.2,87.67,87.67,110.0
XYZ,2025-01-28 23:00:00+00:00,88.0,88.3,88.0,88.3,59.0
XYZ,2025-01-29 09:00:00+00:00,89.04,89.04,89.04,89.04,5.0
XYZ,2025-01-29 10:00:00+00:00,89.07,89.11,89.04,89.11,22.0
XYZ,2025-01-29 11:00:00+00:00,89.3,89.67,89.3,89.49,737.0
XYZ,2025-01-29 12:00:00+00:00,89.5,89.5,89.1,89.1,1526.0
XYZ,2025-01-29 13:00:00+00:00,89.26,89.26,88.13,88.5,1839.0
XYZ,2025-01-29 14:00:00+00:00,88.63,89.63,87.98,89.45,52241.0
XYZ,2025-01-29 15:00:00+00:00,89.54,90.76,89.29,89.84,113706.0
XYZ,2025-01-29 16:00:00+00:00,89.84,89.92,89.32,89.47,61091.0
XYZ,2025-01-29 17:00:00+00:00,89.47,90.36,89.44,90.03,91491.0
XYZ,2025-01-29 18:00:00+00:00,90.03,90.2,89.39,89.75,74105.0
XYZ,2025-01-29 19:00:00+00:00,89.75,90.67,88.71,90.05,84107.0
XYZ,2025-01-29 20:00:00+00:00,90.01,90.49,89.56,90.05,183208.0
XYZ,2025-01-29 21:00:00+00:00,90.1,90.2,89.6,90.2,1624.0
XYZ,2025-01-29 22:00:00+00:00,90.2,91.0,90.01,90.02,697.0
XYZ,2025-01-29 23:00:00+00:00,89.75,90.1,89.74,89.97,2785.0
XYZ,2025-01-30 09:00:00+00:00,91.0,91.0,90.96,91.0,260.0
XYZ,2025-01-30 10:00:00+00:00,91.0,91.0,90.73,91.0,3138.0
XYZ,2025-01-30 11:00:00+00:00,91.02,91.02,90.64,90.99,1094.0
XYZ,2025-01-30 12:00:00+00:00,90.99,91.06,90.56,91.06,681.0
XYZ,2025-01-30 13:00:00+00:00,91.04,91.53,88.63,91.33,8211.0
XYZ,2025-01-30 14:00:00+00:00,91.29,93.21,91.15,92.76,52659.0
XYZ,2025-01-30 15:00:00+00:00,92.72,92.8,91.96,92.22,148609.0
XYZ,2025-01-30 16:00:00+00:00,92.22,93.95,92.21,93.8,142233.0
XYZ,2025-01-30 17:00:00+00:00,93.81,93.81,92.97,93.11,130571.0
XYZ,2025-01-30 18:00:00+00:00,93.11,94.15,92.96,93.97,103529.0
XYZ,2025-01-30 19:00:00+00:00,93.985,94.23,93.88,94.165,87427.0
XYZ,2025-01-30 20:00:00+00:00,94.14,94.22,92.21,92.91,207774.0
XYZ,2025-01-30 21:00:00+00:00,92.96,93.53,92.96,93.52,720.0
XYZ,2025-01-30 22:00:00+00:00,93.01,93.8,93.0,93.37,417.0
XYZ,2025-01-30 23:00:00+00:00,93.35,93.51,93.34,93.51,385.0
XYZ,2025-01-31 09:00:00+00:00,92.95,93.54,92.95,93.14,234.0
XYZ,2025-01-31 10:00:00+00:00,93.43,93.5,93.11,93.3,208.0
XYZ,2025-01-31 11:00:00+00:00,93.18,93.3,93.16,93.3,21.0
XYZ,2025-01-31 12:00:00+00:00,93.55,94.0,93.27,93.39,1919.0
XYZ,2025-01-31 13:00:00+00:00,93.33,93.5,93.02,93.46,2152.0
XYZ,2025-01-31 14:00:00+00:00,93.45,93.75,92.17,92.4,69112.0
XYZ,2025-01-31 15:00:00+00:00,92.4,93.22,92.18,92.53,103276.0
XYZ,2025-01-31 16:00:00+00:00,92.49,92.86,92.17,92.32,74260.0
XYZ,2025-01-31 17:00:00+00:00,92.31,92.64,92.04,92.42,73461.0
XYZ,2025-01-31 18:00:00+00:00,92.42,92.75,91.55,91.81,114768.0
XYZ,2025-01-31 19:00:00+00:00,91.8,92.05,91.02,91.525,121606.0
XYZ,2025-01-31 20:00:00+00:00,91.525,91.525,90.31,90.86,278493.0
XYZ,2025-01-31 21:00:00+00:00,90.86,91.0,90.35,90.59,537.0
XYZ,2025-01-31 22:00:00+00:00,90.64,90.64,90.36,90.38,131.0
XYZ,2025-01-31 23:00:00+00:00,90.69,90.69,90.69,90.69,10.0
XYZ,2025-02-03 09:00:00+00:00,87.58,87.65,87.0,87.3,1725.0
XYZ,2025-02-03 10:00:00+00:00,87.3,87.79,87.25,87.4,711.0
XYZ,2025-02-03 11:00:00+00:00,87.41,87.5,87.26,87.5,283.0
XYZ,2025-02-03 12:00:00+00:00,87.5,87.55,87.25,87.25,3946.0
XYZ,2025-02-03 13:00:00+00:00,87.25,87.8,87.25,87.69,3934.0
XYZ,2025-02-03 14:00:00+00:00,87.49,89.39,87.36,88.9,66610.0
XYZ,2025-02-03 15:00:00+00:00,88.81,90.09,87.96,89.89,132672.0
XYZ,2025-02-03 16:00:00+00:00,89.88,90.37,89.3,89.785,55284.0
XYZ,2025-02-03 17:00:00+00:00,89.82,90.56,89.79,90.39,44744.0
XYZ,2025-02-03 18:00:00+00:00,90.32,90.32,89.85,90.14,37511.0
XYZ,2025-02-03 19:00:00+00:00,90.23,91.26,90.23,91.19,48616.0
XYZ,2025-02-03 20:00:00+00:00,91.18,91.2,90.02,90.18,120892.0
XYZ,2025-02-03 21:00:00+00:00,90.02,91.51,90.02,91.5,2782.0
XYZ,2025-02-03 22:00:00+00:00,91.2,91.35,91.0,91.3,1650.0
XYZ,2025-02-03 23:00:00+00:00,91.38,91.41,91.38,91.4,381.0
XYZ,2025-02-04 09:00:00+00:00,90.43,90.6,89.95,90.49,1062.0
XYZ,2025-02-04 10:00:00+00:00,90.27,90.71,90.1,90.37,460.0
XYZ,2025-02-04 11:00:00+00:00,90.21,90.64,90.19,90.55,540.0
XYZ,2025-02-04 12:00:00+00:00,90.91,91.28,88.6,89.55,5174.0
XYZ,2025-02-04 13:00:00+00:00,89.81,89.81,88.91,89.44,813.0
XYZ,2025-02-04 14:00:00+00:00,89.44,90.09,87.24,87.79,71545.0
XYZ,2025-02-04 15:00:00+00:00,87.83,88.71,87.43,87.73,109420.0
XYZ,2025-02-04 16:00:00+00:00,87.74,88.42,87.05,87.21,75267.0
XYZ,2025-02-04 17:00:00+00:00,87.25,87.4,86.25,86.98,95050.0
XYZ,2025-02-04 18:00:00+00:00,87.0,87.15,86.79,86.79,47529.0
XYZ,2025-02-04 19:00:00+00:00,86.78,87.25,86.27,86.33,71440.0
XYZ,2025-02-04 20:00:00+00:00,86.29,86.43,85.89,86.2,211047.0
XYZ,2025-02-04 21:00:00+00:00,86.08,86.08,85.86,85.99,116.0
XYZ,2025-02-04 22:00:00+00:00,86.0,86.05,85.9,85.9,323.0
XYZ,2025-02-04 23:00:00+00:00,86.17,86.17,86.04,86.04,445.0
XYZ,2025-02-05 09:00:00+00:00,86.32,86.68,86.23,86.59,307.0
