symbol,ts,open,high,low,close,volume
ZTS,2018-05-01 13:00:00+00:00,83.42,84.03,83.42,83.85,20969.0
ZTS,2018-05-01 14:00:00+00:00,83.84,83.92,83.05,83.05,69274.0
ZTS,2018-05-01 15:00:00+00:00,83.04,83.3,82.95,83.08,67789.0
ZTS,2018-05-01 16:00:00+00:00,83.09,83.31,83.09,83.13,60000.0
ZTS,2018-05-01 17:00:00+00:00,83.13,83.205,82.9,83.165,71550.0
ZTS,2018-05-01 18:00:00+00:00,83.16,83.57,83.09,83.17,83979.0
ZTS,2018-05-01 19:00:00+00:00,83.17,83.59,83.14,83.43,159735.0
ZTS,2018-05-01 21:00:00+00:00,83.6,83.6,83.6,83.6,50.0
ZTS,2018-05-02 12:00:00+00:00,80.9,80.9,80.9,80.9,1.0
ZTS,2018-05-02 13:00:00+00:00,80.75,80.75,77.2,79.69,130446.0
ZTS,2018-05-02 14:00:00+00:00,79.685,80.42,79.48,79.59,209010.0
ZTS,2018-05-02 15:00:00+00:00,79.59,80.06,78.95,79.17,115936.0
ZTS,2018-05-02 16:00:00+00:00,79.17,79.29,78.87,79.2,105727.0
ZTS,2018-05-02 17:00:00+00:00,79.2,79.74,79.17,79.74,104221.0
ZTS,2018-05-02 18:00:00+00:00,79.75,80.09,79.41,79.87,184450.0
ZTS,2018-05-02 19:00:00+00:00,79.86,80.06,79.61,79.94,263982.0
ZTS,2018-05-03 13:00:00+00:00,79.88,80.82,79.65,79.7,39947.0
ZTS,2018-05-03 14:00:00+00:00,79.69,79.71,78.45,78.67,164543.0
ZTS,2018-05-03 15:00:00+00:00,78.67,79.76,78.625,79.46,105813.0
ZTS,2018-05-03 16:00:00+00:00,79.47,79.67,78.99,79.67,101760.0
ZTS,2018-05-03 17:00:00+00:00,79.67,80.16,79.4,80.08,87123.0
ZTS,2018-05-03 18:00:00+00:00,80.1,80.31,79.86,80.1,95013.0
ZTS,2018-05-03 19:00:00+00:00,80.125,80.6,80.11,80.42,189107.0
ZTS,2018-05-04 13:00:00+00:00,79.78,80.13,79.67,79.83,25434.0
ZTS,2018-05-04 14:00:00+00:00,79.82,81.02,79.62,80.865,86334.0
ZTS,2018-05-04 15:00:00+00:00,80.89,81.41,80.87,81.31,66558.0
ZTS,2018-05-04 16:00:00+00:00,81.33,81.52,81.25,81.32,57699.0
ZTS,2018-05-04 17:00:00+00:00,81.315,81.66,81.21,81.65,58009.0
ZTS,2018-05-04 18:00:00+00:00,81.64,81.83,81.51,81.52,80852.0
ZTS,2018-05-04 19:00:00+00:00,81.53,81.73,81.45,81.55,139482.0
ZTS,2018-05-07 13:00:00+00:00,82.0,82.27,81.6,82.11,18758.0
ZTS,2018-05-07 14:00:00+00:00,82.11,82.11,81.24,81.38,48091.0
ZTS,2018-05-07 15:00:00+00:00,81.38,81.94,81.32,81.92,43167.0
ZTS,2018-05-07 16:00:00+00:00,81.92,82.02,81.82,81.98,26474.0
ZTS,2018-05-07 17:00:00+00:00,81.98,82.28,81.88,82.28,32049.0
ZTS,2018-05-07 18:00:00+00:00,82.28,82.46,82.04,82.13,39058.0
ZTS,2018-05-07 19:00:00+00:00,82.12,82.19,81.83,82.11,118137.0
ZTS,2018-05-07 20:00:00+00:00,82.29,82.29,82.29,82.29,58.0
ZTS,2018-05-08 13:00:00+00:00,81.97,82.48,81.77,81.86,12841.0
ZTS,2018-05-08 14:00:00+00:00,81.83,81.83,81.13,81.42,50134.0
ZTS,2018-05-08 15:00:00+00:00,81.38,81.95,81.115,81.85,38175.0
ZTS,2018-05-08 16:00:00+00:00,81.85,81.92,81.69,81.81,31035.0
ZTS,2018-05-08 17:00:00+00:00,81.81,82.07,81.8,81.9,25670.0
ZTS,2018-05-08 18:00:00+00:00,81.91,82.0,81.41,81.63,42255.0
ZTS,2018-05-08 19:00:00+00:00,81.61,82.07,81.49,81.99,64364.0
ZTS,2018-05-09 13:00:00+00:00,82.03,82.03,81.34,81.38,24760.0
ZTS,2018-05-09 14:00:00+00:00,81.47,81.75,81.18,81.24,53269.0
ZTS,2018-05-09 15:00:00+00:00,81.25,81.67,81.2,81.67,33760.0
ZTS,2018-05-09 16:00:00+00:00,81.7,82.32,81.69,82.14,39764.0
ZTS,2018-05-09 17:00:00+00:00,82.2,82.53,82.2,82.49,28944.0
ZTS,2018-05-09 18:00:00+00:00,82.49,82.56,82.31,82.49,38601.0
ZTS,2018-05-09 19:00:00+00:00,82.48,82.51,82.2,82.25,117818.0
ZTS,2018-05-10 13:00:00+00:00,82.87,83.93,82.83,83.18,15203.0
ZTS,2018-05-10 14:00:00+00:00,83.2,83.88,83.03,83.72,24657.0
ZTS,2018-05-10 15:00:00+00:00,83.73,83.965,83.64,83.92,23001.0
ZTS,2018-05-10 16:00:00+00:00,83.91,84.36,83.91,84.11,35266.0
ZTS,2018-05-10 17:00:00+00:00,84.13,84.23,83.82,83.86,22763.0
ZTS,2018-05-10 18:00:00+00:00,83.86,83.88,83.38,83.67,26265.0
ZTS,2018-05-10 19:00:00+00:00,83.68,83.78,83.29,83.47,57586.0
ZTS,2018-05-11 13:00:00+00:00,83.63,84.33,83.63,84.22,9886.0
ZTS,2018-05-11 14:00:00+00:00,84.36,84.42,83.97,84.15,26938.0
ZTS,2018-05-11 15:00:00+00:00,84.15,84.16,83.945,84.09,25307.0
ZTS,2018-05-11 16:00:00+00:00,84.09,84.18,84.0,84.05,29739.0
ZTS,2018-05-11 17:00:00+00:00,84.05,84.15,84.0,84.11,24152.0
ZTS,2018-05-11 18:00:00+00:00,84.105,84.33,83.78,84.28,40552.0
ZTS,2018-05-11 19:00:00+00:00,84.29,84.465,84.265,84.43,80930.0
ZTS,2018-05-14 13:00:00+00:00,84.61,84.86,84.4,84.72,10364.0
ZTS,2018-05-14 14:00:00+00:00,84.71,85.16,84.66,84.81,32608.0
ZTS,2018-05-14 15:00:00+00:00,84.81,84.86,84.55,84.76,19332.0
ZTS,2018-05-14 16:00:00+00:00,84.75,84.84,84.11,84.11,37693.0
ZTS,2018-05-14 17:00:00+00:00,84.11,84.225,83.55,83.64,65468.0
ZTS,2018-05-14 18:00:00+00:00,83.64,83.7,83.37,83.625,50403.0
ZTS,2018-05-14 19:00:00+00:00,83.625,84.09,83.625,84.05,68724.0
ZTS,2018-05-15 13:00:00+00:00,83.53,83.71,82.94,83.08,13423.0
ZTS,2018-05-15 14:00:00+00:00,83.09,83.6,83.05,83.14,39991.0
ZTS,2018-05-15 15:00:00+00:00,83.16,83.3,82.95,83.21,20355.0
ZTS,2018-05-15 16:00:00+00:00,83.23,83.33,83.0,83.14,20073.0
ZTS,2018-05-15 17:00:00+00:00,83.13,83.21,82.8,82.81,20536.0
ZTS,2018-05-15 18:00:00+00:00,82.79,83.14,82.79,82.93,30842.0
ZTS,2018-05-15 19:00:00+00:00,82.94,83.06,82.8,83.04,58908.0
ZTS,2018-05-16 12:00:00+00:00,82.72,82.72,82.5,82.7,760.0
ZTS,2018-05-16 13:00:00+00:00,82.67,83.115,82.05,82.59,39150.0
ZTS,2018-05-16 14:00:00+00:00,82.55,82.67,82.21,82.44,66698.0
ZTS,2018-05-16 15:00:00+00:00,82.42,82.8,82.33,82.59,48038.0
ZTS,2018-05-16 16:00:00+00:00,82.6,82.73,82.325,82.56,57817.0
ZTS,2018-05-16 17:00:00+00:00,82.585,83.03,82.54,82.74,43517.0
ZTS,2018-05-16 18:00:00+00:00,82.75,83.15,82.73,83.0,52390.0
ZTS,2018-05-16 19:00:00+00:00,82.96,82.99,82.59,82.84,78962.0
ZTS,2018-05-16 20:00:00+00:00,83.74,83.74,83.74,83.74,60.0
ZTS,2018-05-16 23:00:00+00:00,82.91,82.91,82.91,82.91,50.0
ZTS,2018-05-17 13:00:00+00:00,82.96,83.1,82.09,82.51,32516.0
ZTS,2018-05-17 14:00:00+00:00,82.52,82.96,82.52,82.77,42638.0
ZTS,2018-05-17 15:00:00+00:00,82.77,82.9,82.45,82.55,37940.0
ZTS,2018-05-17 16:00:00+00:00,82.555,82.655,82.43,82.6,18258.0
ZTS,2018-05-17 17:00:00+00:00,82.62,82.82,82.6,82.64,23818.0
ZTS,2018-05-17 18:00:00+00:00,82.65,82.885,82.54,82.69,31330.0
ZTS,2018-05-17 19:00:00+00:00,82.68,83.05,82.68,82.94,88297.0
ZTS,2018-05-18 13:00:00+00:00,82.8,83.59,82.78,83.54,31733.0
ZTS,2018-05-18 14:00:00+00:00,83.53,83.98,83.29,83.96,60808.0
ZTS,2018-05-18 15:00:00+00:00,83.99,84.65,83.97,84.62,49737.0
ZTS,2018-05-18 16:00:00+00:00,84.62,84.63,84.21,84.24,35494.0
ZTS,2018-05-18 17:00:00+00:00,84.24,84.28,84.06,84.2,20172.0
ZTS,2018-05-18 18:00:00+00:00,84.21,84.54,84.09,84.5,27072.0
ZTS,2018-05-18 19:00:00+00:00,84.49,84.5,84.33,84.39,71923.0
ZTS,2018-05-21 13:00:00+00:00,84.9,85.03,84.43,84.49,11198.0
ZTS,2018-05-21 14:00:00+00:00,84.44,85.29,84.42,85.25,24553.0
ZTS,2018-05-21 15:00:00+00:00,85.24,85.285,84.83,85.06,38058.0
ZTS,2018-05-21 16:00:00+00:00,85.055,85.26,84.965,85.17,27966.0
ZTS,2018-05-21 17:00:00+00:00,85.18,85.4,85.145,85.37,26087.0
ZTS,2018-05-21 18:00:00+00:00,85.37,85.44,85.11,85.26,47168.0
ZTS,2018-05-21 19:00:00+00:00,85.24,85.43,85.14,85.37,83014.0
ZTS,2018-05-22 13:00:00+00:00,85.44,85.64,85.35,85.43,25019.0
ZTS,2018-05-22 14:00:00+00:00,85.43,85.52,85.01,85.23,39474.0
ZTS,2018-05-22 15:00:00+00:00,85.22,85.4,85.09,85.09,49640.0
ZTS,2018-05-22 16:00:00+00:00,85.09,85.11,84.76,84.76,26408.0
ZTS,2018-05-22 17:00:00+00:00,84.77,84.79,84.57,84.65,26316.0
ZTS,2018-05-22 18:00:00+00:00,84.63,84.89,84.63,84.72,27152.0
ZTS,2018-05-22 19:00:00+00:00,84.73,84.76,84.22,84.38,72105.0
ZTS,2018-05-23 13:00:00+00:00,84.335,84.37,84.15,84.18,9071.0
ZTS,2018-05-23 14:00:00+00:00,84.16,84.36,83.78,83.82,33111.0
ZTS,2018-05-23 15:00:00+00:00,83.8,84.06,83.76,83.89,30271.0
ZTS,2018-05-23 16:00:00+00:00,83.94,84.51,83.94,84.48,24600.0
ZTS,2018-05-23 17:00:00+00:00,84.46,84.57,84.3,84.55,33278.0
ZTS,2018-05-23 18:00:00+00:00,84.57,85.0,84.515,84.9,48929.0
ZTS,2018-05-23 19:00:00+00:00,84.92,84.975,84.61,84.88,80937.0
ZTS,2018-05-24 13:00:00+00:00,85.1,85.6,84.86,84.93,12551.0
ZTS,2018-05-24 14:00:00+00:00,85.0,85.03,84.2,84.2,26667.0
ZTS,2018-05-24 15:00:00+00:00,84.18,84.69,84.18,84.63,17604.0
ZTS,2018-05-24 16:00:00+00:00,84.69,84.87,84.62,84.87,13704.0
ZTS,2018-05-24 17:00:00+00:00,84.86,84.98,84.82,84.91,14874.0
ZTS,2018-05-24 18:00:00+00:00,84.9,84.93,84.73,84.78,18593.0
ZTS,2018-05-24 19:00:00+00:00,84.79,84.9,84.69,84.76,43582.0
ZTS,2018-05-25 13:00:00+00:00,84.55,85.05,84.43,84.43,18883.0
ZTS,2018-05-25 14:00:00+00:00,84.36,84.36,83.87,84.025,55905.0
ZTS,2018-05-25 15:00:00+00:00,84.01,84.24,83.95,84.08,34230.0
ZTS,2018-05-25 16:00:00+00:00,84.08,84.15,83.74,83.78,32173.0
ZTS,2018-05-25 17:00:00+00:00,83.76,83.85,83.57,83.72,30162.0
ZTS,2018-05-25 18:00:00+00:00,83.71,83.86,83.61,83.72,30443.0
ZTS,2018-05-25 19:00:00+00:00,83.71,83.82,83.66,83.7,90594.0
ZTS,2018-05-29 13:00:00+00:00,82.95,83.13,82.7,82.96,56878.0
ZTS,2018-05-29 14:00:00+00:00,83.0,83.4,82.63,82.63,74041.0
ZTS,2018-05-29 15:00:00+00:00,82.61,82.88,82.43,82.61,66213.0
ZTS,2018-05-29 16:00:00+00:00,82.61,83.11,82.4,83.11,33838.0
ZTS,2018-05-29 17:00:00+00:00,83.12,83.13,82.66,82.89,30987.0
ZTS,2018-05-29 18:00:00+00:00,82.89,82.99,82.55,82.55,40908.0
ZTS,2018-05-29 19:00:00+00:00,82.54,83.23,82.51,83.13,91807.0
ZTS,2018-05-30 13:00:00+00:00,83.79,84.48,83.79,84.31,19224.0
ZTS,2018-05-30 14:00:00+00:00,84.33,85.22,84.28,85.22,50969.0
ZTS,2018-05-30 15:00:00+00:00,85.27,85.29,84.77,84.77,43536.0
ZTS,2018-05-30 16:00:00+00:00,84.83,84.94,84.65,84.76,27395.0
ZTS,2018-05-30 17:00:00+00:00,84.75,84.99,84.68,84.82,21055.0
ZTS,2018-05-30 18:00:00+00:00,84.8,84.99,84.755,84.8,24985.0
ZTS,2018-05-30 19:00:00+00:00,84.79,84.85,84.44,84.46,67638.0
ZTS,2018-05-31 13:00:00+00:00,84.09,84.62,84.07,84.37,24719.0
ZTS,2018-05-31 14:00:00+00:00,84.38,84.52,84.12,84.21,66365.0
ZTS,2018-05-31 15:00:00+00:00,84.19,84.32,83.98,84.055,38583.0
ZTS,2018-05-31 16:00:00+00:00,84.03,84.2,83.96,84.1,34527.0
ZTS,2018-05-31 17:00:00+00:00,84.1,84.1,83.74,83.77,27730.0
ZTS,2018-05-31 18:00:00+00:00,83.79,83.83,83.61,83.8,37073.0
ZTS,2018-05-31 19:00:00+00:00,83.81,83.93,83.705,83.71,99790.0
ZTS,2018-06-01 13:00:00+00:00,84.33,84.71,84.33,84.6,18931.0
ZTS,2018-06-01 14:00:00+00:00,84.6,85.02,84.475,84.92,32264.0
ZTS,2018-06-01 15:00:00+00:00,84.91,85.3,84.86,85.03,25114.0
ZTS,2018-06-01 16:00:00+00:00,85.01,85.12,84.89,85.12,24127.0
ZTS,2018-06-01 17:00:00+00:00,85.12,85.17,85.01,85.04,21852.0
ZTS,2018-06-01 18:00:00+00:00,85.04,85.21,84.93,85.18,27990.0
ZTS,2018-06-01 19:00:00+00:00,85.18,85.425,84.98,85.41,72957.0
ZTS,2018-06-04 13:00:00+00:00,85.91,85.91,85.05,85.46,15596.0
ZTS,2018-06-04 14:00:00+00:00,85.51,85.62,85.28,85.36,46403.0
ZTS,2018-06-04 15:00:00+00:00,85.36,85.38,84.97,85.18,23212.0
ZTS,2018-06-04 16:00:00+00:00,85.17,85.46,85.14,85.46,24096.0
ZTS,2018-06-04 17:00:00+00:00,85.44,85.48,85.23,85.27,28270.0
ZTS,2018-06-04 18:00:00+00:00,85.26,85.37,85.23,85.33,32332.0
ZTS,2018-06-04 19:00:00+00:00,85.33,85.4,85.23,85.38,62778.0
ZTS,2018-06-05 13:00:00+00:00,85.08,85.72,85.08,85.32,14653.0
ZTS,2018-06-05 14:00:00+00:00,85.3,85.39,84.72,84.83,46119.0
ZTS,2018-06-05 15:00:00+00:00,84.83,84.9,84.46,84.68,37586.0
ZTS,2018-06-05 16:00:00+00:00,84.69,84.82,84.55,84.8,42149.0
ZTS,2018-06-05 17:00:00+00:00,84.8,84.98,84.8,84.85,37457.0
ZTS,2018-06-05 18:00:00+00:00,84.85,84.86,84.75,84.82,38951.0
ZTS,2018-06-05 19:00:00+00:00,84.82,84.89,84.64,84.785,99090.0
ZTS,2018-06-06 12:00:00+00:00,85.5,85.5,85.07,85.07,125.0
ZTS,2018-06-06 13:00:00+00:00,85.1,85.14,84.57,84.8,23652.0
ZTS,2018-06-06 14:00:00+00:00,84.8,85.35,84.56,85.26,40934.0
ZTS,2018-06-06 15:00:00+00:00,85.3,85.56,85.14,85.56,36449.0
ZTS,2018-06-06 16:00:00+00:00,85.56,85.56,85.39,85.44,30447.0
